Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure,County Orig,Year,Layoff/Closure clean,Population,City 2,Company_harmonizer_cleaned,Company_harmonizer_score,Company_harmonizer_id,Company_harmonizer_standardized
03/27/2020,03/30/2020,04/11/2020,18th Street Commissary Inc.,San Francisco,San Francisco County,39.0,Layoff Permanent,San Francisco County,2020,layoff permanent,881549.0,san francisco,18TH STREET COMMISSARY,28.689655172364326,9,18th Street Commissary Inc.
03/17/2020,03/18/2020,04/20/2020,"23 Bottles of Beer, LLC",Windsor,Sonoma County,90.0,Layoff Temporary,Sonoma County,2020,layoff temporary,494336.0,windsor,23 BOTTLES BEER,28.421052631529086,10,"23 Bottles of Beer, LLC"
01/23/2020,02/07/2020,01/24/2020,23 and Me,Sunnyvale,Santa Clara County,84.0,Layoff Permanent,Santa Clara County,2020,layoff permanent,1927852.0,sunnyvale,23 ME,41.90476190471202,11,23 and Me
03/28/2020,03/17/2020,04/10/2020,"2355 Telegraph LLC, DBA Super Duper,",Berkeley,Alameda County,25.0,Layoff Temporary,Alameda County,2020,layoff temporary,1671329.0,berkeley,2355 TELEGRAPH SUPER DUPER,32.68571428566759,12,"2355 Telegraph LLC, DBA Super Duper,"
03/17/2020,03/17/2020,03/30/2020,24 Carrots,Costa Mesa,Orange County,112.0,Layoff Temporary,Orange County,2020,layoff temporary,3175692.0,costa mesa,24 CARROTS,23.33333333328472,13,24 Carrots
03/31/2020,03/31/2020,04/14/2020,24 Carrots Catering and Events,Costa Mesa,Orange County,112.0,Layoff Permanent,Orange County,2020,layoff permanent,3175692.0,costa mesa,24 CARROTS CATERING EVENTS,71.79487179482578,14,24 Carrots Catering and Events
07/23/2020,07/23/2020,08/18/2020,"24 HOUR FITNESS, USA, INC.",Carlsbad,San Diego County,39.0,Layoff Temporary,San Diego County,2020,layoff temporary,3338330.0,carlsbad,24 HOUR FITNESS,27.438596491179933,15,"24 HOUR FITNESS, USA, INC."
07/23/2020,07/23/2020,08/18/2020,24 Hour Fitness USA Inc.,San Ramon,Contra Costa County,53.0,Layoff Temporary,Contra Costa County,2020,layoff temporary,1153526.0,san ramon,24 HOUR FITNESS,66.66666666662223,16,24 Hour Fitness USA Inc.
08/05/2020,09/09/2020,08/10/2020,"24 Hour Fitness, USA, Inc",Carlsbad,San Diego County,39.0,Layoff Type Unknown,San Diego County,2020,layoff type uncategorized,3338330.0,carlsbad,24 HOUR FITNESS,95.83333333328342,16,24 Hour Fitness USA Inc.
06/09/2020,08/09/2020,06/18/2020,"24 Hour Fitness, USA, Inc.",Carlsbad,San Diego County,37.0,Layoff Permanent,San Diego County,2020,layoff permanent,3338330.0,carlsbad,24 HOUR FITNESS,99.99999999995,16,24 Hour Fitness USA Inc.
04/03/2020,04/03/2020,04/20/2020,3 Day Blinds,Irvine,Orange County,283.0,Layoff Temporary,Orange County,2020,layoff temporary,3175692.0,irvine,3 DAY BLINDS,39.341772151848936,17,3 Day Blinds
04/08/2020,03/19/2020,04/29/2020,"3 Suns, LLC",Sacramento,Sacramento County,94.0,Closure Temporary,Sacramento County,2020,closure temporary,1552058.0,sacramento,3 SUNS,33.46478873234723,18,"3 Suns, LLC"
04/07/2020,04/07/2020,05/26/2020,3566 Stevens Creek Holdings dba SunnvaleChrysler Jeep Dodge,Sunnyvale,Santa Clara County,36.0,Layoff Temporary,Santa Clara County,2020,layoff temporary,1927852.0,sunnyvale,3566 STEVENS CREEK HOLDINGS SUNNVALECHRYSLER JEEP DODGE,27.69230769226509,19,3566 Stevens Creek Holdings dba SunnvaleChrysler Jeep Dodge
08/29/2019,10/29/2019,09/09/2019,"360 Support Services, Inc. dba 360 ServiceGroup",Panorama City,Los Angeles County,17.0,Layoff Permanent,Los Angeles County,2019,layoff permanent,10039107.0,panorama city,360 SUPPORT SERVICES 360 SERVICEGROUP,41.9761904761405,20,"360 Support Services, Inc. dba 360 ServiceGroup"
07/08/2020,07/07/2020,07/22/2020,"365 Hospitality Associates, LLC dba Hyatt Place San Francisco Downtown",San Francisco,San Francisco County,29.0,Layoff Permanent,San Francisco County,2020,layoff permanent,881549.0,san francisco,365 HOSPITALITY ASSOCIATES HYATT PLACE SAN FRANCISCO DOWNTOWN,36.16438356159429,21,"365 Hospitality Associates, LLC dba Hyatt Place San Francisco Downtown"
03/17/2020,03/17/2020,04/06/2020,376 5th LLC (Lumi/Huntress),San Diego,San Diego County,1.0,Layoff Temporary,San Diego County,2020,layoff temporary,3338330.0,san diego,376 5TH LUMIHUNTRESS,29.6999999999505,22,376 5th LLC (Lumi/Huntress)
04/27/2020,03/27/2020,05/02/2020,3M,Irvine,Orange County,264.0,Layoff Temporary,Orange County,2020,layoff temporary,3175692.0,irvine,3M,26.47058823525519,23,3M
04/27/2020,04/27/2020,05/02/2020,3M Company DBA 3M Oral Care,Monrovia,Los Angeles County,464.0,Layoff Temporary,Los Angeles County,2020,layoff temporary,10039107.0,monrovia,3M 3M ORAL CARE,38.70967741932362,24,3M Company DBA 3M Oral Care
03/19/2020,03/19/2020,04/09/2020,4 Diamond Construction,Ripon,San Joaquin County,8.0,Layoff Temporary,San Joaquin County,2020,layoff temporary,762148.0,ripon,4 DIAMOND CONSTRUCTION,26.99999999995,25,4 Diamond Construction
04/03/2020,04/02/2020,04/20/2020,"4Earth Farms, LLC.",Los Angeles,Los Angeles County,35.0,Layoff Temporary,Los Angeles County,2020,layoff temporary,10039107.0,los angeles,4EARTH FARMS,33.97058823524416,26,"4Earth Farms, LLC."
04/03/2020,04/03/2020,04/17/2020,"4LEAF, Inc",Pleasanton,Alameda County,53.0,Layoff Temporary,Alameda County,2020,layoff temporary,1671329.0,pleasanton,4LEAF,36.62337662332906,27,"4LEAF, Inc"
04/03/2020,04/03/2020,04/17/2020,"4LEAF, Inc.",Pleasanton,Alameda County,53.0,Layoff Temporary,Alameda County,2020,layoff temporary,1671329.0,pleasanton,4LEAF,99.99999999995,27,"4LEAF, Inc"
06/17/2020,06/19/2020,07/07/2020,"4Over, Inc.",Los Angeles,Los Angeles County,58.0,Layoff Type Unknown,Los Angeles County,2020,layoff type uncategorized,10039107.0,los angeles,4OVER,49.23076923072189,28,"4Over, Inc."
05/12/2020,03/23/2020,06/10/2020,502 W Grand Ave,Grover Beach,San Luis Obispo County,1.0,Layoff Temporary,San Luis Obispo County,2020,layoff temporary,283111.0,grover beach,502 W GRAND AVE,22.499999999953125,29,502 W Grand Ave
05/27/2020,05/27/2020,06/10/2020,51st ST. & 8th Ave Corp DBA Loews CoronadoBay Resort,Coronado,San Diego County,21.0,Layoff Permanent,San Diego County,2020,layoff permanent,3338330.0,coronado,51ST ST 8TH AVE LOEWS CORONADOBAY RESORT,39.99999999995,30,51st ST. & 8th Ave Corp DBA Loews CoronadoBay Resort
05/27/2020,05/27/2020,06/10/2020,51st ST. & 8th Ave Corp DBA Loews CoronadoBay Resort,Coronado,San Diego County,323.0,Layoff Temporary,San Diego County,2020,layoff temporary,3338330.0,coronado,51ST ST 8TH AVE LOEWS CORONADOBAY RESORT,99.99999999995,30,51st ST. & 8th Ave Corp DBA Loews CoronadoBay Resort
03/17/2020,03/17/2020,04/06/2020,535 5th LLC,San Diego,San Diego County,1.0,Layoff Temporary,San Diego County,2020,layoff temporary,3338330.0,san diego,535 5TH,23.094339622597936,31,535 5th LLC
03/28/2020,03/17/2020,04/10/2020,"5399 Prospect Rd. LLC, DBA Super Duper",San Jose,Santa Clara County,17.0,Layoff Temporary,Santa Clara County,2020,layoff temporary,1927852.0,san jose,5399 PROSPECT RD SUPER DUPER,30.441176470543468,32,"5399 Prospect Rd. LLC, DBA Super Duper"
04/07/2020,04/07/2020,06/03/2020,"5905 AHK, LLC dba Keyes Chevrolet",Van Nuys,Los Angeles County,13.0,Layoff Permanent,Los Angeles County,2020,layoff permanent,10039107.0,van nuys,5905 AHK KEYES CHEVROLET,35.32394366192208,33,"5905 AHK, LLC dba Keyes Chevrolet"
04/07/2020,04/07/2020,06/03/2020,"5905 AHK, LLC dba Keyes Chevrolet",Van Nuys,Los Angeles County,67.0,Layoff Temporary,Los Angeles County,2020,layoff temporary,10039107.0,van nuys,5905 AHK KEYES CHEVROLET,99.99999999995,33,"5905 AHK, LLC dba Keyes Chevrolet"
04/06/2020,03/16/2020,04/20/2020,5th & Market Group LLC,San Diego,San Diego County,138.0,Layoff Temporary,San Diego County,2020,layoff temporary,3338330.0,san diego,5TH MARKET,33.432835820845625,34,5th & Market Group LLC
04/01/2020,03/23/2020,05/27/2020,"6417 Selma Hotel, LLC dba The HighlightRoom",Hollywood,Los Angeles County,111.0,Layoff Temporary,Los Angeles County,2020,layoff temporary,10039107.0,hollywood,6417 SELMA HOTEL HIGHLIGHTROOM,25.961538461488534,35,"6417 Selma Hotel, LLC dba The HighlightRoom"
03/31/2020,03/31/2020,05/20/2020,643 EMERSON ST PALO ALTO,Palo Alto,Santa Clara County,76.0,Layoff Temporary,Santa Clara County,2020,layoff temporary,1927852.0,palo alto,643 EMERSON ST PALO ALTO,36.567567567518154,36,643 EMERSON ST PALO ALTO
03/16/2020,03/16/2020,04/02/2020,6610 Melrose Management LLC dba ChiSpacca,Los Angeles,Los Angeles County,18.0,Layoff Unknown at thistime,Los Angeles County,2020,layoff type uncategorized,10039107.0,los angeles,6610 MELROSE CHISPACCA,30.46874999995239,37,6610 Melrose Management LLC dba ChiSpacca
03/26/2020,03/15/2020,03/25/2020,"71 Above, Inc. dba 71Above Restaurant",Los Angeles,Los Angeles County,120.0,Closure Unknown at thistime,Los Angeles County,2020,closure type uncategorized,10039107.0,los angeles,71 ABOVE 71ABOVE RESTAURANT,30.426229508146843,38,"71 Above, Inc. dba 71Above Restaurant"
03/17/2020,03/17/2020,04/11/2020,725 Baker LLC DBA MESA,Costa Mesa,Orange County,48.0,Layoff Temporary,Orange County,2020,layoff temporary,3175692.0,costa mesa,725 BAKER MESA,37.05263157889861,39,725 Baker LLC DBA MESA
06/13/2020,03/15/2020,09/27/2020,755 Tacos LLC DBA Poppy and Petite Taqueria,West Hollywood,Los Angeles County,123.0,Layoff Temporary,Los Angeles County,2020,layoff temporary,10039107.0,west hollywood,755 TACOS POPPY PETITE TAQUERIA,40.644444444399284,40,755 Tacos LLC DBA Poppy and Petite Taqueria
03/23/2020,03/23/2020,04/09/2020,"88 International, Inc.",Alhambra,Los Angeles County,44.0,Layoff Temporary,Los Angeles County,2020,layoff temporary,10039107.0,alhambra,88,0.0,41,"88 International, Inc."
01/16/2020,03/16/2020,01/21/2020,"8x8, Inc.",San Jose,Santa Clara County,63.0,Layoff Permanent,Santa Clara County,2020,layoff permanent,1927852.0,san jose,8X8,72.9251700679776,42,"8x8, Inc."
04/06/2020,03/16/2020,04/20/2020,9010 Melrose Avenue LLC dba Olivetta,West Hollywood,Los Angeles County,87.0,Closure Permanent,Los Angeles County,2020,closure permanent,10039107.0,west hollywood,9010 MELROSE AVENUE OLIVETTA,0.0,43,9010 Melrose Avenue LLC dba Olivetta
07/27/2020,07/13/2020,07/30/2020,"A & M Administration, LLC dba Charlotte Russe",Modesto,Stanislaus County,8.0,Closure Temporary,Stanislaus County,2020,closure temporary,550660.0,modesto,M ADMINISTRATION CHARLOTTE RUSSE,34.29729729725095,44,"A & M Administration, LLC dba Charlotte Russe"
04/23/2020,04/21/2020,05/27/2020,A R Automotive LLC dba Anderson Honda,Palo Alto,Santa Clara County,66.0,Layoff Temporary,Santa Clara County,2020,layoff temporary,1927852.0,palo alto,R AUTOMOTIVE ANDERSON HONDA,46.365591397799605,45,A R Automotive LLC dba Anderson Honda
07/14/2020,07/16/2020,07/23/2020,"A'viands, LLC",Seaside,Monterey County,197.0,Layoff Permanent,Monterey County,2020,layoff permanent,434061.0,seaside,AVIANDS,29.419354838662226,46,"A'viands, LLC"
04/10/2020,03/16/2020,05/26/2020,AAA Flag & Banner,Los Angeles,Los Angeles County,55.0,Layoff Temporary,Los Angeles County,2020,layoff temporary,10039107.0,los angeles,AAA FLAG BANNER,24.83999999995032,47,AAA Flag & Banner
03/24/2020,03/27/2020,04/07/2020,ABM AVIATION,Los Angeles,Los Angeles County,50.0,Layoff Temporary,Los Angeles County,2020,layoff temporary,10039107.0,los angeles,ABM AVIATION,27.272727272677685,48,ABM AVIATION
10/06/2020,10/31/2020,11/20/2020,ABM Aviation,San Jose,Santa Clara County,53.0,Layoff Permanent,Santa Clara County,2020,layoff permanent,1927852.0,san jose,ABM AVIATION,59.15492957742313,49,ABM Aviation
10/07/2020,10/09/2020,10/08/2020,ABM Aviation LAX Employee Parking Shuttle,Los Angeles,Los Angeles County,61.0,Layoff Permanent,Los Angeles County,2020,layoff permanent,10039107.0,los angeles,ABM AVIATION LAX EMPLOYEE PARKING SHUTTLE,62.06896551719858,50,ABM Aviation LAX Employee Parking Shuttle
10/06/2020,11/09/2020,10/14/2020,"ABM Aviation, Inc.",Los Angeles,Los Angeles County,67.0,Layoff Permanent,Los Angeles County,2020,layoff permanent,10039107.0,los angeles,ABM AVIATION,55.38461538456804,51,"ABM Aviation, Inc."
03/24/2020,03/11/2020,04/15/2020,"ABM Industry Groups, LLC.",Los Angeles,Los Angeles County,114.0,Layoff Temporary,Los Angeles County,2020,layoff temporary,10039107.0,los angeles,ABM INDUSTRY GROUPS,35.74999999995035,52,"ABM Industry Groups, LLC."
09/22/2020,10/04/2020,09/28/2020,ABM c/o Hertz,San Diego,San Diego County,1.0,Layoff Permanent,San Diego County,2020,layoff permanent,3338330.0,san diego,ABM HERTZ,40.34567901229587,53,ABM c/o Hertz
04/06/2020,03/30/2020,04/18/2020,ABM's B&I Group,Tustin,Orange County,72.0,Layoff Temporary,Orange County,2020,layoff temporary,3175692.0,tustin,ABMS BI,47.916666666616756,54,ABM's B&I Group
09/22/2020,10/04/2020,09/22/2020,"ABM, Inc.",San Diego,San Diego County,85.0,Closure Permanent,San Diego County,2020,closure permanent,3338330.0,san diego,ABM,57.93103448270868,55,"ABM, Inc."
03/20/2020,03/23/2020,04/01/2020,AC Hotel San Jose Downtown,San Jose,Santa Clara County,65.0,Layoff Temporary,Santa Clara County,2020,layoff temporary,1927852.0,san jose,AC HOTEL SAN JOSE DOWNTOWN,10.620689655135791,56,AC Hotel San Jose Downtown
01/27/2020,03/29/2020,01/27/2020,"ACME PLAYER SERVICES, LLC",Cypress,Orange County,313.0,Layoff Permanent,Orange County,2020,layoff permanent,3175692.0,cypress,ACME PLAYER SERVICES,28.47457627113818,57,"ACME PLAYER SERVICES, LLC"
11/15/2019,01/03/2020,11/20/2019,"ACT Fulfillment, Inc.",Mira Loma,Riverside County,45.0,Layoff Permanent,Riverside County,2019,layoff permanent,2470546.0,mira loma,ACT FULFILLMENT,28.137931034434246,58,"ACT Fulfillment, Inc."
08/03/2020,08/01/2020,08/07/2020,"ADESA California, LLC",Rio Linda,Sacramento County,147.0,Layoff Type Unknown,Sacramento County,2020,layoff type uncategorized,1552058.0,rio linda,ADESA CALIFORNIA,33.432835820845625,59,"ADESA California, LLC"
06/29/2020,08/01/2020,06/30/2020,"ADESA California, LLC dba ADESA GoldenGate and Automotive Finance Corporation",Tracy,San Joaquin County,42.0,Layoff Permanent,San Joaquin County,2020,layoff permanent,762148.0,tracy,ADESA CALIFORNIA ADESA GOLDENGATE AUTOMOTIVE FINANCE CORPORATION,57.14285714281633,60,"ADESA California, LLC dba ADESA GoldenGate and Automotive Finance Corporation"
03/30/2020,04/05/2020,04/16/2020,"ADESA California, LLC dba ADESA GoldenGate and Automotive Finance Corporation",Tracy,San Joaquin County,275.0,Layoff Temporary,San Joaquin County,2020,layoff temporary,762148.0,tracy,ADESA CALIFORNIA ADESA GOLDENGATE AUTOMOTIVE FINANCE CORPORATION,99.99999999995,60,"ADESA California, LLC dba ADESA GoldenGate and Automotive Finance Corporation"
03/30/2020,04/05/2020,04/16/2020,"ADESA California, LLC dba ADESA LosAngeles",Mira Loma,Riverside County,289.0,Layoff Temporary,Riverside County,2020,layoff temporary,2470546.0,mira loma,ADESA CALIFORNIA ADESA LOSANGELES,69.65034965030095,61,"ADESA California, LLC dba ADESA LosAngeles"
03/30/2020,04/05/2020,04/16/2020,"ADESA California, LLC dba ADESA San Diego",San Diego,San Diego County,69.0,Layoff Temporary,San Diego County,2020,layoff temporary,3338330.0,san diego,ADESA CALIFORNIA ADESA SAN DIEGO,82.99999999995,62,"ADESA California, LLC dba ADESA San Diego"
06/29/2020,08/01/2020,06/30/2020,"ADESA California, LLC dba ADESA/AFC LosAngeles",Mira Loma,Riverside County,71.0,Layoff Permanent,Riverside County,2020,layoff permanent,2470546.0,mira loma,ADESA CALIFORNIA ADESAAFC LOSANGELES,79.49685534586196,63,"ADESA California, LLC dba ADESA/AFC LosAngeles"
03/30/2020,04/05/2020,04/16/2020,"ADESA California, LLC dba ADESASacramento",Sacramento,Sacramento County,352.0,Layoff Temporary,Sacramento County,2020,layoff temporary,1552058.0,sacramento,ADESA CALIFORNIA ADESASACRAMENTO,74.33557046974877,64,"ADESA California, LLC dba ADESASacramento"
06/29/2020,08/01/2020,06/30/2020,"ADESA California, LLC dba Adesa Brasher's",Rio Linda,Sacramento County,113.0,Layoff Permanent,Sacramento County,2020,layoff permanent,1552058.0,rio linda,ADESA CALIFORNIA ADESA BRASHERS,77.4709677418855,65,"ADESA California, LLC dba Adesa Brasher's"
03/30/2020,04/05/2020,05/27/2020,"ADESA California, LLC dba Adesa Brasher's",Rio Linda,Sacramento County,271.0,Layoff Temporary,Sacramento County,2020,layoff temporary,1552058.0,rio linda,ADESA CALIFORNIA ADESA BRASHERS,99.99999999995,65,"ADESA California, LLC dba Adesa Brasher's"
07/31/2020,10/01/2020,08/04/2020,ADM Company,Modesto,Stanislaus County,404.0,Closure Permanent,Stanislaus County,2020,closure permanent,550660.0,modesto,ADM,18.94736842101939,66,ADM Company
07/29/2019,09/30/2019,08/19/2019,AECOM (CANCELLED)**,San Diego,San Diego County,3.0,Layoff Permanent,San Diego County,2019,layoff permanent,3338330.0,san diego,AECOM CANCELLED,27.31034482753912,67,AECOM (CANCELLED)**
06/08/2020,06/30/2020,06/15/2020,AEG AXS Holdco LLC,Los Angeles,Los Angeles County,1.0,Layoff Permanent,Los Angeles County,2020,layoff permanent,10039107.0,los angeles,AEG AXS HOLDCO,36.567567567518154,68,AEG AXS Holdco LLC
06/08/2020,06/30/2020,06/15/2020,AEG Anschutz Entertainment Group Inc. DBAAEG Sports,Carson,Los Angeles County,1.0,Layoff Permanent,Los Angeles County,2020,layoff permanent,10039107.0,carson,AEG ANSCHUTZ ENTERTAINMENT DBAAEG SPORTS,35.74999999995035,69,AEG Anschutz Entertainment Group Inc. DBAAEG Sports
06/08/2020,06/30/2020,06/15/2020,AEG Global Partnerships LLC,Carson,Los Angeles County,3.0,Layoff Temporary,Los Angeles County,2020,layoff temporary,10039107.0,carson,AEG PARTNERSHIPS,39.77499999995028,70,AEG Global Partnerships LLC
05/08/2020,06/30/2020,06/18/2020,AEG Global Partnerships LLC,Los Angeles,Los Angeles County,9.0,Layoff Permanent,Los Angeles County,2020,layoff permanent,10039107.0,los angeles,AEG PARTNERSHIPS,99.99999999995,70,AEG Global Partnerships LLC
06/08/2020,06/30/2020,06/18/2020,AEG Global Partnerships LLC,Los Angeles,Los Angeles County,1.0,Layoff Temporary,Los Angeles County,2020,layoff temporary,10039107.0,los angeles,AEG PARTNERSHIPS,99.99999999995,70,AEG Global Partnerships LLC
06/08/2020,06/30/2020,06/15/2020,AEG LA Youth Soccer Academy LLC,Carson,Los Angeles County,3.0,Layoff Permanent,Los Angeles County,2020,layoff permanent,10039107.0,carson,AEG YOUTH SOCCER ACADEMY,35.97222222217226,71,AEG LA Youth Soccer Academy LLC
06/15/2020,06/30/2020,06/25/2020,AEG LA Youth Soccer Academy LLC,Carson,Los Angeles County,3.0,Layoff Temporary,Los Angeles County,2020,layoff temporary,10039107.0,carson,AEG YOUTH SOCCER ACADEMY,99.99999999995,71,AEG LA Youth Soccer Academy LLC
06/08/2020,06/30/2020,06/16/2020,AEG Presents,San Francisco,San Francisco County,5.0,Layoff Permanent,San Francisco County,2020,layoff permanent,881549.0,san francisco,AEG PRESENTS,40.44444444439451,72,AEG Presents
06/08/2020,06/30/2020,06/16/2020,AEG Presents LLC,Saratoga,Santa Clara County,6.0,Layoff Temporary,Santa Clara County,2020,layoff temporary,1927852.0,saratoga,AEG PRESENTS,99.99999999995,72,AEG Presents
03/18/2020,03/18/2020,03/27/2020,"AEIEB INC, BLAKER EWC INC, CJJ EASEINC, EWC EAST BAY INC, DBA EUROPEANWAX CENTER",Coronado,San Diego County,74.0,Layoff Temporary,San Diego County,2020,layoff temporary,3338330.0,coronado,AEIEB BLAKER EWC CJJ EASEINC EWC EAST BAY EUROPEANWAX,29.42372881350945,73,"AEIEB INC, BLAKER EWC INC, CJJ EASEINC, EWC EAST BAY INC, DBA EUROPEANWAX CENTER"
04/08/2019,06/15/2019,04/15/2019,"AG Facilities Operations, LLC",Seal Beach,Orange County,76.0,Layoff Permanent,Orange County,2019,layoff permanent,3175692.0,seal beach,AG FACILITIES OPERATIONS,25.963636363589156,74,"AG Facilities Operations, LLC"
04/08/2019,06/15/2019,04/15/2019,"AG Facilities Operations, LLC",La Mesa,San Diego County,38.0,Layoff Permanent,San Diego County,2019,layoff permanent,3338330.0,la mesa,AG FACILITIES OPERATIONS,99.99999999995,74,"AG Facilities Operations, LLC"
04/08/2019,06/15/2019,04/15/2019,"AG Facilities Operations, LLC",West Covina,Los Angeles County,55.0,Layoff Permanent,Los Angeles,2019,layoff permanent,10039107.0,west covina,AG FACILITIES OPERATIONS,99.99999999995,74,"AG Facilities Operations, LLC"
04/08/2019,06/15/2019,04/15/2019,"AG Facilities Operations, LLC",Monrovia,Los Angeles County,53.0,Layoff Permanent,Los Angeles,2019,layoff permanent,10039107.0,monrovia,AG FACILITIES OPERATIONS,99.99999999995,74,"AG Facilities Operations, LLC"
04/08/2019,06/15/2019,04/15/2019,"AG Facilities Operations, LLC",Murrieta,Riverside County,91.0,Layoff Permanent,Riverside County,2019,layoff permanent,2470546.0,murrieta,AG FACILITIES OPERATIONS,99.99999999995,74,"AG Facilities Operations, LLC"
04/08/2019,06/15/2019,04/15/2019,"AG Facilities Operations, LLC",Redlands,San Bernardino County,14.0,Layoff Permanent,San Bernardino,2019,layoff permanent,2180085.0,redlands,AG FACILITIES OPERATIONS,99.99999999995,74,"AG Facilities Operations, LLC"
04/27/2020,04/28/2020,08/26/2020,AIO Acquisition Inc.,Ontario,San Bernardino County,11.0,Layoff Temporary,San Bernardino County,2020,layoff temporary,2180085.0,ontario,AIO ACQUISITION,44.83516483511556,75,AIO Acquisition Inc.
05/22/2020,05/22/2020,10/26/2020,AIO Acquisition Inc.,Ontario,San Bernardino County,5.0,Layoff Permanent,San Bernardino County,2020,layoff permanent,2180085.0,ontario,AIO ACQUISITION,99.99999999995,75,AIO Acquisition Inc.
05/26/2020,04/14/2020,10/26/2020,AIO Acquisition Inc.,Ontario,San Bernardino County,8.0,Layoff Type Unknown,San Bernardino County,2020,layoff type uncategorized,2180085.0,ontario,AIO ACQUISITION,99.99999999995,75,AIO Acquisition Inc.
04/11/2020,04/14/2020,06/25/2020,AIO Acquisition Inc.,Ontario,San Bernardino County,2.0,Layoff Permanent,San Bernardino County,2020,layoff permanent,2180085.0,ontario,AIO ACQUISITION,99.99999999995,75,AIO Acquisition Inc.
04/11/2020,04/14/2020,04/24/2020,AIO Acquisition Inc.,Ontario,San Bernardino County,5.0,Layoff Permanent,San Bernardino County,2020,layoff permanent,2180085.0,ontario,AIO ACQUISITION,99.99999999995,75,AIO Acquisition Inc.
05/28/2020,07/31/2020,06/18/2020,"AKQA, Inc.",San Francisco,San Francisco County,64.0,Layoff Permanent,San Francisco County,2020,layoff permanent,881549.0,san francisco,AKQA,39.024390243854846,76,"AKQA, Inc."
04/22/2020,03/19/2020,07/24/2020,"ALCC, LLC",Santa Barbara,Santa Barbara County,1.0,Layoff Type Unknown,Santa Barbara County,2020,layoff type uncategorized,446499.0,santa barbara,ALCC,28.448275862019916,77,"ALCC, LLC"
04/01/2020,03/31/2020,05/26/2020,ALPERT JEWISH COMMUNITY CENTER,Long Beach,Los Angeles County,133.0,Closure Unknown at thistime,Los Angeles County,2020,closure type uncategorized,10039107.0,long beach,ALPERT JEWISH COMMUNITY,26.399999999951998,78,ALPERT JEWISH COMMUNITY CENTER
02/06/2020,04/15/2020,02/07/2020,ALPINE VILLAGE,Torrance,Los Angeles County,35.0,Closure Permanent,Los Angeles County,2020,closure permanent,10039107.0,torrance,ALPINE VILLAGE,40.34567901229587,79,ALPINE VILLAGE
