Column,Notice Date,Effective Date,Received Date,Company,Company 2,City,County,Employees,Layoff/Closure,County Orig,Year,Layoff/Closure clean
27,12/11/2020,03/31/2021,12/22/2020,"EMPCO, LLC dba IMPCO Technologies","EMPCO, LLC dba IMPCO Technologies",Santa Ana,Orange County,91.0,Closure Permanent,Orange County,2020,closure permanent
28,12/10/2020,07/15/2020,12/22/2020,"LTF Club Management Company, LLC dba Life Time In Roseville","LTF Club Management Company, LLC",Roseville,Placer County,333.0,Closure Temporary,Sacramento County,2020,closure temporary
29,12/06/2020,12/06/2020,12/22/2020,"PT Gaming, LLC - Manteca and Stockton Facility","PT Gaming, LLC ",Manteca,San Joaquin County,63.0,Layoff Permanent,San Joaquin County,2020,layoff permanent
30,12/06/2020,12/06/2020,12/22/2020,"PT Gaming, LLC - San Jose Facility","PT Gaming, LLC ",San Jose,Santa Clara County,124.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
31,12/08/2020,12/06/2020,12/22/2020,"Dust Bowl Brewing Co., LLC",DUST BOWL BREWING CO,Turlock,Stanislaus County,67.0,Layoff Temporary,Stanislaus County,2020,layoff temporary
32,12/07/2020,12/07/2020,12/22/2020,Hayes Mansion,Hayes Mansion,San Jose,Santa Clara County,25.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
33,11/10/2020,01/10/2021,12/22/2020,"Kaiser Foundation Hospitals - Pleasanton Tech Center, Bldg. A",Kaiser Foundation Hospitals,Pleasanton,Alameda County,71.0,Layoff Permanent,Alameda County,2020,layoff permanent
34,11/10/2020,01/10/2021,12/22/2020,Kaiser Foundation Hospitals - Via Monte,Kaiser Foundation Hospitals,Walnut Creek,Contra Costa County,4.0,Layoff Permanent,Contra Costa County,2020,layoff permanent
35,11/10/2020,01/10/2021,12/22/2020,Kaiser Foundation Hospitals - Burbank Administration,Kaiser Foundation Hospitals,Woodland Hills,Los Angeles County,1.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
36,11/10/2020,01/10/2021,12/22/2020,Kaiser Foundation Hospitals - California Service Center,Kaiser Foundation Hospitals,San Diego,San Diego County,3.0,Layoff Permanent,San Diego County,2020,layoff permanent
37,12/01/2020,11/30/2020,12/21/2020,Hawaiian Gardens Casino,Hawaiian Gardens Casino,Hawaiian Gardens,Los Angeles County,141.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
38,12/01/2020,11/30/2020,12/21/2020,"Progressive Gaming, LLC",Progressive Gaming LLC,Hawaiian Gardens,Los Angeles County,176.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
39,12/01/2020,11/30/2020,12/21/2020,"Progressive Gaming, LLC dba Commerce Casino",Progressive Gaming LLC,Commerce,Los Angeles County,175.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
40,12/03/2020,12/04/2020,12/21/2020,Santa monica Georgian Management LLC-Georgian Hotel,Santa Monica Georgian Management LLC,Santa Monica,Los Angeles County,35.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
41,12/04/2020,02/04/2021,12/21/2020,"Premier Healthcare Management, Inc.","Premier Healthcare Management, Inc.",El Cajon,San Diego County,82.0,Layoff Permanent,San Diego County,2020,layoff permanent
42,12/09/2020,12/08/2020,12/21/2020,San Diego Coaster Company LP,San Diego Coaster Company LP,San Diego,San Diego County,54.0,Layoff Permanent,San Diego County,2020,layoff permanent
43,12/01/2020,12/02/2020,12/21/2020,"CorePower Yoga, LLC",CorePower Yoga LLC,San Mateo,San Mateo County,12.0,Layoff Temporary,San Mateo County,2020,layoff temporary
44,12/02/2020,01/31/2020,12/21/2020,Pulse Secure,Pulse Secure,San Jose,Santa Clara County,78.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
45,11/30/2020,02/05/2021,12/21/2020,"Crescent Hotels & Resort, LLC - Four Points by Sheraton LAX","Crescent Hotels & Resort, LLC - Four Points by Sheraton LAX",Los Angeles,Los Angeles County,214.0,Closure Permanent,Los Angeles County,2020,closure permanent
46,11/10/2020,11/10/2020,12/21/2020,Kaiser Foundation Hospitals - Downey Administration Offices,Kaiser Foundation Hospitals,Downey,Los Angeles County,1.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
47,11/10/2020,11/10/2020,12/21/2020,"Kaiser Foundation Hospitals - Marketing, Sales, Service, Admin",Kaiser Foundation Hospitals,Burbank,Los Angeles County,1.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
48,11/25/2020,11/30/2020,12/21/2020,The Edward Thomas Hospitality Corp. - Shutters on the Beach,The Edward Thomas Hospitality Corp. - Shutters on the Beach,Santa Monica,Los Angeles County,72.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
49,11/10/2020,01/10/2021,12/21/2020,Kaiser Foundation Hospitals - Corona Data Center Admin,Kaiser Foundation Hospitals,Corona,Riverside County,4.0,Layoff Permanent,Riverside County,2020,layoff permanent
50,12/04/2020,11/30/2020,12/18/2020,Seaside Dining Group,"SEASIDE DINING GROUP, INC.",Hawthorne,Los Angeles County,6.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
51,12/04/2020,11/30/2020,12/18/2020,"Seaside Dining Group, Inc","SEASIDE DINING GROUP, INC.",Los Angeles,Los Angeles County,6.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
52,12/04/2020,11/30/2020,12/18/2020,"Seaside Dining Group, Inc.","SEASIDE DINING GROUP, INC.",Alhambra,Los Angeles County,32.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
53,12/04/2020,11/30/2020,12/18/2020,"SEASIDE DINING GROUP, INC.","SEASIDE DINING GROUP, INC.",Duarte,Los Angeles County,7.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
54,12/07/2020,12/09/2020,12/18/2020,Stones South Bay Corp. dba Seven Mile Casino,Stones South Bay Corp. dba Seven Mile Casino,Chula Vista,San Diego County,250.0,Layoff Temporary,San Diego County,2020,layoff temporary
55,12/07/2020,02/13/2021,12/18/2020,Valiant Integrated Services,Valiant Integrated Services,Fort Irwin,San Bernardino County,84.0,Closure Temporary,San Bernardino County,2020,closure temporary
56,12/04/2020,01/29/2020,12/17/2020,"Universal City Studios, LLC dba Universal Studios Hollywood","Universal City Studios, LLC ",Universal City,Los Angeles County,2.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
57,11/13/2020,11/13/2020,12/17/2020,Hyatt Corporation dba Andaz Napa,Hyatt Corporation dba Grand Hyatt San Diego,Napa,Napa County,6.0,Layoff Permanent,Napa County,2020,layoff permanent
58,12/04/2020,12/04/2020,12/17/2020,"Wencor Group, LLC","Wencor Group, LLC",Temecula,Riverside County,5.0,Layoff Permanent,Riverside County,2020,layoff permanent
59,12/07/2020,12/07/2020,12/17/2020,Alisal Guest Ranch and Resort,Alisal Guest Ranch and Resort,Solvang,Santa Barbara County,252.0,Layoff Temporary,Santa Barbara County,2020,layoff temporary
60,12/04/2020,11/18/2020,12/17/2020,"Knighted Ventures, LLC","Knighted Ventures, LLC",Gilroy,Santa Clara County,33.0,Closure Temporary,Santa Clara County,2020,closure temporary
61,12/01/2020,11/30/2020,12/17/2020,Crystal Casino,Crystal Casino,Compton,Los Angeles County,295.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
62,11/25/2020,11/25/2020,12/17/2020,"TUPELO RESTAURANTS, INC. DBA BO-BEAU KITCHEN + ROOF TAP","TUPELO RESTAURANTS, INC.",Long Beach,Los Angeles County,26.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
63,11/30/2020,11/25/2020,12/17/2020,"Soho Warehouse, LLC",Soho Warehouse,Los Angeles,Los Angeles County,98.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
64,11/29/2020,11/30/2020,12/17/2020,"Prime Time Athletic Club, Inc.","Prime Time Athletic Club, Inc.",Burlingame,San Mateo County,57.0,Closure Temporary,San Mateo County,2020,closure temporary
65,12/05/2020,12/06/2020,12/17/2020,PLAYERS CASINO,PLAYERS CASINO,Ventura,Ventura County,62.0,Layoff Temporary,Ventura County,2020,layoff temporary
66,12/04/2020,12/04/2020,12/16/2020,Cambria Hotel & Suites,Cambria Hotel & Suites,Anaheim,Orange County,15.0,Layoff Temporary,Orange County,2020,layoff temporary
67,12/05/2020,12/05/2020,12/16/2020,Golden Door Spa,Golden Door Spa,San Marcos,San Diego County,90.0,Layoff Temporary,San Diego County,2020,layoff temporary
68,11/27/2020,11/27/2020,12/15/2020,"USA Cinemas Services, LLC dba Cinepolis","USA Cinema Services, LLC. ",Thousand Oaks,Ventura County,31.0,Closure Temporary,Ventura County,2020,closure temporary
69,11/30/2020,11/25/2020,12/14/2020,Soho House,Soho House,West Hollywood,Los Angeles County,140.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
70,12/01/2020,01/31/2021,12/14/2020,"Sundance Holdings Group, LLC","Sundance Holdings Group, LLC",Corte Madera,Marin County,7.0,Closure Permanent,Marin County,2020,closure permanent
71,12/02/2020,12/31/2020,12/14/2020,Bolle Brands,Bolle Brands,Carlsbad,San Diego County,1.0,Layoff Permanent,San Diego County,2020,layoff permanent
72,12/01/2020,02/01/2021,12/14/2020,Wells Fargo,Wells Fargo,San Francisco,San Francisco County,10.0,Layoff Permanent,San Francisco County,2020,layoff permanent
73,12/01/2020,12/03/2020,12/14/2020,"Equinox Holdings, Inc.","Equinox Holdings, Inc.",San Mateo,San Mateo County,68.0,Layoff Temporary,San Mateo County,2020,layoff temporary
74,12/01/2020,01/30/2021,12/14/2020,MobileIron,MobileIron,Mountain View,Santa Clara County,75.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
75,12/03/2020,03/15/2021,12/11/2020,Southwest Airlines - John Wayne Airport,Southwest Airlines ,Santa Ana,Orange County,128.0,Layoff Temporary,Orange County,2020,layoff temporary
76,12/03/2020,03/15/2021,12/11/2020,Southwest Airlines - Sacramento International Airport,Southwest Airlines ,Sacramento,Sacramento County,208.0,Layoff Temporary,Sacramento County,2020,layoff temporary
77,12/03/2020,03/15/2021,12/11/2020,Southwest Airlines - San Diego International Airport,Southwest Airlines ,San Diego,San Diego County,358.0,Layoff Temporary,San Diego County,2020,layoff temporary
78,12/03/2020,03/15/2021,12/11/2020,Southwest Airlines - Norman Y. Mineta San Jose International Airport,Southwest Airlines ,San Jose,Santa Clara County,285.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
79,11/20/2020,11/20/2020,12/11/2020,YMCA,YMCA,Burbank,Los Angeles County,80.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
80,11/25/2020,11/25/2020,12/08/2020,Joey Downtown Los Angeles Restaurant,Joey Downtown Los Angeles Restaurant,Los Angeles,Los Angeles County,92.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
81,11/25/2020,11/25/2020,12/08/2020,Joey Woodland Hills Restaurant,Joey Woodland Hills Restaurant,Woodland Hills,Los Angeles County,72.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
82,12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - Metropolitan Oakland International Airport,Southwest Airlines ,Oakland,Alameda County,573.0,Layoff Temporary,Alameda County,2020,layoff temporary
83,12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - Long Beach/Daughtry Field,Southwest Airlines ,Long Beach,Los Angeles County,16.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
84,12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - Los Angeles International Airport,Southwest Airlines ,Los Angeles,Los Angeles County,632.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
85,12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - Hollywood Burbank Airport,Southwest Airlines ,Burbank,Los Angeles County,141.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
86,12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - Palm Springs International Airport,Southwest Airlines ,Palm Springs,Riverside County,1.0,Layoff Temporary,Riverside County,2020,layoff temporary
87,12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - Ontario International Airport,Southwest Airlines ,Ontario,San Bernardino County,54.0,Layoff Temporary,San Bernardino County,2020,layoff temporary
88,12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - San Francisco International Airport,Southwest Airlines ,San Francisco,San Francisco County,158.0,Layoff Temporary,San Francisco County,2020,layoff temporary
89,10/15/2020,12/15/2020,12/04/2020,"Century Blinds, Inc.",Century Blinds Inc.,Corona,Riverside County,46.0,Closure Permanent,Riverside County,2020,closure permanent
90,11/18/2020,01/25/2021,12/04/2020,"Southwest Airlines, Metropolitan Oakland International Airport",Southwest Airlines ,Oakland,Alameda County,8.0,Layoff Temporary,Alameda County,2020,layoff temporary
91,11/30/2020,09/25/2020,12/03/2020,"STAR Sports Theatre Arts & Recreation, Inc.","STAR Sports Theatre Arts & Recreation, Inc.",Culver City,Los Angeles County,70.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
92,11/25/2020,11/30/2020,12/03/2020,VH Property Corp dba Trump National Golf Club,VH Property Corp dba Trump National Golf Club,Rancho Palos Verdes,Los Angeles County,26.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
93,09/30/2020,09/28/2020,12/03/2020,Centric Brands Inc.,Centric Brands Inc.,Los Angeles,Los Angeles County,1.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
94,09/18/2020,09/18/2020,12/03/2020,"Hyatt Corporation, Andaz West Hollywood",Hyatt Corporation dba Grand Hyatt San Diego,West Hollywood,Los Angeles County,10.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
95,11/30/2020,01/29/2021,12/03/2020,IAP Worldwide Services Inc.,IAP Worldwide Services Inc.,Fresno,Fresno County,108.0,Layoff Permanent,Fresno County,2020,layoff permanent
96,11/30/2020,12/03/2020,12/03/2020,Blackstone Gaming LLC dba Larry Flynt's Lucky Lady Casino,Blackstone Gaming ,Gardena,Los Angeles County,54.0,Closure Temporary,Los Angeles County,2020,closure temporary
97,10/27/2020,12/27/2020,12/03/2020,La Quinta Resort Club US,La Quinta Resort Club US,La Quinta,Riverside County,207.0,Layoff Permanent,Riverside County,2020,layoff permanent
98,11/30/2020,12/03/2020,12/03/2020,Blackstone Gaming LLC at Casino M8trix,Blackstone Gaming ,San Jose,Santa Clara County,106.0,Closure Temporary,Santa Clara County,2020,closure temporary
99,11/30/2020,01/29/2021,12/03/2020,TE Connectivity,TE Connectivity,Campbell,Santa Clara County,178.0,Closure Permanent,Santa Clara County,2020,closure permanent
100,11/24/2020,11/17/2020,12/02/2020,Blackhawk Country Club,Blackhawk Country Club,Danville,Contra Costa County,31.0,Layoff Temporary,Contra Costa County,2020,layoff temporary
101,11/24/2020,01/31/2020,12/02/2020,UPS Supply Chain Solutions,UPS Supply Chain Solutions,Fontana,San Bernardino County,87.0,Layoff Permanent,San Bernardino County,2020,layoff permanent
102,11/25/2020,01/17/2021,12/02/2020,VillaSport Club & Spa,VillaSport Club & Spa,San Jose,Santa Clara County,30.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
103,04/28/2020,04/20/2020,12/02/2020,Zoological Society of San Diego dba San Diego Zoo Global,Zoological Society of San Diego dba San Diego Zoo Global,San Diego,San Diego County,1690.0,Layoff Temporary,San Diego County,2020,layoff temporary
104,11/02/2020,12/31/2020,12/02/2020,Paramount Recovery Services,Paramount Recovery Services,Sunnyvale,Santa Clara County,10.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
105,11/02/2020,12/31/2020,12/02/2020,Paramount Recovery Service,Paramount Recovery Services,Simi Valley,Ventura County,20.0,Layoff Temporary,Ventura County,2020,layoff temporary
106,10/20/2020,12/09/2020,12/01/2020,Claremont McKenna College,Claremont McKenna College,Claremont,Los Angeles County,129.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
107,11/30/2020,11/30/2020,12/01/2020,"Temple City Baekjeong, LLC","Temple City Baekjeong, LLC",Temple City,Los Angeles County,52.0,Closure Permanent,Los Angeles County,2020,closure permanent
108,11/18/2020,11/23/2020,12/01/2020,In Shape Health Clubs,In-Shape Health Clubs,Capitola,Santa Cruz County,12.0,Closure Temporary,Santa Cruz County,2020,closure temporary
109,11/18/2020,11/23/2020,12/01/2020,In-Shape Health Clubs,In-Shape Health Clubs,Vacaville,Solano County,12.0,Closure Temporary,Solano County,2020,closure temporary
110,09/16/2020,09/30/2020,12/01/2020,Bon Appetit Management Co.,BON APPETIT Management Company,Burbank,Los Angeles County,176.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
111,11/25/2020,12/05/2020,12/01/2020,"Universal City Studios, LLC dba Universal Studios Hollywood","Universal City Studios, LLC ",Universal City,Los Angeles County,6.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
112,11/25/2020,11/25/2020,12/01/2020,Interstate Management Co. LLC dba Perry Lang's Yountville Restaurant at The Estate,Interstate Management Co. LLC dba Perry Lang's Yountville Restaurant at The Estate,Yountville,Napa County,11.0,Layoff Temporary,Napa County,2020,layoff temporary
113,11/30/2020,11/30/2020,12/01/2020,Evolution Hospitality dba Cambria Hotel & Suites Anaheim,Evolution Hospitality dba Cambria Hotel & Suites Anaheim,Anaheim,Orange County,4.0,Layoff Temporary,Orange County,2020,layoff temporary
114,11/02/2020,12/31/2020,11/30/2020,RockSugar Southeast Asian Kitchen,RockSugar Southeast Asian Kitchen,Los Angeles,Los Angeles County,106.0,Closure Permanent,Los Angeles County,2020,closure permanent
115,11/20/2020,11/30/2020,11/30/2020,"Kirkhill, Inc.","Kirkhill, Inc.",Brea,Orange County,536.0,Layoff Temporary,Orange County,2020,layoff temporary
116,11/24/2020,11/24/2020,11/30/2020,"Hosopo, Corporation","HOSOPO, CORPORATION",Hemet,Riverside County,137.0,Closure Permanent,Riverside County,2020,closure permanent
117,11/16/2020,01/29/2021,11/30/2020,Boston Scientific Corporation,Boston Scientific Corporation,Menlo Park,San Mateo County,126.0,Closure Permanent,San Mateo County,2020,closure permanent
118,11/19/2020,01/19/2021,11/30/2020,"Greenberry Industrial, LLC","Greenberry Industrial, LLC",Fairfield,Solano County,38.0,Closure Permanent,Solano County,2020,closure permanent
119,11/23/2020,11/23/2020,11/30/2020,"Tricap International, LLC","Tricap International, LLC",Rancho Dominguez,Los Angeles County,180.0,Closure Permanent,Los Angeles County,2020,closure permanent
120,11/13/2020,11/13/2020,11/30/2020,"Flying Food Group, LLC","Flying Food Group, LLC",South San Francisco,San Mateo County,7.0,Layoff Type Unknown,San Mateo County,2020,layoff type unknown
121,11/30/2020,11/30/2020,11/30/2020,Hotel Casa Del Mar,Hotel Casa Del Mar,Santa Monica,Los Angeles County,36.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
122,10/28/2020,11/28/2020,11/25/2020,Kaiser Foundation Hospitals,Kaiser Foundation Hospitals,San Jose,Santa Clara County,1.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
123,11/23/2020,11/26/2020,11/24/2020,King's Seafood Company,King's Seafood Company,Long Beach,Los Angeles County,102.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
124,11/23/2020,11/26/2020,11/24/2020,King's Seafood Company,King's Seafood Company,Santa Monica,Los Angeles County,237.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
125,11/23/2020,11/26/2020,11/24/2020,Kings Seafood Company,King's Seafood Company,Los Angeles,Los Angeles County,70.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
126,03/20/2020,03/20/2020,11/24/2020,Soho Warehouse,Soho Warehouse,Los Angeles,Los Angeles County,16.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
127,11/16/2020,01/11/2021,11/23/2020,Adventist Health Home Care,Adventist Health Bakersfield,Chico,Butte County,14.0,Closure Permanent,Butte County,2020,closure permanent
128,11/19/2020,11/17/2020,11/23/2020,CorePower Yoga LLC,CorePower Yoga LLC,Berkeley,Alameda County,18.0,Closure Temporary,Contra Costa County,2020,closure temporary
129,11/18/2020,01/29/2021,11/23/2020,Dun & Bradstreet,Dun & Bradstreet,Malibu,Los Angeles County,1.0,Closure Permanent,Los Angeles County,2020,closure permanent
130,11/18/2020,01/25/2021,11/23/2020,Metroplitan Oakland International Airport,Metroplitan Oakland International Airport,Oakland,Alameda County,8.0,Layoff Temporary,Alameda County,2020,layoff temporary
131,11/18/2020,01/25/2021,11/23/2020,Southwest Airlines,Southwest Airlines ,Los Angeles,Los Angeles County,6.0,Layoff Temporary,Alameda County,2020,layoff temporary
132,11/20/2020,01/21/2020,11/23/2020,"Kinkisharyo International, LLC","Kinkisharyo International, L.L.C.",Palmdale,Los Angeles County,10.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
133,11/20/2020,11/30/2020,11/23/2020,Sheraton Park Hotel at the Anaheim Resort,Sheraton Park Hotel at the Anaheim Resort,Anaheim,Orange County,63.0,Layoff Temporary,Orange County,2020,layoff temporary
134,10/23/2020,03/16/2020,11/20/2020,Athletics Investment Group LLC,Athletics Investment Group LLC,Oakland,Alameda County,63.0,Layoff Permanent,Alameda County,2020,layoff permanent
135,10/27/2020,12/21/2020,11/20/2020,Full Steam Staffing,Full Steam Staffing,Orland,Glenn County,21.0,Layoff Temporary,Glenn County,2020,layoff temporary
136,11/19/2020,03/31/2021,11/20/2020,TridentCare,TridentCare,Burbank,Los Angeles County,36.0,Closure Permanent,Los Angeles County,2020,closure permanent
137,11/20/2020,01/29/2021,11/20/2020,Edition Management LLC dba The West Hollywood EDITION,EDITION Management LLC,West Hollywood,Los Angeles County,15.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
138,11/18/2020,11/18/2020,11/20/2020,Napa Valley Casino,Napa Valley Casino,American Canyon,Napa County,69.0,Layoff Temporary,Napa County,2020,layoff temporary
139,11/20/2020,01/29/2020,11/20/2020,"Marriott Hotel Services, Inc. dba The Anaheim Marriott Hotel","Marriott Hotel Services, Inc.",Anaheim,Orange County,54.0,Layoff Permanent,Orange County,2020,layoff permanent
140,11/18/2020,04/08/2020,11/20/2020,"WeWork Companies, Inc. dba WeWork","WeWork Companies, Inc.",San Francisco,San Francisco County,105.0,Layoff Permanent,San Francisco County,2020,layoff permanent
141,10/02/2020,09/30/2020,11/20/2020,"Vince, LLC","Vince, LLC",Camarillo,Ventura County,3.0,Layoff Permanent,Ventura County,2020,layoff permanent
142,10/06/2020,10/31/2020,11/20/2020,ABM Aviation,ABM AVIATION,San Jose,Santa Clara County,53.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
143,11/19/2020,01/29/2020,11/20/2020,TAMCO,TAMCO,Rancho Cucamonga,San Bernardino County,45.0,Closure Permanent,San Bernardino County,2020,closure permanent
144,11/17/2020,11/16/2020,11/20/2020,Cohen Restaurant Group,Cohen Restaurant Group,San Diego,San Diego County,90.0,Layoff Permanent,San Diego County,2020,layoff permanent
