Column,Notice Date,Effective Date,Received Date,Company,Company 2,City,County,Employees,Layoff/Closure,Year
34,04/30/2020,03/16/2020,11/03/2020,"Payne's Janitorial Services, Inc.","Payne's Janitorial Services, Inc.",La Habra,Orange County,65.0,closure permanent,2020
35,10/15/2020,02/22/2021,11/02/2020,Maritz Holdings Inc.,"Maritz Holdings, Inc.",Torrance,Los Angeles County,2.0,layoff permanent,2020
36,06/30/2020,06/30/2020,11/02/2020,Carlton Forge Works,Carlton Forge Works,Paramount,Los Angeles County,77.0,layoff permanent,2020
37,09/15/2020,10/01/2020,11/02/2020,Amtrak,Amtrak,Los Angeles,Los Angeles County,272.0,layoff permanent,2020
38,09/03/2020,05/08/2020,11/02/2020,Molson Coors Beverage Company,Molson Coors Beverage Company,Baldwin Park,Los Angeles County,462.0,closure permanent,2020
39,09/09/2020,11/09/2020,11/02/2020,Silgan Containers,Silgan Containers,Riverbank,Stanislaus County,150.0,layoff temporary,2020
40,05/13/2020,03/13/2020,11/02/2020,Park Management Corp. - Six Flags Hurricane Harbor Concord,Park Management Corp. - Six Flags Hurricane Harbor Concord,Concord,Contra Costa County,1.0,layoff temporary,2020
41,10/20/2020,12/30/2020,11/02/2020,TAMCO,TAMCO,Rancho Cucamonga,San Bernardino County,66.0,closure permanent,2020
42,09/10/2020,11/14/2020,10/30/2020,"Wheel Pros, LLC","Wheel Pros, LLC",Rancho Dominguez,Los Angeles County,88.0,closure permanent,2020
43,09/08/2020,10/08/2020,10/30/2020,"Intercept Pharmaceuticals, Inc.","Intercept Pharmaceuticals, Inc.",San Diego,San Diego County,2.0,layoff permanent,2020
44,10/01/2020,11/30/2020,10/30/2020,Orora Visual LLC,Orora Visual LLC,Los Angeles,Los Angeles County,5.0,closure permanent,2020
45,07/30/2020,07/21/2020,10/29/2020,VFC,VFC,Alameda,Alameda County,7.0,closure permanent,2020
46,09/16/2020,04/27/2020,10/29/2020,Araca Merchandise LP.,Araca Merchandise LP.,San Fernando,Los Angeles County,89.0,layoff permanent,2020
47,10/23/2020,09/25/2020,10/29/2020,"STAR Sports Theatre Arts & Recreation, Inc.","STAR Sports Theatre Arts & Recreation, Inc.",Culver City,Los Angeles County,60.0,layoff permanent,2020
48,09/17/2020,08/31/2020,10/29/2020,"Alcatraz Cruises, LLC","Alcatraz Cruises, LLC",San Francisco,San Francisco County,2.0,layoff permanent,2020
49,09/29/2020,10/23/2020,10/28/2020,"Thermal Structures, Inc.","Thermal Structures, Inc.",Corona,Riverside County,350.0,layoff temporary,2020
50,10/20/2020,10/08/2020,10/28/2020,Regal Cinemas,Regal Cinemas,Fairfield,Solano County,32.0,closure temporary,2020
51,08/20/2020,08/08/2020,10/28/2020,Aldo US Inc. Store 2072,Aldo US Inc.,Los Angeles,Los Angeles County,31.0,layoff temporary,2020
52,08/20/2020,08/08/2020,10/28/2020,"Aldo US Inc., Store 2081",Aldo US Inc.,Arcadia,Los Angeles County,7.0,layoff temporary,2020
53,08/20/2020,08/08/2020,10/28/2020,"Aldo US Inc., Store 2077",Aldo US Inc.,Sacramento,Sacramento County,10.0,layoff temporary,2020
54,08/20/2020,08/08/2020,10/28/2020,Aldo US Inc. Store 2144,Aldo US Inc.,San Jose,Santa Clara County,3.0,layoff temporary,2020
55,08/20/2020,07/24/2020,10/28/2020,Aldo US Inc.,Aldo US Inc.,Ventura,Ventura County,8.0,layoff temporary,2020
56,08/14/2020,08/31/2020,10/27/2020,Aramark -Asilomar,Aramark,Pacific Grove,Monterey County,33.0,layoff permanent,2020
57,10/23/2020,12/31/2020,10/27/2020,Pacific Life Insurance Company,Pacific Life Insurance Company,Newport Beach,Orange County,87.0,layoff permanent,2020
58,10/23/2020,12/28/2020,10/27/2020,Lehigh Southwest Cement Company,Lehigh Southwest Cement Company,Cupertino,Santa Clara County,40.0,layoff temporary,2020
59,10/09/2020,03/21/2020,10/27/2020,Equinox - Sports Club LA,Equinox,Los Angeles,Los Angeles County,8.0,layoff permanent,2020
60,09/30/2020,11/30/2020,10/27/2020,"Intercontinental Hotels Group Resources, LLC (IHG)","Intercontinental Hotels Group Resources, LLC",Santa Clara,Santa Clara County,17.0,layoff permanent,2020
61,09/30/2020,11/30/2020,10/27/2020,"InterContinental Hotels Group Resources, LLC (IHG)","Intercontinental Hotels Group Resources, LLC",Sunnyvale,Santa Clara County,29.0,layoff permanent,2020
62,08/20/2020,08/08/2020,10/27/2020,Aldo US Inc. Store 2067,Aldo US Inc.,Santa Clara,Santa Clara County,25.0,layoff temporary,2020
63,10/22/2020,11/01/2020,10/26/2020,"Gatan, Inc","Gatan, Inc",Pleasanton,Alameda County,105.0,layoff temporary,2020
64,09/28/2020,07/26/2020,10/26/2020,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Los Angeles,Los Angeles County,9.0,layoff temporary,2020
65,09/24/2020,07/12/2020,10/26/2020,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Los Angeles,Los Angeles County,68.0,layoff temporary,2020
66,09/24/2020,07/12/2020,10/26/2020,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Santa Monica,Los Angeles County,34.0,layoff temporary,2020
67,09/24/2020,07/26/2020,10/26/2020,"Company 3 Method Inc. fka Deluxe Creative Services, Inc.",Company 3 Method Inc. fka Deluxe Creative Services Inc.,Burbank,Los Angeles County,7.0,layoff temporary,2020
68,09/24/2020,07/31/2020,10/26/2020,Company 3 Method Inc. fka Deluxe Creative Services,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Burbank,Los Angeles County,12.0,layoff permanent,2020
69,09/24/2020,10/02/2020,10/26/2020,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Los Angeles,Los Angeles County,7.0,layoff permanent,2020
70,09/24/2020,10/02/2020,10/26/2020,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Los Angeles,Los Angeles County,4.0,layoff permanent,2020
71,09/24/2020,10/02/2020,10/26/2020,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Santa Monica,Los Angeles County,3.0,layoff permanent,2020
72,05/22/2020,05/22/2020,10/26/2020,AIO Acquisition Inc.,AIO Acquisition Inc.,Ontario,San Bernardino County,5.0,layoff permanent,2020
73,05/26/2020,04/14/2020,10/26/2020,AIO Acquisition Inc.,AIO Acquisition Inc.,Ontario,San Bernardino County,8.0,layoff type unknown,2020
74,10/21/2020,12/04/2020,10/26/2020,"Universal City Studios, LLC dba Universal Studios Hollywood","Universal City Studios, LLC",Universal City,Los Angeles County,170.0,layoff permanent,2020
75,10/23/2020,12/22/2020,10/26/2020,Kinkisharyo International LLC,"Kinkisharyo International, LLC",Palmdale,Los Angeles County,5.0,layoff permanent,2020
76,09/25/2020,11/27/2020,10/23/2020,Los Angeles Philharmonic Association,Los Angeles Philharmonic Association,Los Angeles,Los Angeles County,38.0,layoff permanent,2020
77,08/03/2020,07/31/2020,10/23/2020,"Galpin Motors, Inc.","Galpin Motors, Inc.",North Hills,Los Angeles County,47.0,layoff permanent,2020
78,08/03/2020,08/04/2020,10/23/2020,"Galpin Motors, Inc.","Galpin Motors, Inc.",Mission Hills,Los Angeles County,4.0,layoff permanent,2020
79,08/19/2020,06/05/2020,10/23/2020,Rosa Mexicano,Rosa Mexicano,San Francisco,San Francisco County,76.0,closure permanent,2020
80,08/28/2020,09/01/2020,10/23/2020,Stanford University,Stanford University,Stanford,Santa Clara County,34.0,layoff temporary,2020
81,08/28/2020,09/01/2020,10/23/2020,Stanford University,Stanford University,Stanford,Santa Clara County,230.0,layoff permanent,2020
82,08/20/2020,08/04/2020,10/23/2020,"Precision Founders, Inc. dba PCC Structurals","Precision Founders, Inc",Hayward,Alameda County,15.0,layoff temporary,2020
83,08/20/2020,08/31/2020,10/23/2020,San Francisco Symphony,San Francisco Symphony,San Francisco,San Francisco County,4.0,layoff permanent,2020
84,08/20/2020,08/31/2020,10/23/2020,San Francisco Symphony,San Francisco Symphony,San Francisco,San Francisco County,8.0,layoff temporary,2020
85,08/27/2020,10/30/2020,10/22/2020,"Marriott Hotel Services, Inc., DBA Torrance Marriott Redondo Beach",Mariott Resorts Hospitality Corporation,Torrance,Los Angeles County,67.0,layoff permanent,2020
86,10/15/2020,02/22/2021,10/22/2020,"Martiz Holdings, Inc.","Maritz Holdings, Inc.",Torrance,Los Angeles County,2.0,layoff permanent,2020
87,10/16/2020,10/16/2020,10/22/2020,Sodexo Inc,Sodexo,Los Angeles,Los Angeles County,206.0,layoff temporary,2020
88,07/23/2020,06/15/2020,10/22/2020,"Hillphoenix dba Anthony, Inc.","Hillphoenix dba Anthony, Inc.",Sylmar,Los Angeles County,404.0,layoff temporary,2020
89,07/24/2020,09/11/2020,10/22/2020,Green Dot Corp,Green Dot Corp,Pasadena,Los Angeles County,56.0,layoff permanent,2020
90,08/28/2020,10/30/2020,10/22/2020,"Marriott Hotel Services, Inc.",Mariott Resorts Hospitality Corporation,Monterey,Monterey County,48.0,layoff permanent,2020
91,10/15/2020,10/26/2020,10/22/2020,TGI Friday's Inc,TGI Friday's,Westminster,Orange County,44.0,closure permanent,2020
92,08/03/2020,10/10/2020,10/22/2020,"Communications Test Design, Inc.","Communications Test Design, Inc.",Lincoln,Placer County,49.0,closure permanent,2020
93,08/27/2020,10/30/2020,10/22/2020,Renaissance Hotel Operating Co. DBA Renaissance Esmeralda Resort and Spa,Renaissance Hotel,Indian Wells,Riverside County,186.0,layoff permanent,2020
94,08/27/2020,10/30/2020,10/22/2020,"Ritz-Carlton Hotel Company LLC DBA  Ritz-Carlton, Rancho Mirage","Ritz-Carlton Hotel Company LLC DBA  Ritz-Carlton, Rancho Mirage",Rancho Mirage,Riverside County,69.0,layoff permanent,2020
95,09/18/2020,03/18/2020,10/22/2020,Hotel Nia,Hotel Nia,Menlo Park,San Mateo County,132.0,layoff permanent,2020
96,08/31/2020,10/30/2020,10/22/2020,Safran Seats,Safran Seats,Santa Maria,Santa Barbara County,12.0,layoff permanent,2020
97,08/31/2020,08/20/2020,10/22/2020,Bon Appetit,Bon Appetit,Sunnyvale,Santa Clara County,329.0,layoff permanent,2020
98,10/13/2020,12/12/2020,10/22/2020,VillaSport Club & Spa,VillaSport Club & Spa,San Jose,Santa Clara County,134.0,layoff permanent,2020
99,10/16/2020,12/21/2020,10/22/2020,Jabil Inc,Jabil Inc.,San Jose,Santa Clara County,178.0,closure temporary,2020
100,10/19/2020,12/18/2020,10/22/2020,Budget 8 LTD dba E-Z 8 Motel,Budget 8 LTD dba E-Z 8 Motel,San Jose,Santa Clara County,12.0,closure permanent,2020
101,10/16/2020,10/16/2020,10/22/2020,"Sodexo, Inc.",Sodexo,Simi Valley,Ventura County,80.0,layoff temporary,2020
102,08/14/2020,05/18/2020,10/21/2020,"BPR Properties Management, LLC dba BPR HOTELS","BPR Properties Management, LLC",Berkeley,Alameda County,98.0,layoff permanent,2020
103,10/14/2020,08/25/2020,10/21/2020,Hilton Checkers Los Angeles,Hilton,Los Angeles,Los Angeles County,47.0,layoff permanent,2020
104,10/15/2020,12/01/2020,10/21/2020,"Red Bull North America, Inc. and Red Bull Media House North America, Inc.","Red Bull North America, Inc. and Red Bull Media House North America, Inc.",Santa Monica,Los Angeles County,89.0,layoff permanent,2020
105,07/17/2020,07/17/2020,10/21/2020,"Centric Brands, Inc. dba Joe's Jeans Los Angeles Showroom",Centric Brands Inc.,Los Angeles,Los Angeles County,1.0,layoff permanent,2020
106,08/12/2020,08/07/2020,10/21/2020,"Glossier, Inc.","Glossier, Inc.",Los Angeles,Los Angeles County,46.0,closure permanent,2020
107,08/17/2020,08/31/2020,10/21/2020,Centric Brands Inc.,Centric Brands Inc.,Los Angeles,Los Angeles County,43.0,layoff permanent,2020
108,10/19/2020,12/18/2020,10/21/2020,"Purple Communications, Inc.","Purple Communications, Inc.",Rocklin,Placer County,42.0,closure permanent,2020
109,08/06/2020,11/09/2020,10/21/2020,"Communication Test Design, Inc.","Communications Test Design, Inc.",Lincoln,Placer County,70.0,closure permanent,2020
110,10/13/2020,12/15/2020,10/21/2020,"Channel Control Merchants, LLC","Channel Control Merchants of California, LLC",Fontana,San Bernardino County,55.0,closure permanent,2020
111,08/10/2020,08/01/2020,10/21/2020,LEGOLAND California LLC dba LEGOLAND California Resort,LEGOLAND California LLC dba LEGOLAND California Resort,Carlsbad,San Diego County,113.0,layoff permanent,2020
112,08/17/2020,09/25/2020,10/21/2020,Portola/Alexion,Portola/Alexion,South San Francisco,San Mateo County,150.0,layoff permanent,2020
113,10/16/2020,03/14/2020,10/21/2020,Fanatics,Fanatics,San Francisco,San Francisco County,97.0,layoff temporary,2020
114,09/11/2020,11/10/2020,10/21/2020,The Clift Royal Sonesta Hotel,The Clift Royal Sonesta Hotel,San Francisco,San Francisco County,228.0,layoff temporary,2020
115,07/21/2020,07/21/2020,10/21/2020,Crestline Hotels & Resorts-Marriott Fisherman's Wharf,Crestline Hotels & Resorts,San Francisco,San Francisco County,6.0,layoff permanent,2020
116,09/01/2020,08/28/2020,10/21/2020,"Spicers Paper, Inc.","Spicers Paper, Inc.",Santa Fe Springs,Los Angeles County,7.0,layoff permanent,2020
117,07/15/2020,07/02/2020,10/21/2020,"Lawry's Restaurants, Inc.",Lawry's Restaurants Inc.,Beverly Hills,Los Angeles County,87.0,layoff temporary,2020
118,10/13/2020,10/30/2020,10/21/2020,Sheraton Operating Corporation DBA The Westin South Coast Plaza,Sheraton Hotel,Costa Mesa,Orange County,50.0,layoff permanent,2020
119,10/15/2020,03/20/2020,10/21/2020,DT Employer LLC,DT Employer LLC,Ontario,San Bernardino County,168.0,layoff temporary,2020
120,10/15/2020,10/29/2020,10/21/2020,DT Employer LLC,DT Employer LLC,Ontario,San Bernardino County,39.0,layoff permanent,2020
121,10/02/2020,04/16/2020,10/20/2020,Transform CO,Transform CO,West Hills,Los Angeles County,131.0,layoff temporary,2020
122,09/25/2020,11/13/2020,10/20/2020,Mariott Resorts Hospitality Corporation,Mariott Resorts Hospitality Corporation,San Diego,San Diego County,67.0,layoff permanent,2020
123,10/02/2020,12/01/2020,10/20/2020,"Compass Group USA, Inc. DBA Chartwells at San Jose State University","Compass Group USA, Inc",San Jose,Santa Clara County,28.0,layoff permanent,2020
124,09/28/2020,11/30/2020,10/20/2020,Levy Premium Foodservice Limited Paitnership,Levy Premium Foodservice Limited Partnership,Oakland,Alameda County,220.0,closure permanent,2020
125,09/28/2020,03/29/2020,10/20/2020,"SSA Group, LLC","SSA Group, LLC",Monterey,Monterey County,197.0,layoff temporary,2020
126,08/11/2020,10/15/2020,10/20/2020,HMSHost,HMS Host,South San Francisco,San Mateo County,164.0,layoff temporary,2020
127,08/11/2020,10/15/2020,10/20/2020,HMSHost-San Jose International Airport,HMS Host,San Jose,Santa Clara County,196.0,layoff temporary,2020
128,09/01/2020,05/03/2020,10/20/2020,"Taste, Inc.","Taste, Inc.",Sacramento,Sacramento County,8.0,layoff temporary,2020
129,09/30/2020,11/30/2020,10/20/2020,"Intercontinental Hotels Group Resources, LLC","Intercontinental Hotels Group Resources, LLC",San Diego,San Diego County,24.0,layoff permanent,2020
130,08/28/2020,10/02/2020,10/19/2020,Gate Gourmet,Gate Gourmet,San Francisco,San Francisco County,157.0,layoff permanent,2020
131,08/28/2020,10/30/2020,10/19/2020,The Boeing Company,Boeing,Seal Beach,Orange County,10.0,layoff permanent,2020
132,06/02/2020,06/02/2020,10/19/2020,DACA - De Anza Cupertino Aquatics,DACA - De Anza Cupertino Aquatics,San Jose,Santa Clara County,100.0,layoff type unknown,2020
133,10/09/2020,10/09/2020,10/16/2020,"Hamrock, Inc.","Hamrock, Inc.",Santa Fe Springs,Los Angeles County,80.0,layoff permanent,2020
134,10/12/2020,12/16/2020,10/15/2020,"Lettuce Entertain You Enterprises, Inc.","Lettuce Entertain You Enterprises, Inc.",Los Angeles,Los Angeles County,29.0,layoff permanent,2020
135,10/12/2020,12/16/2020,10/15/2020,"Lettuce Entertain You Enterprises, Inc.","Lettuce Entertain You Enterprises, Inc.",Santa Monica,Los Angeles County,21.0,layoff permanent,2020
136,07/24/2020,04/20/2020,10/15/2020,Scripps Corporate Office Campus Point,Scripps Corporate Office Campus Point,San Diego,San Diego County,35.0,layoff temporary,2020
137,08/21/2020,06/26/2020,10/15/2020,Scripps Health,Scripps Health,La Jolla,San Diego County,2.0,layoff permanent,2020
138,10/09/2020,10/23/2020,10/14/2020,Adventist Health Reedley,Adventist Health,Reedley,Fresno County,2.0,layoff permanent,2020
139,10/09/2020,10/23/2020,10/14/2020,Adventist Health Hanford,Adventist Health,Hanford,Kings County,3.0,layoff permanent,2020
140,06/30/2020,06/30/2020,10/14/2020,Walmart,Walmart,Sunnyvale,Santa Clara County,158.0,layoff permanent,2020
141,10/09/2020,10/09/2020,10/14/2020,Kaiser Foundation Hospitals,Kaiser Foundation,San Jose,Santa Clara County,1.0,layoff type unknown,2020
142,10/06/2020,11/09/2020,10/14/2020,"ABM Aviation, Inc.","ABM Aviation, Inc.",Los Angeles,Los Angeles County,67.0,layoff permanent,2020
143,07/31/2020,07/31/2020,10/13/2020,Club One Casino,Club One Casino,Fresno,Fresno County,126.0,layoff temporary,2020
144,08/05/2020,09/28/2020,10/13/2020,"Bill Wright, Inc. dba Bill Wright Toyota",Bill Wright,Bakersfield,Kern County,150.0,closure permanent,2020
145,10/09/2020,12/04/2020,10/13/2020,"Union Supply Group, Inc.","Union Supply Group, Inc.",Compton,Los Angeles County,108.0,closure permanent,2020
146,07/31/2020,09/01/2020,10/13/2020,DFS Group L.P.,DFS Group L.P.,Torrance,Los Angeles County,24.0,layoff permanent,2020
147,09/30/2020,12/15/2020,10/13/2020,Paradies Lagardere @ LAX,Paradies Lagardere,Los Angeles,Los Angeles County,131.0,closure permanent,2020
148,10/09/2020,12/01/2020,10/12/2020,Juul Labs,Juul Labs,Mountain View,Santa Clara County,40.0,layoff permanent,2020
149,07/31/2020,09/01/2020,10/12/2020,"Mount Hermon Association, Inc.","Mount Hermon Association, Inc",Felton,Santa Cruz County,265.0,layoff permanent,2020
150,07/31/2020,09/01/2020,10/12/2020,Duty Free North America-Los Angeles International Airport,Duty Free North America,Los Angeles,Los Angeles County,125.0,layoff permanent,2020
151,03/23/2020,03/09/2020,10/12/2020,Sheraton Operating Corporation dba The St. Regis San Francisco,Sheraton Hotel,San Francisco,San Francisco County,386.0,layoff temporary,2020
152,07/21/2020,07/21/2020,10/12/2020,Electro Rent Corporation,Electro Rent,Canoga Park,Los Angeles County,25.0,layoff temporary,2020
153,10/08/2020,10/08/2020,10/09/2020,Shultz Steel Company,Shultz Steel Company,South Gate,Los Angeles County,52.0,layoff permanent,2020
154,10/08/2020,10/26/2020,10/09/2020,IMAX,IMAX,Playa Vista,Los Angeles County,50.0,layoff temporary,2020
155,10/09/2020,12/17/2020,10/09/2020,"Trio Engineered Products, Inc.","Trio Engineered Products, Inc.",Azusa,Los Angeles County,10.0,closure permanent,2020
156,10/09/2020,07/10/2020,10/09/2020,"Wencor Group, LLC dba PHS MWA CORP","Wencor Group, LLC",Temecula,Riverside County,36.0,layoff permanent,2020
157,10/09/2020,07/12/2020,10/09/2020,"Wencor Group, LLC PHS MWA Corp","Wencor Group, LLC",Temecula,Riverside County,44.0,closure temporary,2020
158,10/02/2020,03/20/2020,10/09/2020,Hyatt Corporation dba Hyatt Regency Sacramento,Hyatt Corporation,Sacramento,Sacramento County,242.0,layoff permanent,2020
159,10/08/2020,05/30/2020,10/09/2020,Springville Berry Farms LLC,Springville Berry Farms LLC,Camarillo,Ventura County,58.0,layoff permanent,2020
160,06/30/2020,06/30/2020,10/09/2020,"Southern Glazer's Wine and Spirits, LLC","Southern Glazer's Wine and Spirits, LLC",Red Bluff,Tehama County,1.0,layoff permanent,2020
161,10/06/2020,10/09/2020,10/08/2020,ABM Aviation,"ABM Aviation, Inc.",Los Angeles,Los Angeles County,50.0,layoff permanent,2020
162,10/08/2020,12/14/2020,10/08/2020,Chevron,Chevron,El Segundo,Los Angeles County,50.0,layoff permanent,2020
163,10/01/2020,10/01/2020,10/08/2020,Electro Rent,Electro Rent,Canoga Park,Los Angeles County,25.0,layoff temporary,2020
164,10/06/2020,12/04/2020,10/08/2020,Adventist Health Howard Memorial,Adventist Health,Willits,Mendocino County,1.0,layoff permanent,2020
165,06/12/2020,06/12/2020,10/08/2020,"MV Transportation, Inc. - Omni Trans/San Bernardino","MV Transportation, Inc.",San Bernardino,San Bernardino County,63.0,closure permanent,2020
166,10/07/2020,10/09/2020,10/08/2020,ABM Aviation LAX Employee Parking Shuttle,"ABM Aviation, Inc.",Los Angeles,Los Angeles County,61.0,layoff permanent,2020
167,10/07/2020,12/07/2020,10/08/2020,"Bottling Group, LLC","Bottling Group, LLC",Baldwin Park,Los Angeles County,161.0,closure permanent,2020
168,09/30/2020,09/28/2020,10/07/2020,Centric Brands Inc.,Centric Brands Inc.,Los Angeles,Los Angeles County,1.0,layoff permanent,2020
169,09/18/2020,09/25/2020,10/07/2020,Centric Brands,Centric Brands Inc.,Los Angeles,Los Angeles County,5.0,layoff permanent,2020
170,03/31/2020,03/31/2020,10/07/2020,"All About Parking, Inc. (AAP)",All About Parking,San Mateo,San Mateo County,98.0,layoff permanent,2020
171,09/30/2020,12/22/2020,10/07/2020,Kaiser Foundation,Kaiser Foundation,Modesto,Stanislaus County,5.0,layoff permanent,2020
172,09/21/2020,08/14/2020,10/06/2020,Hyatt Corporation dba Grand Hyatt San Diego,Hyatt Corporation,San Diego,San Diego County,35.0,layoff temporary,2020
173,10/05/2020,10/16/2020,10/06/2020,NortonLifeLock Inc.,NortonLifeLock Inc.,Mountain View,Santa Clara County,12.0,layoff permanent,2020
174,07/13/2020,05/03/2020,10/06/2020,"Universal City Studios, LLC dba Universal Studios Hollywood","Universal City Studios, LLC",Universal City,Los Angeles County,117.0,layoff temporary,2020
