,Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure,County Orig
99,04/01/2020,03/17/2020,07/08/2020,"Royal Automotive Group, dba Royal Motor Sales",San Francisco,San Francisco County,90.0,Layoff Temporary,San Francisco County
100,07/02/2020,09/03/2020,07/09/2020,"Avanos Medical, Inc.",Concord,Contra Costa County,41.0,Closure Permanent,Contra Costa County
101,07/01/2020,06/30/2020,07/09/2020,Crowne Plaza Concord/Walnut Creek,Concord,Contra Costa County,13.0,Layoff Temporary,Contra Costa County
102,04/23/2020,04/23/2020,07/09/2020,"Channel Control Merchants of California, LLC, aka CCM California",Los Angeles,Los Angeles County,97.0,Closure Permanent,Los Angeles County
103,04/15/2020,03/16/2020,07/09/2020,Mastroianni Family Enterprises dba Jay's Catering & Ellie's Table,Garden Grove,Orange County,94.0,Layoff Type Unknown ,Orange County
104,06/25/2020,06/29/2020,07/09/2020,Summit Machine Inc.,Ontario,San Bernardino County,123.0,Layoff Temporary,San Bernardino County
105,03/25/2020,03/30/2020,07/09/2020,La Costa Dental Care,Carlsbad,San Diego County,5.0,Layoff Permanent,San Diego County
106,03/19/2020,03/19/2020,07/09/2020,Metropolitan Transit System,San Diego,San Diego County,2.0,Layoff Temporary,San Diego County
107,04/21/2020,05/05/2020,07/09/2020,Adventist Health Simi Valley,Simi Valley,Ventura County,1.0,Layoff Permanent,Ventura County
108,04/21/2020,05/05/2020,07/09/2020,Adventist Health Simi Valley,Simi Valley,Ventura County,3.0,Layoff Temporary,Ventura County
109,04/22/2020,03/19/2020,07/09/2020,Hilton Hotel Employer LLC dba Hilton Beverly Hills,Beverly Hills,Los Angeles County,580.0,Layoff Temporary,Los Angeles County
110,04/16/2020,04/23/2020,07/09/2020,"Quemetco, Inc.",City of Industry,Los Angeles County,212.0,Layoff Temporary,Los Angeles County
111,06/26/2020,06/19/2020,07/09/2020,Worley Group Inc.,Long Beach,Los Angeles County,16.0,Layoff Permanent,Los Angeles County
112,04/24/2020,03/17/2020,07/09/2020,"City Mechanical, Inc.",Petaluma,Sonoma County,31.0,Layoff Temporary,Sonoma County
113,03/25/2020,03/16/2020,07/09/2020,Monarchs National Gymnastics Center,Agoura Hills,Los Angeles County,25.0,Layoff Temporary,Los Angeles County
114,04/21/2020,04/21/2020,07/09/2020,LB Construction Inc,Roseville,Placer County,82.0,Layoff Temporary,Placer County
115,03/25/2020,03/20/2020,07/09/2020,Staypineapple Hotel Z,San Diego,San Diego County,19.0,Layoff Temporary,San Diego County
116,03/25/2020,03/20/2020,07/09/2020,Staypineapple San Francisco,San Francisco,San Francisco County,25.0,Layoff Temporary,San Francisco County
117,03/25/2020,03/14/2020,07/09/2020,Staypineapple San Francisco,San Francisco,San Francisco County,6.0,Layoff Temporary,San Francisco County
118,03/17/2020,03/17/2020,07/09/2020,China Live,San Francisco,San Francisco County,170.0,Layoff Temporary,San Francisco County
119,04/23/2020,04/15/2020,07/09/2020,Wyndham Vacation Ownership,Windsor,Sonoma County,2.0,Layoff Permanent,Sonoma County
120,04/23/2020,04/15/2020,07/09/2020,Wyndham Vacation Ownership,Windsor,Sonoma County,21.0,Layoff Permanent,Sonoma County
121,03/25/2020,03/16/2020,07/09/2020,Manarchs Athletics,Newbury Park,Ventura County,25.0,Layoff Temporary,Ventura County
122,03/27/2020,03/20/2020,07/09/2020,"Evoke Research and Consulting, LLC",Point Mugu Nawc,Ventura County,2.0,Layoff Permanent,Ventura County
123,06/24/2020,08/01/2020,07/10/2020,Levy Premium Foodservice Limited Partnership operation at The Rose Bowl,Pasadena,Los Angeles County,14.0,Layoff Permanent,Los Angeles County
124,03/25/2020,03/17/2020,07/10/2020,"O C House SF, LLC dba The Old Clam House",San Francisco,San Francisco County,37.0,Closure Temporary,San Francisco County
125,03/25/2020,03/17/2020,07/10/2020,Osso Steakhouse,San Francisco,San Francisco County,33.0,Closure Temporary,San Francisco County
126,04/08/2020,03/20/2020,07/10/2020,"Fremont Automotive Retailing Group, Inc. dba Fremont Chevrolet, Cadillac, Buick GMC",Fremont,Alameda County,1.0,Layoff Temporary,Alameda County
127,03/19/2020,03/20/2020,07/13/2020,Efoxx Hair,Sherman Oaks,Los Angeles County,1.0,Closure Temporary,Los Angeles County
128,04/03/2020,03/20/2020,07/13/2020,"Mammoth Mountain Ski Area, LLC",Mammoth Lakes,Mono County,94.0,Layoff Permanent,Mono County
129,04/03/2020,03/20/2020,07/13/2020,"Mammoth Mountain Ski Area, LLC",Mammoth Lakes,Mono County,201.0,Layoff Temporary,Mono County
130,03/26/2020,03/30/2020,07/13/2020,Jurupa Community Services District,Mira Loma,Riverside County,52.0,Closure Temporary,Riverside County
131,06/17/2020,03/25/2020,07/13/2020,"Positive Pathways, LLC",San Francisco,San Francisco County,54.0,Layoff Temporary,San Francisco County
132,06/09/2020,06/10/2020,07/13/2020,"San Joaquin Valley College, Inc.",Visalia,Tulare County,43.0,Layoff Permanent,Tulare County
133,07/10/2020,08/01/2020,07/13/2020,San Francisco Opera,Burlingame,San Mateo County,19.0,Layoff Temporary,San Mateo County
134,04/03/2020,03/18/2020,07/13/2020,"Michael Cadillac, Inc. dba Michael Chevrolet, Michael Toyota, Michael Volkswagen",Fresno,Fresno County,278.0,Layoff Temporary,Fresno County
135,06/09/2020,05/12/2020,07/13/2020,San Joaquin Valley College,San Jose,Santa Clara County,8.0,Layoff Permanent,Santa Clara County
136,07/06/2020,07/10/2020,07/14/2020,Course At Wente Vineyards,Livermore,Alameda County,48.0,Closure Temporary,Alameda County
137,07/01/2020,06/30/2020,07/14/2020,Crowne Plaza Concord/Walnut Creek,Concord,Contra Costa County,13.0,Layoff Permanent,Contra Costa County
138,07/01/2020,07/15/2020,07/14/2020,Angeles Philharmonic Association,Sherman Oaks,Los Angeles County,15.0,Closure Temporary,Los Angeles County
139,07/01/2020,07/24/2020,07/14/2020,Dapper Cadaver LLC,Sun Valley,Los Angeles County,7.0,Closure Permanent,Los Angeles County
140,07/03/2020,07/31/2020,07/14/2020,"Listo, Inc.",Whittier,Los Angeles County,32.0,Closure Permanent,Los Angeles County
141,06/29/2020,08/31/2020,07/14/2020,Adventist Health Ukiah Valley,Ukiah,Mendocino County,9.0,Layoff Permanent,Mendocino County
142,06/28/2020,06/28/2020,07/14/2020,The Comedy Store,La Jolla,San Diego County,21.0,Layoff Temporary,San Diego County
143,03/26/2020,03/24/2020,07/14/2020,"Alsco, Inc.",Crescent City,Del Norte County,6.0,Closure Temporary,Del Norte County
144,03/25/2020,03/17/2020,07/14/2020,Learn & Play Montessori Sch,Dublin,Alameda County,111.0,Closure Temporary,Alameda County
145,03/25/2020,03/17/2020,07/14/2020,Learn & Play Montessori School,Danville,Contra Costa County,20.0,Layoff Temporary,Contra Costa County
146,03/31/2020,04/01/2020,07/14/2020,Kellwood Apparel,La Puente,Los Angeles County,200.0,Layoff Temporary,Los Angeles County
147,03/26/2020,03/19/2020,07/14/2020,Donald L Dillon DDS,Anaheim,Orange County,4.0,Closure Temporary,Orange County
148,06/22/2020,06/07/2020,07/14/2020,Andro's Rostilj,Campbell,Santa Clara County,221.0,Layoff Temporary,Santa Clara County
149,03/04/2020,03/17/2020,07/14/2020,"Seigo Enterprises, Inc. dba Zen Toro",Davis,Yolo County,12.0,Layoff Temporary,Yolo County
150,03/27/2020,03/28/2020,07/15/2020,Ensign United States Drilling Inc.,Bakersfield,Kern County,150.0,Layoff Permanent,Kern County
151,07/07/2020,07/08/2020,07/15/2020,Dickson Testing Company,South Gate,Los Angeles County,38.0,Layoff Temporary,Los Angeles County
152,07/07/2020,06/10/2020,07/15/2020,Dickson Testing Company,South Gate,Los Angeles County,57.0,Layoff Permanent,Los Angeles County
153,07/02/2020,07/03/2020,07/15/2020,Reimagine Network,Orange,Orange County,83.0,Layoff Temporary,Orange County
154,03/20/2020,03/18/2020,07/15/2020,"Green Farms, Inc dba Worldwide Produce",Chula Vista,San Diego County,4.0,Layoff Temporary,San Diego County
155,04/13/2020,03/19/2020,07/15/2020,Trumpet Behavioral Health Facility,San Bruno,San Mateo County,64.0,Layoff Temporary,San Mateo County
156,07/01/2020,09/01/2020,07/15/2020,"Ferrari-Carano Vineyards and Winery, LLC",Healdsburg,Sonoma County,95.0,Layoff Permanent,Sonoma County
157,07/02/2020,07/01/2020,07/15/2020,Crystal Casino,Compton,Los Angeles County,295.0,Layoff Temporary,Los Angeles County
158,07/08/2020,09/17/2020,07/15/2020,"GPI Converting, LLC",Commerce,Los Angeles County,64.0,Layoff Permanent,Los Angeles County
159,07/08/2020,09/17/2020,07/15/2020,"GPI Converting, LLC",Los Angeles,Los Angeles County,64.0,Layoff Permanent,Los Angeles County
160,07/15/2020,09/10/2020,07/15/2020,DynCorp International LLC,Fort Irwin,San Bernardino County,738.0,Layoff Permanent,San Bernardino County
161,06/29/2020,08/28/2020,07/15/2020,Amentum dba Combined Tactical Training Range,San Diego,San Diego County,3.0,Layoff Permanent,San Diego County
162,03/25/2020,03/20/2020,07/15/2020,"Goodwill Industries of San Joaquin Valley, Inc.",Stockton,San Joaquin County,31.0,Layoff Temporary,San Joaquin County
163,03/25/2020,03/25/2020,07/15/2020,Goodwill Industries- San Joaquin,Modesto,Stanislaus County,16.0,Layoff Temporary,Stanislaus County
164,04/22/2020,04/22/2020,07/15/2020,Equinox,Thousand Oaks,Ventura County,45.0,Layoff Temporary,Ventura County
165,07/08/2020,03/20/2020,07/16/2020,New Horizons,North Hills,Los Angeles County,32.0,Layoff Permanent,Los Angeles County
166,07/08/2020,03/20/2020,07/16/2020,New Horizons,North Hills,Los Angeles County,140.0,Layoff Temporary,Los Angeles County
167,07/07/2020,07/21/2020,07/16/2020,"Viking River Cruises, Inc.",Woodland Hills,Los Angeles County,106.0,Layoff Permanent,Los Angeles County
168,06/30/2020,06/30/2020,07/16/2020,Terrapin Crossroads,San Rafael,Marin County,104.0,Layoff Temporary,Marin County
169,04/27/2020,04/28/2020,07/16/2020,Brady Corporation,Ontario,San Bernardino County,1.0,Layoff Temporary,San Bernardino County
170,04/27/2020,04/28/2020,07/16/2020,Brady Corporation,Ontario,San Bernardino County,19.0,Layoff Temporary,San Bernardino County
171,04/15/2020,03/27/2020,07/16/2020,Neighborhood Healthcare,Escondido,San Diego County,1.0,Layoff Permanent,San Diego County
172,07/08/2020,09/07/2020,07/16/2020,"Funding Circle USA, Inc.",San Francisco,San Francisco County,86.0,Layoff Permanent,San Francisco County
173,06/23/2020,08/17/2020,07/16/2020,"Vie De France Yamazaki, Inc.",Vernon,Los Angeles County,74.0,Layoff Permanent,Los Angeles County
174,03/25/2020,03/20/2020,07/16/2020,Goodwill Industries - Fresno,Fresno,Fresno County,18.0,Layoff Temporary,Fresno County
175,03/31/2020,03/29/2020,07/16/2020,Omni Los Angeles Hotel,Los Angeles,Los Angeles County,1.0,Layoff Temporary,Los Angeles County
176,03/19/2020,03/23/2020,07/16/2020,"Paradies Lagardere @ LAX F&B, LLC",Los Angeles,Los Angeles County,38.0,Layoff Temporary,Los Angeles County
177,04/29/2020,03/20/2020,07/16/2020,Montage International - Pendry San Diego,San Diego,San Diego County,509.0,Layoff Temporary,San Diego County
178,05/22/2020,05/22/2020,07/21/2020,RUSNAK AUDI - PASADENA,Pasadena,Los Angeles County,22.0,Layoff Permanent,Los Angeles County
179,07/09/2020,07/09/2020,07/21/2020,"Blanca Investments, LLC dba Villa Blanca",Beverly Hills,Los Angeles County,50.0,Closure Permanent,Los Angeles County
180,07/10/2020,07/10/2020,07/21/2020,"Designated Metal Connection, Inc",Gardena,Los Angeles County,96.0,Layoff Permanent,Los Angeles County
181,07/10/2020,07/24/2020,07/21/2020,Adventist Health Lodi Memorial,Lodi,San Joaquin County,1.0,Layoff Permanent,San Joaquin County
182,07/10/2020,07/10/2020,07/21/2020,Buckhorn Caf&eacute; Inc.,Winters,Yolo County,82.0,Layoff Permanent,Yolo County
183,07/10/2020,07/10/2020,07/21/2020,Buckhorn Cafe Inc.,Winters,Yolo County,29.0,Layoff Temporary,Yolo County
184,04/03/2020,03/17/2020,07/21/2020,Active Acquisition Partners LLC dba Active Sports Clubs - Oakland City Center,Oakland,Alameda County,109.0,Layoff Temporary,Alameda County
185,04/30/2020,04/30/2020,07/21/2020,"Townsend Industries, Inc.",Bakersfield,Kern County,98.0,Layoff Temporary,Kern County
186,05/01/2020,06/30/2020,07/21/2020,Inspire School Services,Rocklin,Placer County,3.0,Layoff Type Unknown ,Placer County
187,05/01/2020,06/30/2020,07/21/2020,Inspire Charter Schools,Temecula,Riverside County,20.0,Layoff Type Unknown ,Riverside County
188,05/01/2020,06/30/2020,07/21/2020,Inspire Charter Services,San Luis Obispo,San Luis Obispo County,3.0,Layoff Type Unknown ,San Luis Obispo County
189,07/10/2020,07/25/2020,07/21/2020,"Philz Coffee, Inc.",Davis,Yolo County,6.0,Layoff Permanent,Yolo County
190,07/14/2020,04/30/2021,07/22/2020,Smiths Detection Inc,Newark,Alameda County,4.0,Layoff Permanent,Alameda County
191,07/14/2020,07/06/2020,07/22/2020,"Cal Poly Pomona Foundation, Inc",Pomona,Los Angeles County,8.0,Layoff Permanent,Los Angeles County
192,07/16/2020,07/03/2020,07/22/2020,"Crescent Resorts & Hotels, LLC - Browne Plaza Los Angeles- Commerce Casino Hotel",Los Angeles,Los Angeles County,13.0,Layoff Temporary,Los Angeles County
193,04/03/2020,04/13/2020,07/22/2020,Quest Diagnostics Incorporated,Auburn,Placer County,7.0,Layoff Temporary,Placer County
