,Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure,Year
14,10/14/2020,03/31/2021,11/09/2020,"Ichor Systems, Inc.",Union City,Alameda County,42.0,closure permanent,2020
15,10/01/2020,12/01/2020,11/09/2020,Ace Beverage LLC,Los Angeles,Los Angeles County,200.0,closure permanent,2020
16,10/01/2020,12/11/2020,11/09/2020,Ace Beverage LLC,Los Angeles,Los Angeles County,200.0,closure permanent,2020
17,10/02/2020,10/02/2020,11/09/2020,"Service King Paint & Body, LLC.",Mountain View,Santa Clara County,16.0,closure permanent,2020
18,10/02/2020,10/02/2020,11/09/2020,"Service King Paint & Body, LLC.",San Jose,Santa Clara County,15.0,layoff permanent,2020
19,10/02/2020,10/02/2020,11/09/2020,"Service King Paint & Body, LLC.",Santa Clara,Santa Clara County,18.0,layoff permanent,2020
20,10/15/2020,12/16/2020,11/06/2020,Hotel Nikko San Francisco,San Francisco,San Francisco County,211.0,layoff permanent,2020
21,10/01/2020,10/01/2020,11/06/2020,"iHeartMedia + Entertainment, Inc., Premiere Networks, Inc. and iHeartMedia Management Services, Inc.",Burbank,Los Angeles County,81.0,layoff permanent,2020
22,10/01/2020,10/01/2020,11/06/2020,"iHeartMedia + Entertainment, Inc., Premiere Networks, Inc. and iHeartMedia Management Services, Inc.",Hollywood,Los Angeles County,7.0,layoff permanent,2020
23,07/23/2020,09/22/2020,11/05/2020,"Crescent Hotels and Resorts, LLC",Sacramento,Sacramento County,30.0,layoff permanent,2020
24,11/01/2020,09/01/2020,11/05/2020,"LEGOLAND California, LLC. dba LEGOLAND California Resort",Carlsbad,San Diego County,65.0,layoff permanent,2020
25,06/25/2020,03/16/2020,11/05/2020,Boys & Girls Clubs of Greater San Diego,San Diego,San Diego County,105.0,closure temporary,2020
26,09/18/2020,09/25/2020,11/05/2020,San Diego Convention Center Corporation,San Diego,San Diego County,26.0,layoff permanent,2020
27,05/29/2020,05/31/2020,11/04/2020,Hawaiian Gardens Casino,Hawaiian Gardens,Los Angeles County,1185.0,layoff permanent,2020
28,06/09/2020,04/20/2020,11/03/2020,PIH Health Hospital - Whittier,Whittier,Los Angeles County,61.0,layoff temporary,2020
29,06/09/2020,06/15/2020,11/03/2020,PIH Health Hospital - Whittier,Whittier,Los Angeles County,9.0,layoff permanent,2020
30,06/10/2020,06/15/2020,11/03/2020,PIH Health Hospital - Downey,Downey,Los Angeles County,7.0,layoff permanent,2020
31,06/10/2020,06/15/2020,11/03/2020,PIH Health Hospital - Downey,Downey,Los Angeles County,11.0,layoff temporary,2020
32,04/17/2020,04/20/2020,11/03/2020,PIH Health Hospital - Downey,Downey,Los Angeles County,28.0,layoff temporary,2020
33,05/01/2020,06/01/2020,11/03/2020,PIH Health Hospital - Downey,Downey,Los Angeles County,56.0,layoff permanent,2020
34,04/30/2020,03/16/2020,11/03/2020,"Payne's Janitorial Services, Inc.",La Habra,Orange County,65.0,closure permanent,2020
35,10/15/2020,02/22/2021,11/02/2020,Maritz Holdings Inc.,Torrance,Los Angeles County,2.0,layoff permanent,2020
36,06/30/2020,06/30/2020,11/02/2020,Carlton Forge Works,Paramount,Los Angeles County,77.0,layoff permanent,2020
37,09/15/2020,10/01/2020,11/02/2020,Amtrak,Los Angeles,Los Angeles County,272.0,layoff permanent,2020
38,09/03/2020,05/08/2020,11/02/2020,Molson Coors Beverage Company,Baldwin Park,Los Angeles County,462.0,closure permanent,2020
39,09/09/2020,11/09/2020,11/02/2020,Silgan Containers,Riverbank,Stanislaus County,150.0,layoff temporary,2020
40,05/13/2020,03/13/2020,11/02/2020,Park Management Corp. - Six Flags Hurricane Harbor Concord,Concord,Contra Costa County,1.0,layoff temporary,2020
41,10/20/2020,12/30/2020,11/02/2020,TAMCO,Rancho Cucamonga,San Bernardino County,66.0,closure permanent,2020
42,09/10/2020,11/14/2020,10/30/2020,"Wheel Pros, LLC",Rancho Dominguez,Los Angeles County,88.0,closure permanent,2020
43,09/08/2020,10/08/2020,10/30/2020,"Intercept Pharmaceuticals, Inc.",San Diego,San Diego County,2.0,layoff permanent,2020
44,10/01/2020,11/30/2020,10/30/2020,Orora Visual LLC,Los Angeles,Los Angeles County,5.0,closure permanent,2020
45,07/30/2020,07/21/2020,10/29/2020,VFC,Alameda,Alameda County,7.0,closure permanent,2020
46,09/16/2020,04/27/2020,10/29/2020,Araca Merchandise LP.,San Fernando,Los Angeles County,89.0,layoff permanent,2020
47,10/23/2020,09/25/2020,10/29/2020,"STAR Sports Theatre Arts & Recreation, Inc.",Culver City,Los Angeles County,60.0,layoff permanent,2020
48,09/17/2020,08/31/2020,10/29/2020,"Alcatraz Cruises, LLC",San Francisco,San Francisco County,2.0,layoff permanent,2020
49,09/29/2020,10/23/2020,10/28/2020,"Thermal Structures, Inc.",Corona,Riverside County,350.0,layoff temporary,2020
50,10/20/2020,10/08/2020,10/28/2020,Regal Cinemas,Fairfield,Solano County,32.0,closure temporary,2020
51,08/20/2020,08/08/2020,10/28/2020,Aldo US Inc. Store 2072,Los Angeles,Los Angeles County,31.0,layoff temporary,2020
52,08/20/2020,08/08/2020,10/28/2020,"Aldo US Inc., Store 2081",Arcadia,Los Angeles County,7.0,layoff temporary,2020
53,08/20/2020,08/08/2020,10/28/2020,"Aldo US Inc., Store 2077",Sacramento,Sacramento County,10.0,layoff temporary,2020
54,08/20/2020,08/08/2020,10/28/2020,Aldo US Inc. Store 2144,San Jose,Santa Clara County,3.0,layoff temporary,2020
55,08/20/2020,07/24/2020,10/28/2020,Aldo US Inc.,Ventura,Ventura County,8.0,layoff temporary,2020
56,08/14/2020,08/31/2020,10/27/2020,Aramark -Asilomar,Pacific Grove,Monterey County,33.0,layoff permanent,2020
57,10/23/2020,12/31/2020,10/27/2020,Pacific Life Insurance Company,Newport Beach,Orange County,87.0,layoff permanent,2020
58,10/23/2020,12/28/2020,10/27/2020,Lehigh Southwest Cement Company,Cupertino,Santa Clara County,40.0,layoff temporary,2020
59,10/09/2020,03/21/2020,10/27/2020,Equinox - Sports Club LA,Los Angeles,Los Angeles County,8.0,layoff permanent,2020
60,09/30/2020,11/30/2020,10/27/2020,"Intercontinental Hotels Group Resources, LLC (IHG)",Santa Clara,Santa Clara County,17.0,layoff permanent,2020
61,09/30/2020,11/30/2020,10/27/2020,"InterContinental Hotels Group Resources, LLC (IHG)",Sunnyvale,Santa Clara County,29.0,layoff permanent,2020
62,08/20/2020,08/08/2020,10/27/2020,Aldo US Inc. Store 2067,Santa Clara,Santa Clara County,25.0,layoff temporary,2020
63,10/22/2020,11/01/2020,10/26/2020,"Gatan, Inc",Pleasanton,Alameda County,105.0,layoff temporary,2020
64,09/28/2020,07/26/2020,10/26/2020,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Los Angeles,Los Angeles County,9.0,layoff temporary,2020
65,09/24/2020,07/12/2020,10/26/2020,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Los Angeles,Los Angeles County,68.0,layoff temporary,2020
66,09/24/2020,07/12/2020,10/26/2020,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Santa Monica,Los Angeles County,34.0,layoff temporary,2020
67,09/24/2020,07/26/2020,10/26/2020,"Company 3 Method Inc. fka Deluxe Creative Services, Inc.",Burbank,Los Angeles County,7.0,layoff temporary,2020
68,09/24/2020,07/31/2020,10/26/2020,Company 3 Method Inc. fka Deluxe Creative Services,Burbank,Los Angeles County,12.0,layoff permanent,2020
69,09/24/2020,10/02/2020,10/26/2020,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Los Angeles,Los Angeles County,7.0,layoff permanent,2020
70,09/24/2020,10/02/2020,10/26/2020,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Los Angeles,Los Angeles County,4.0,layoff permanent,2020
71,09/24/2020,10/02/2020,10/26/2020,Company 3 Method Inc. fka Deluxe Creative Services Inc.,Santa Monica,Los Angeles County,3.0,layoff permanent,2020
72,05/22/2020,05/22/2020,10/26/2020,AIO Acquisition Inc.,Ontario,San Bernardino County,5.0,layoff permanent,2020
73,05/26/2020,04/14/2020,10/26/2020,AIO Acquisition Inc.,Ontario,San Bernardino County,8.0,layoff type unknown,2020
74,10/21/2020,12/04/2020,10/26/2020,"Universal City Studios, LLC dba Universal Studios Hollywood",Universal City,Los Angeles County,170.0,layoff permanent,2020
75,10/23/2020,12/22/2020,10/26/2020,Kinkisharyo International LLC,Palmdale,Los Angeles County,5.0,layoff permanent,2020
76,09/25/2020,11/27/2020,10/23/2020,Los Angeles Philharmonic Association,Los Angeles,Los Angeles County,38.0,layoff permanent,2020
77,08/03/2020,07/31/2020,10/23/2020,"Galpin Motors, Inc.",North Hills,Los Angeles County,47.0,layoff permanent,2020
78,08/03/2020,08/04/2020,10/23/2020,"Galpin Motors, Inc.",Mission Hills,Los Angeles County,4.0,layoff permanent,2020
79,08/19/2020,06/05/2020,10/23/2020,Rosa Mexicano,San Francisco,San Francisco County,76.0,closure permanent,2020
80,08/28/2020,09/01/2020,10/23/2020,Stanford University,Stanford,Santa Clara County,34.0,layoff temporary,2020
81,08/28/2020,09/01/2020,10/23/2020,Stanford University,Stanford,Santa Clara County,230.0,layoff permanent,2020
82,08/20/2020,08/04/2020,10/23/2020,"Precision Founders, Inc. dba PCC Structurals",Hayward,Alameda County,15.0,layoff temporary,2020
83,08/20/2020,08/31/2020,10/23/2020,San Francisco Symphony,San Francisco,San Francisco County,4.0,layoff permanent,2020
84,08/20/2020,08/31/2020,10/23/2020,San Francisco Symphony,San Francisco,San Francisco County,8.0,layoff temporary,2020
85,08/27/2020,10/30/2020,10/22/2020,"Marriott Hotel Services, Inc., DBA Torrance Marriott Redondo Beach",Torrance,Los Angeles County,67.0,layoff permanent,2020
86,10/15/2020,02/22/2021,10/22/2020,"Martiz Holdings, Inc.",Torrance,Los Angeles County,2.0,layoff permanent,2020
87,10/16/2020,10/16/2020,10/22/2020,Sodexo Inc,Los Angeles,Los Angeles County,206.0,layoff temporary,2020
88,07/23/2020,06/15/2020,10/22/2020,"Hillphoenix dba Anthony, Inc.",Sylmar,Los Angeles County,404.0,layoff temporary,2020
89,07/24/2020,09/11/2020,10/22/2020,Green Dot Corp,Pasadena,Los Angeles County,56.0,layoff permanent,2020
90,08/28/2020,10/30/2020,10/22/2020,"Marriott Hotel Services, Inc.",Monterey,Monterey County,48.0,layoff permanent,2020
91,10/15/2020,10/26/2020,10/22/2020,TGI Friday's Inc,Westminster,Orange County,44.0,closure permanent,2020
92,08/03/2020,10/10/2020,10/22/2020,"Communications Test Design, Inc.",Lincoln,Placer County,49.0,closure permanent,2020
93,08/27/2020,10/30/2020,10/22/2020,Renaissance Hotel Operating Co. DBA Renaissance Esmeralda Resort and Spa,Indian Wells,Riverside County,186.0,layoff permanent,2020
94,08/27/2020,10/30/2020,10/22/2020,"Ritz-Carlton Hotel Company LLC DBA  Ritz-Carlton, Rancho Mirage",Rancho Mirage,Riverside County,69.0,layoff permanent,2020
95,09/18/2020,03/18/2020,10/22/2020,Hotel Nia,Menlo Park,San Mateo County,132.0,layoff permanent,2020
96,08/31/2020,10/30/2020,10/22/2020,Safran Seats,Santa Maria,Santa Barbara County,12.0,layoff permanent,2020
97,08/31/2020,08/20/2020,10/22/2020,Bon Appetit,Sunnyvale,Santa Clara County,329.0,layoff permanent,2020
98,10/13/2020,12/12/2020,10/22/2020,VillaSport Club & Spa,San Jose,Santa Clara County,134.0,layoff permanent,2020
99,10/16/2020,12/21/2020,10/22/2020,Jabil Inc,San Jose,Santa Clara County,178.0,closure temporary,2020
100,10/19/2020,12/18/2020,10/22/2020,Budget 8 LTD dba E-Z 8 Motel,San Jose,Santa Clara County,12.0,closure permanent,2020
101,10/16/2020,10/16/2020,10/22/2020,"Sodexo, Inc.",Simi Valley,Ventura County,80.0,layoff temporary,2020
102,08/14/2020,05/18/2020,10/21/2020,"BPR Properties Management, LLC dba BPR HOTELS",Berkeley,Alameda County,98.0,layoff permanent,2020
103,10/14/2020,08/25/2020,10/21/2020,Hilton Checkers Los Angeles,Los Angeles,Los Angeles County,47.0,layoff permanent,2020
104,10/15/2020,12/01/2020,10/21/2020,"Red Bull North America, Inc. and Red Bull Media House North America, Inc.",Santa Monica,Los Angeles County,89.0,layoff permanent,2020
105,07/17/2020,07/17/2020,10/21/2020,"Centric Brands, Inc. dba Joe's Jeans Los Angeles Showroom",Los Angeles,Los Angeles County,1.0,layoff permanent,2020
106,08/12/2020,08/07/2020,10/21/2020,"Glossier, Inc.",Los Angeles,Los Angeles County,46.0,closure permanent,2020
107,08/17/2020,08/31/2020,10/21/2020,Centric Brands Inc.,Los Angeles,Los Angeles County,43.0,layoff permanent,2020
108,10/19/2020,12/18/2020,10/21/2020,"Purple Communications, Inc.",Rocklin,Placer County,42.0,closure permanent,2020
109,08/06/2020,11/09/2020,10/21/2020,"Communication Test Design, Inc.",Lincoln,Placer County,70.0,closure permanent,2020
110,10/13/2020,12/15/2020,10/21/2020,"Channel Control Merchants, LLC",Fontana,San Bernardino County,55.0,closure permanent,2020
111,08/10/2020,08/01/2020,10/21/2020,LEGOLAND California LLC dba LEGOLAND California Resort,Carlsbad,San Diego County,113.0,layoff permanent,2020
112,08/17/2020,09/25/2020,10/21/2020,Portola/Alexion,South San Francisco,San Mateo County,150.0,layoff permanent,2020
113,10/16/2020,03/14/2020,10/21/2020,Fanatics,San Francisco,San Francisco County,97.0,layoff temporary,2020
114,09/11/2020,11/10/2020,10/21/2020,The Clift Royal Sonesta Hotel,San Francisco,San Francisco County,228.0,layoff temporary,2020
115,07/21/2020,07/21/2020,10/21/2020,Crestline Hotels & Resorts-Marriott Fisherman's Wharf,San Francisco,San Francisco County,6.0,layoff permanent,2020
116,09/01/2020,08/28/2020,10/21/2020,"Spicers Paper, Inc.",Santa Fe Springs,Los Angeles County,7.0,layoff permanent,2020
117,07/15/2020,07/02/2020,10/21/2020,"Lawry's Restaurants, Inc.",Beverly Hills,Los Angeles County,87.0,layoff temporary,2020
118,10/13/2020,10/30/2020,10/21/2020,Sheraton Operating Corporation DBA The Westin South Coast Plaza,Costa Mesa,Orange County,50.0,layoff permanent,2020
119,10/15/2020,03/20/2020,10/21/2020,DT Employer LLC,Ontario,San Bernardino County,168.0,layoff temporary,2020
120,10/15/2020,10/29/2020,10/21/2020,DT Employer LLC,Ontario,San Bernardino County,39.0,layoff permanent,2020
121,10/02/2020,04/16/2020,10/20/2020,Transform CO,West Hills,Los Angeles County,131.0,layoff temporary,2020
122,09/25/2020,11/13/2020,10/20/2020,Mariott Resorts Hospitality Corporation,San Diego,San Diego County,67.0,layoff permanent,2020
123,10/02/2020,12/01/2020,10/20/2020,"Compass Group USA, Inc. DBA Chartwells at San Jose State University",San Jose,Santa Clara County,28.0,layoff permanent,2020
124,09/28/2020,11/30/2020,10/20/2020,Levy Premium Foodservice Limited Paitnership,Oakland,Alameda County,220.0,closure permanent,2020
125,09/28/2020,03/29/2020,10/20/2020,"SSA Group, LLC",Monterey,Monterey County,197.0,layoff temporary,2020
126,08/11/2020,10/15/2020,10/20/2020,HMSHost,South San Francisco,San Mateo County,164.0,layoff temporary,2020
127,08/11/2020,10/15/2020,10/20/2020,HMSHost-San Jose International Airport,San Jose,Santa Clara County,196.0,layoff temporary,2020
128,09/01/2020,05/03/2020,10/20/2020,"Taste, Inc.",Sacramento,Sacramento County,8.0,layoff temporary,2020
129,09/30/2020,11/30/2020,10/20/2020,"Intercontinental Hotels Group Resources, LLC",San Diego,San Diego County,24.0,layoff permanent,2020
130,08/28/2020,10/02/2020,10/19/2020,Gate Gourmet,San Francisco,San Francisco County,157.0,layoff permanent,2020
131,08/28/2020,10/30/2020,10/19/2020,The Boeing Company,Seal Beach,Orange County,10.0,layoff permanent,2020
132,06/02/2020,06/02/2020,10/19/2020,DACA - De Anza Cupertino Aquatics,San Jose,Santa Clara County,100.0,layoff type unknown,2020
133,10/09/2020,10/09/2020,10/16/2020,"Hamrock, Inc.",Santa Fe Springs,Los Angeles County,80.0,layoff permanent,2020
134,10/12/2020,12/16/2020,10/15/2020,"Lettuce Entertain You Enterprises, Inc.",Los Angeles,Los Angeles County,29.0,layoff permanent,2020
135,10/12/2020,12/16/2020,10/15/2020,"Lettuce Entertain You Enterprises, Inc.",Santa Monica,Los Angeles County,21.0,layoff permanent,2020
136,07/24/2020,04/20/2020,10/15/2020,Scripps Corporate Office Campus Point,San Diego,San Diego County,35.0,layoff temporary,2020
137,08/21/2020,06/26/2020,10/15/2020,Scripps Health,La Jolla,San Diego County,2.0,layoff permanent,2020
138,10/09/2020,10/23/2020,10/14/2020,Adventist Health Reedley,Reedley,Fresno County,2.0,layoff permanent,2020
139,10/09/2020,10/23/2020,10/14/2020,Adventist Health Hanford,Hanford,Kings County,3.0,layoff permanent,2020
140,06/30/2020,06/30/2020,10/14/2020,Walmart,Sunnyvale,Santa Clara County,158.0,layoff permanent,2020
141,10/09/2020,10/09/2020,10/14/2020,Kaiser Foundation Hospitals,San Jose,Santa Clara County,1.0,layoff type unknown,2020
142,10/06/2020,11/09/2020,10/14/2020,"ABM Aviation, Inc.",Los Angeles,Los Angeles County,67.0,layoff permanent,2020
143,07/31/2020,07/31/2020,10/13/2020,Club One Casino,Fresno,Fresno County,126.0,layoff temporary,2020
144,08/05/2020,09/28/2020,10/13/2020,"Bill Wright, Inc. dba Bill Wright Toyota",Bakersfield,Kern County,150.0,closure permanent,2020
145,10/09/2020,12/04/2020,10/13/2020,"Union Supply Group, Inc.",Compton,Los Angeles County,108.0,closure permanent,2020
146,07/31/2020,09/01/2020,10/13/2020,DFS Group L.P.,Torrance,Los Angeles County,24.0,layoff permanent,2020
147,09/30/2020,12/15/2020,10/13/2020,Paradies Lagardere @ LAX,Los Angeles,Los Angeles County,131.0,closure permanent,2020
148,10/09/2020,12/01/2020,10/12/2020,Juul Labs,Mountain View,Santa Clara County,40.0,layoff permanent,2020
149,07/31/2020,09/01/2020,10/12/2020,"Mount Hermon Association, Inc.",Felton,Santa Cruz County,265.0,layoff permanent,2020
150,07/31/2020,09/01/2020,10/12/2020,Duty Free North America-Los Angeles International Airport,Los Angeles,Los Angeles County,125.0,layoff permanent,2020
151,03/23/2020,03/09/2020,10/12/2020,Sheraton Operating Corporation dba The St. Regis San Francisco,San Francisco,San Francisco County,386.0,layoff temporary,2020
152,07/21/2020,07/21/2020,10/12/2020,Electro Rent Corporation,Canoga Park,Los Angeles County,25.0,layoff temporary,2020
153,10/08/2020,10/08/2020,10/09/2020,Shultz Steel Company,South Gate,Los Angeles County,52.0,layoff permanent,2020
154,10/08/2020,10/26/2020,10/09/2020,IMAX,Playa Vista,Los Angeles County,50.0,layoff temporary,2020
155,10/09/2020,12/17/2020,10/09/2020,"Trio Engineered Products, Inc.",Azusa,Los Angeles County,10.0,closure permanent,2020
156,10/09/2020,07/10/2020,10/09/2020,"Wencor Group, LLC dba PHS MWA CORP",Temecula,Riverside County,36.0,layoff permanent,2020
157,10/09/2020,07/12/2020,10/09/2020,"Wencor Group, LLC PHS MWA Corp",Temecula,Riverside County,44.0,closure temporary,2020
158,10/02/2020,03/20/2020,10/09/2020,Hyatt Corporation dba Hyatt Regency Sacramento,Sacramento,Sacramento County,242.0,layoff permanent,2020
159,10/08/2020,05/30/2020,10/09/2020,Springville Berry Farms LLC,Camarillo,Ventura County,58.0,layoff permanent,2020
160,06/30/2020,06/30/2020,10/09/2020,"Southern Glazer's Wine and Spirits, LLC",Red Bluff,Tehama County,1.0,layoff permanent,2020
161,10/06/2020,10/09/2020,10/08/2020,ABM Aviation,Los Angeles,Los Angeles County,50.0,layoff permanent,2020
162,10/08/2020,12/14/2020,10/08/2020,Chevron,El Segundo,Los Angeles County,50.0,layoff permanent,2020
163,10/01/2020,10/01/2020,10/08/2020,Electro Rent,Canoga Park,Los Angeles County,25.0,layoff temporary,2020
164,10/06/2020,12/04/2020,10/08/2020,Adventist Health Howard Memorial,Willits,Mendocino County,1.0,layoff permanent,2020
165,06/12/2020,06/12/2020,10/08/2020,"MV Transportation, Inc. - Omni Trans/San Bernardino",San Bernardino,San Bernardino County,63.0,closure permanent,2020
166,10/07/2020,10/09/2020,10/08/2020,ABM Aviation LAX Employee Parking Shuttle,Los Angeles,Los Angeles County,61.0,layoff permanent,2020
167,10/07/2020,12/07/2020,10/08/2020,"Bottling Group, LLC",Baldwin Park,Los Angeles County,161.0,closure permanent,2020
168,09/30/2020,09/28/2020,10/07/2020,Centric Brands Inc.,Los Angeles,Los Angeles County,1.0,layoff permanent,2020
169,09/18/2020,09/25/2020,10/07/2020,Centric Brands,Los Angeles,Los Angeles County,5.0,layoff permanent,2020
170,03/31/2020,03/31/2020,10/07/2020,"All About Parking, Inc. (AAP)",San Mateo,San Mateo County,98.0,layoff permanent,2020
171,09/30/2020,12/22/2020,10/07/2020,Kaiser Foundation,Modesto,Stanislaus County,5.0,layoff permanent,2020
172,09/21/2020,08/14/2020,10/06/2020,Hyatt Corporation dba Grand Hyatt San Diego,San Diego,San Diego County,35.0,layoff temporary,2020
173,10/05/2020,10/16/2020,10/06/2020,NortonLifeLock Inc.,Mountain View,Santa Clara County,12.0,layoff permanent,2020
174,07/13/2020,05/03/2020,10/06/2020,"Universal City Studios, LLC dba Universal Studios Hollywood",Universal City,Los Angeles County,117.0,layoff temporary,2020
175,06/03/2020,05/09/2020,10/06/2020,"NBCUniversal Media, LLC",Universal City,Los Angeles County,53.0,layoff temporary,2020
176,06/24/2020,06/24/2020,10/06/2020,Aloft El Segundo Los Angeles,El Segundo,Los Angeles County,38.0,layoff permanent,2020
177,07/30/2020,08/08/2020,10/06/2020,"Universal City Studios, LLC dba Universal Studios Hollywood",Universal City,Los Angeles County,517.0,layoff temporary,2020
178,08/24/2020,05/11/2020,10/06/2020,"Universal City Studios, LLC dba Universal Studios Hollywood",Universal City,Los Angeles County,59.0,layoff temporary,2020
179,01/29/2020,03/31/2020,10/06/2020,Mendocino Coast District Hospital,Fort Bragg,Mendocino County,250.0,layoff permanent,2020
180,05/21/2020,06/23/2020,10/06/2020,Bon Appetit Management Co. operation at Airbnb,San Francisco,San Francisco County,241.0,closure type unknown,2020
181,07/22/2020,12/31/2020,10/06/2020,"Ichor Systems, Inc.",Union City,Alameda County,78.0,closure permanent,2020
182,06/29/2020,07/01/2020,10/06/2020,ClassPass Inc.,San Francisco,San Francisco County,8.0,layoff permanent,2020
183,09/29/2020,11/30/2020,10/06/2020,"InterContinental Hotels Group Resources, LLC (IHG)",San Jose,Santa Clara County,25.0,layoff permanent,2020
184,09/29/2020,01/29/2021,10/05/2020,Corning Optical Communications LLC DBA TR Manufacturing,Union City,Alameda County,196.0,layoff permanent,2020
185,10/01/2020,09/30/2020,10/05/2020,"Grapevine Entertainment, Inc",Bakersfield,Kern County,84.0,layoff type unknown,2020
186,10/02/2020,09/30/2020,10/05/2020,"Vince, LLC",West Hollywood,Los Angeles County,2.0,layoff type unknown,2020
187,10/01/2020,09/30/2020,10/05/2020,Hollywood and Vine Club LLC,Los Angeles,Los Angeles County,85.0,layoff type unknown,2020
188,07/13/2020,07/19/2020,10/05/2020,Ruth's Chris Steak House,Beverly Hills,Los Angeles County,47.0,closure permanent,2020
189,08/03/2020,10/19/2020,10/05/2020,Horizon Air - Los Angeles International Airport,Los Angeles,Los Angeles County,370.0,closure permanent,2020
190,09/30/2020,11/30/2020,10/05/2020,IHG Management LLC,Anaheim,Orange County,19.0,layoff permanent,2020
191,05/29/2020,07/14/2020,10/05/2020,The Westin Mission Hills Golf Resort & Spa,Rancho Mirage,Riverside County,351.0,layoff permanent,2020
192,10/01/2020,09/30/2020,10/05/2020,Deja Vu Showgirls - Sacramento LLC,Rancho Cordova,Sacramento County,90.0,layoff type unknown,2020
193,07/10/2020,07/13/2020,10/05/2020,PSG California LLC,Grand Terrace,San Bernardino County,184.0,layoff temporary,2020
194,07/10/2020,07/15/2020,10/05/2020,PSG California LLC,Grand Terrace,San Bernardino County,5.0,layoff permanent,2020
195,10/01/2020,09/30/2020,10/05/2020,Ontario Food & Beverage LLC,Ontario,San Bernardino County,71.0,layoff type unknown,2020
196,10/01/2020,09/30/2020,10/05/2020,Showgirls of San Diego,San Diego,San Diego County,70.0,layoff type unknown,2020
197,10/01/2020,09/30/2020,10/05/2020,"Stockton Enterprises, LLC",Stockton,San Joaquin County,99.0,layoff type unknown,2020
198,06/24/2020,08/01/2020,10/05/2020,Levy Premium Foodservice Limited Partnership,Santa Clara,Santa Clara County,25.0,layoff permanent,2020
199,10/02/2020,09/30/2020,10/05/2020,Vince LLC,Palo Alto,Santa Clara County,4.0,layoff type unknown,2020
200,09/17/2020,10/26/2020,10/05/2020,"Amentum,",San Diego,San Diego County,4.0,layoff permanent,2020
201,06/04/2020,03/07/2020,10/05/2020,The Westin St. Francis San Francisco On Union Square,San Francisco,San Francisco County,940.0,layoff temporary,2020
202,07/07/2020,07/15/2020,10/05/2020,Veritiv Operating Company,Downey,Los Angeles County,47.0,layoff permanent,2020
203,06/22/2020,08/14/2020,10/02/2020,Blackhawk Country Club,Danville,Contra Costa County,31.0,layoff permanent,2020
204,09/30/2020,09/30/2020,10/02/2020,"Coldwater, LLC",North Hollywood,Los Angeles County,142.0,layoff temporary,2020
205,09/29/2020,12/04/2020,10/02/2020,"Walt Disney Parks and Resorts U.S., Inc",North Hollywood,Los Angeles County,2.0,layoff permanent,2020
206,08/28/2020,08/28/2020,10/02/2020,Hyatt Corporation dba Hyatt Regency Long Beach,Long Beach,Los Angeles County,32.0,layoff permanent,2020
207,06/26/2020,06/27/2020,10/02/2020,Hyatt Corporation dba Carmel Valley Ranch,Carmel,Monterey County,76.0,layoff permanent,2020
208,08/28/2020,08/28/2020,10/02/2020,Hyatt Corporation dba Carmel Valley Ranch,Carmel,Monterey County,47.0,layoff permanent,2020
