,Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure,County Orig,Year,Layoff/Closure clean
43,04/16/2020,03/16/2020,07/03/2020,"Rudy's Hollywood, LLC",Los Angeles,Los Angeles County,106.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
44,04/16/2020,03/23/2020,07/03/2020,Tri-Mountain,Irwindale,Los Angeles County,59.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
45,07/01/2020,06/30/2020,07/03/2020,United Cerebral Palsy Association of San Diego County,San Diego,San Diego County,89.0,Layoff Temporary,San Diego County,2020,layoff temporary
46,04/03/2020,04/03/2020,07/03/2020,"Eye-Fi Holdings, LLC",Solana Beach,San Diego County,1.0,Layoff Temporary,San Diego County,2020,layoff temporary
47,07/01/2020,08/31/2020,07/03/2020,"J.C. Penney Corporation, Inc.",Lathrop,San Joaquin County,52.0,Closure Permanent,San Joaquin County,2020,closure permanent
48,06/18/2020,08/17/2020,07/03/2020,Hertz Corporation,San Jose,Santa Clara County,115.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
49,03/27/2020,03/16/2020,07/03/2020,California Dental Arts,Cupertino,Santa Clara County,21.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
50,04/15/2020,04/15/2020,07/03/2020,All Recreational Equipment Inc. dba REI,Santa Rosa,Sonoma County,83.0,Closure Temporary,Sonoma County,2020,closure temporary
51,04/20/2020,04/21/2020,07/03/2020,"San Joaquin Valley College, Inc.",Porterville,Tulare County,7.0,Layoff Permanent,Tulare County,2020,layoff permanent
52,04/17/2020,04/17/2020,07/03/2020,Rapid Displays Inc.,Union City,Alameda County,289.0,Layoff Temporary,Alameda County,2020,layoff temporary
53,06/30/2020,03/23/2020,07/03/2020,Golden Valley Health Centers,Ceres,Stanislaus County,27.0,Layoff Temporary,Stanislaus County,2020,layoff temporary
54,06/30/2020,05/09/2020,07/03/2020,Golden Valley Health Centers,Ceres,Stanislaus County,2.0,Layoff Permanent,Stanislaus County,2020,layoff permanent
55,05/26/2020,05/26/2020,07/03/2020,The Langham Huntington Pasadena,Pasadena,Los Angeles County,243.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
56,03/26/2020,03/20/2020,07/03/2020,Las Alcobas Resort & Spa,Saint Helena,Napa County,153.0,Layoff Temporary,Napa County,2020,layoff temporary
57,04/08/2020,03/23/2020,07/03/2020,"SAINT-GOBAIN, SEKURIT",Garden Grove,Orange County,119.0,Layoff Temporary,Orange County,2020,layoff temporary
58,07/01/2020,06/30/2020,07/06/2020,Crown Plaza Concord/Walnut Creek,Concord,Contra Costa County,100.0,Layoff Temporary,Contra Costa County,2020,layoff temporary
59,06/30/2020,05/03/2020,07/06/2020,DELUXE CREATIVE SERVICES,Los Angeles,Los Angeles County,44.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
60,06/30/2020,05/03/2020,07/06/2020,DELUXE CREATIVE SERVICES,Santa Monica,Los Angeles County,40.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
61,06/30/2020,05/17/2020,07/06/2020,DELUXE CREATIVE SERVICES,Burbank,Los Angeles County,138.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
62,06/30/2020,06/30/2020,07/06/2020,DELUXE CREATIVE SERVICES,Los Angeles,Los Angeles County,43.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
63,07/01/2020,07/01/2020,07/06/2020,ELECTRO RENT,Canoga Park,Los Angeles County,25.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
64,07/01/2020,08/31/2020,07/06/2020,Claremont McKenna College,Claremont,Los Angeles County,29.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
65,04/02/2020,03/18/2020,07/06/2020,Carmel Valley Ranch,Carmel,Monterey County,588.0,Closure Temporary,Monterey County,2020,closure temporary
66,07/02/2020,07/02/2020,07/06/2020,"King's Casino Management Corp., dba The Saloon at Stones Gambling Hall",Citrus Heights,Sacramento County,319.0,Layoff Temporary,Sacramento County,2020,layoff temporary
67,07/02/2020,07/07/2020,07/06/2020,McCalls Catering & Events,San Francisco,San Francisco County,424.0,Layoff Temporary,San Francisco County,2020,layoff temporary
68,04/06/2020,04/13/2020,07/06/2020,Reputation.com,Redwood City,San Mateo County,6.0,Layoff Temporary,San Mateo County,2020,layoff temporary
69,04/29/2020,03/17/2020,07/06/2020,"Air Systems, Inc.",San Jose,Santa Clara County,244.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
70,07/01/2020,07/01/2020,07/06/2020,PACIFIC HOTEL MANAGEMENT,Palo Alto,Santa Clara County,71.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
71,07/01/2020,07/01/2020,07/06/2020,PACIFIC HOTEL MANAGEMENT,Palo Alto,Santa Clara County,103.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
72,07/01/2020,09/01/2020,07/06/2020,Varian Medical Systems,Palo Alto,Santa Clara County,101.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
73,04/01/2020,03/24/2020,07/06/2020,"Museum of Contemporary Art, Los Angeles",Los Angeles,Los Angeles County,158.0,Layoff Type Unknown ,Los Angeles County,2020,layoff type unknown
74,06/17/2020,06/19/2020,07/07/2020,"4Over, Inc.",Los Angeles,Los Angeles County,58.0,Layoff Type Unknown ,Los Angeles County,2020,layoff type unknown
75,06/23/2020,06/30/2020,07/07/2020,"Printograph, Inc. dba GotPrint.com",Burbank,Los Angeles County,88.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
76,06/26/2020,06/26/2020,07/07/2020,Hyatt Centric The Pike Long Beach,Long Beach,Los Angeles County,2.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
77,04/20/2020,04/16/2020,07/07/2020,"Empire Chauffeured Services, Ltd",El Segundo,Los Angeles County,192.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
78,04/23/2020,04/27/2020,07/07/2020,"Panavision GP, Inc.",Woodland Hills,Los Angeles County,228.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
79,06/26/2020,08/24/2020,07/07/2020,"Warmelin Precision Products, LLC",Hawthorne,Los Angeles County,65.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
80,03/28/2020,03/30/2020,07/07/2020,"Alclear, LLC",San Jose,Santa Clara County,16.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
81,04/24/2020,04/22/2020,07/07/2020,Total Airport Services/LAX,Los Angeles,Los Angeles County,84.0,Closure Temporary,Los Angeles County,2020,closure temporary
82,03/16/2020,03/16/2020,07/07/2020,YMCA - Greater Whittier,Whittier,Los Angeles County,118.0,Closure Temporary,Los Angeles County,2020,closure temporary
83,03/16/2020,03/16/2020,07/07/2020,YMCA - Camp Abrolado,Angelus Oaks,San Bernardino County,8.0,Closure Temporary,San Bernardino County,2020,closure temporary
84,06/15/2020,06/30/2020,07/07/2020,"Artisan Restaurant Collection for Sodexo, Inc.",San Francisco,San Francisco County,52.0,Layoff Permanent,San Francisco County,2020,layoff permanent
85,04/20/2020,04/17/2020,07/07/2020,Parc 55 San Francisco - A Hilton Hotel,San Francisco,San Francisco County,330.0,Layoff Temporary,San Francisco County,2020,layoff temporary
86,06/30/2020,06/30/2020,07/07/2020,New West Symphony Association,Thousand Oaks,Ventura County,59.0,Layoff Temporary,Ventura County,2020,layoff temporary
87,06/19/2020,07/03/2020,07/08/2020,"Circus Dog Productions, Inc.",North Hollywood,Los Angeles County,77.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
88,06/24/2020,07/01/2020,07/08/2020,Centric Brands Inc dba Joe's Jeans,Santa Monica,Los Angeles County,6.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
89,04/14/2020,04/14/2020,07/08/2020,Precision Dynamics Corporation,Valencia,Los Angeles County,18.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
90,07/06/2020,07/01/2020,07/08/2020,Progressive Gaming LLC dba Commerce Casino,Los Angeles,Los Angeles County,467.0,Closure Temporary,Los Angeles County,2020,closure temporary
91,03/24/2020,03/24/2020,07/08/2020,Rambler Motel,Chula Vista,San Diego County,11.0,Layoff Permanent,San Diego County,2020,layoff permanent
92,04/15/2020,06/08/2020,07/08/2020,Lodi Memorial Hospital Association Inc. dba Adventist Health Lodi,Lodi,San Joaquin County,2.0,Layoff Permanent,San Joaquin County,2020,layoff permanent
93,06/22/2020,08/24/2020,07/08/2020,Rosewood CordeValle,San Martin,Santa Clara County,82.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
94,06/30/2020,08/31/2020,07/08/2020,Los Angeles Mill and Warehouse,Los Angeles,Los Angeles County,199.0,Closure Permanent,Los Angeles County,2020,closure permanent
95,06/19/2020,07/01/2020,07/08/2020,University of Southern California,Los Angeles,Los Angeles County,441.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
96,03/18/2020,03/18/2020,07/08/2020,Saekyu Oh DMD Dental Corporation dba Smileland Dental,Bakersfield,Kern County,91.0,Layoff Temporary,Kern County,2020,layoff temporary
97,06/22/2020,06/22/2020,07/08/2020,Hyatt Regency Long Beach,Long Beach,Los Angeles County,35.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
98,06/29/2020,06/30/2020,07/08/2020,Napa Valley Marriott Hotel & Spa,Napa,Napa County,99.0,Layoff Permanent,Napa County,2020,layoff permanent
99,04/01/2020,03/17/2020,07/08/2020,"Royal Automotive Group, dba Royal Motor Sales",San Francisco,San Francisco County,90.0,Layoff Temporary,San Francisco County,2020,layoff temporary
100,07/02/2020,09/03/2020,07/09/2020,"Avanos Medical, Inc.",Concord,Contra Costa County,41.0,Closure Permanent,Contra Costa County,2020,closure permanent
101,07/01/2020,06/30/2020,07/09/2020,Crowne Plaza Concord/Walnut Creek,Concord,Contra Costa County,13.0,Layoff Temporary,Contra Costa County,2020,layoff temporary
102,04/23/2020,04/23/2020,07/09/2020,"Channel Control Merchants of California, LLC, aka CCM California",Los Angeles,Los Angeles County,97.0,Closure Permanent,Los Angeles County,2020,closure permanent
103,04/15/2020,03/16/2020,07/09/2020,Mastroianni Family Enterprises dba Jay's Catering & Ellie's Table,Garden Grove,Orange County,94.0,Layoff Type Unknown ,Orange County,2020,layoff type unknown
104,06/25/2020,06/29/2020,07/09/2020,Summit Machine Inc.,Ontario,San Bernardino County,123.0,Layoff Temporary,San Bernardino County,2020,layoff temporary
105,03/25/2020,03/30/2020,07/09/2020,La Costa Dental Care,Carlsbad,San Diego County,5.0,Layoff Permanent,San Diego County,2020,layoff permanent
106,03/19/2020,03/19/2020,07/09/2020,Metropolitan Transit System,San Diego,San Diego County,2.0,Layoff Temporary,San Diego County,2020,layoff temporary
107,04/21/2020,05/05/2020,07/09/2020,Adventist Health Simi Valley,Simi Valley,Ventura County,1.0,Layoff Permanent,Ventura County,2020,layoff permanent
108,04/21/2020,05/05/2020,07/09/2020,Adventist Health Simi Valley,Simi Valley,Ventura County,3.0,Layoff Temporary,Ventura County,2020,layoff temporary
109,04/22/2020,03/19/2020,07/09/2020,Hilton Hotel Employer LLC dba Hilton Beverly Hills,Beverly Hills,Los Angeles County,580.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
110,04/16/2020,04/23/2020,07/09/2020,"Quemetco, Inc.",City of Industry,Los Angeles County,212.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
111,06/26/2020,06/19/2020,07/09/2020,Worley Group Inc.,Long Beach,Los Angeles County,16.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
112,04/24/2020,03/17/2020,07/09/2020,"City Mechanical, Inc.",Petaluma,Sonoma County,31.0,Layoff Temporary,Sonoma County,2020,layoff temporary
113,03/25/2020,03/16/2020,07/09/2020,Monarchs National Gymnastics Center,Agoura Hills,Los Angeles County,25.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
114,04/21/2020,04/21/2020,07/09/2020,LB Construction Inc,Roseville,Placer County,82.0,Layoff Temporary,Placer County,2020,layoff temporary
115,03/25/2020,03/20/2020,07/09/2020,Staypineapple Hotel Z,San Diego,San Diego County,19.0,Layoff Temporary,San Diego County,2020,layoff temporary
116,03/25/2020,03/20/2020,07/09/2020,Staypineapple San Francisco,San Francisco,San Francisco County,25.0,Layoff Temporary,San Francisco County,2020,layoff temporary
117,03/25/2020,03/14/2020,07/09/2020,Staypineapple San Francisco,San Francisco,San Francisco County,6.0,Layoff Temporary,San Francisco County,2020,layoff temporary
118,03/17/2020,03/17/2020,07/09/2020,China Live,San Francisco,San Francisco County,170.0,Layoff Temporary,San Francisco County,2020,layoff temporary
119,04/23/2020,04/15/2020,07/09/2020,Wyndham Vacation Ownership,Windsor,Sonoma County,2.0,Layoff Permanent,Sonoma County,2020,layoff permanent
120,04/23/2020,04/15/2020,07/09/2020,Wyndham Vacation Ownership,Windsor,Sonoma County,21.0,Layoff Permanent,Sonoma County,2020,layoff permanent
121,03/25/2020,03/16/2020,07/09/2020,Manarchs Athletics,Newbury Park,Ventura County,25.0,Layoff Temporary,Ventura County,2020,layoff temporary
122,03/27/2020,03/20/2020,07/09/2020,"Evoke Research and Consulting, LLC",Point Mugu Nawc,Ventura County,2.0,Layoff Permanent,Ventura County,2020,layoff permanent
123,06/24/2020,08/01/2020,07/10/2020,Levy Premium Foodservice Limited Partnership operation at The Rose Bowl,Pasadena,Los Angeles County,14.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
124,03/25/2020,03/17/2020,07/10/2020,"O C House SF, LLC dba The Old Clam House",San Francisco,San Francisco County,37.0,Closure Temporary,San Francisco County,2020,closure temporary
125,03/25/2020,03/17/2020,07/10/2020,Osso Steakhouse,San Francisco,San Francisco County,33.0,Closure Temporary,San Francisco County,2020,closure temporary
126,04/08/2020,03/20/2020,07/10/2020,"Fremont Automotive Retailing Group, Inc. dba Fremont Chevrolet, Cadillac, Buick GMC",Fremont,Alameda County,1.0,Layoff Temporary,Alameda County,2020,layoff temporary
127,03/19/2020,03/20/2020,07/13/2020,Efoxx Hair,Sherman Oaks,Los Angeles County,1.0,Closure Temporary,Los Angeles County,2020,closure temporary
128,04/03/2020,03/20/2020,07/13/2020,"Mammoth Mountain Ski Area, LLC",Mammoth Lakes,Mono County,94.0,Layoff Permanent,Mono County,2020,layoff permanent
129,04/03/2020,03/20/2020,07/13/2020,"Mammoth Mountain Ski Area, LLC",Mammoth Lakes,Mono County,201.0,Layoff Temporary,Mono County,2020,layoff temporary
130,03/26/2020,03/30/2020,07/13/2020,Jurupa Community Services District,Mira Loma,Riverside County,52.0,Closure Temporary,Riverside County,2020,closure temporary
131,06/17/2020,03/25/2020,07/13/2020,"Positive Pathways, LLC",San Francisco,San Francisco County,54.0,Layoff Temporary,San Francisco County,2020,layoff temporary
132,06/09/2020,06/10/2020,07/13/2020,"San Joaquin Valley College, Inc.",Visalia,Tulare County,43.0,Layoff Permanent,Tulare County,2020,layoff permanent
133,07/10/2020,08/01/2020,07/13/2020,San Francisco Opera,Burlingame,San Mateo County,19.0,Layoff Temporary,San Mateo County,2020,layoff temporary
134,04/03/2020,03/18/2020,07/13/2020,"Michael Cadillac, Inc. dba Michael Chevrolet, Michael Toyota, Michael Volkswagen",Fresno,Fresno County,278.0,Layoff Temporary,Fresno County,2020,layoff temporary
135,06/09/2020,05/12/2020,07/13/2020,San Joaquin Valley College,San Jose,Santa Clara County,8.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
136,07/06/2020,07/10/2020,07/14/2020,Course At Wente Vineyards,Livermore,Alameda County,48.0,Closure Temporary,Alameda County,2020,closure temporary
137,07/01/2020,06/30/2020,07/14/2020,Crowne Plaza Concord/Walnut Creek,Concord,Contra Costa County,13.0,Layoff Permanent,Contra Costa County,2020,layoff permanent
138,07/01/2020,07/15/2020,07/14/2020,Angeles Philharmonic Association,Sherman Oaks,Los Angeles County,15.0,Closure Temporary,Los Angeles County,2020,closure temporary
139,07/01/2020,07/24/2020,07/14/2020,Dapper Cadaver LLC,Sun Valley,Los Angeles County,7.0,Closure Permanent,Los Angeles County,2020,closure permanent
140,07/03/2020,07/31/2020,07/14/2020,"Listo, Inc.",Whittier,Los Angeles County,32.0,Closure Permanent,Los Angeles County,2020,closure permanent
141,06/29/2020,08/31/2020,07/14/2020,Adventist Health Ukiah Valley,Ukiah,Mendocino County,9.0,Layoff Permanent,Mendocino County,2020,layoff permanent
142,06/28/2020,06/28/2020,07/14/2020,The Comedy Store,La Jolla,San Diego County,21.0,Layoff Temporary,San Diego County,2020,layoff temporary
143,03/26/2020,03/24/2020,07/14/2020,"Alsco, Inc.",Crescent City,Del Norte County,6.0,Closure Temporary,Del Norte County,2020,closure temporary
144,03/25/2020,03/17/2020,07/14/2020,Learn & Play Montessori Sch,Dublin,Alameda County,111.0,Closure Temporary,Alameda County,2020,closure temporary
145,03/25/2020,03/17/2020,07/14/2020,Learn & Play Montessori School,Danville,Contra Costa County,20.0,Layoff Temporary,Contra Costa County,2020,layoff temporary
146,03/31/2020,04/01/2020,07/14/2020,Kellwood Apparel,La Puente,Los Angeles County,200.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
147,03/26/2020,03/19/2020,07/14/2020,Donald L Dillon DDS,Anaheim,Orange County,4.0,Closure Temporary,Orange County,2020,closure temporary
148,06/22/2020,06/07/2020,07/14/2020,Andro's Rostilj,Campbell,Santa Clara County,221.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
149,03/04/2020,03/17/2020,07/14/2020,"Seigo Enterprises, Inc. dba Zen Toro",Davis,Yolo County,12.0,Layoff Temporary,Yolo County,2020,layoff temporary
150,03/27/2020,03/28/2020,07/15/2020,Ensign United States Drilling Inc.,Bakersfield,Kern County,150.0,Layoff Permanent,Kern County,2020,layoff permanent
151,07/07/2020,07/08/2020,07/15/2020,Dickson Testing Company,South Gate,Los Angeles County,38.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
152,07/07/2020,06/10/2020,07/15/2020,Dickson Testing Company,South Gate,Los Angeles County,57.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
153,07/02/2020,07/03/2020,07/15/2020,Reimagine Network,Orange,Orange County,83.0,Layoff Temporary,Orange County,2020,layoff temporary
154,03/20/2020,03/18/2020,07/15/2020,"Green Farms, Inc dba Worldwide Produce",Chula Vista,San Diego County,4.0,Layoff Temporary,San Diego County,2020,layoff temporary
155,04/13/2020,03/19/2020,07/15/2020,Trumpet Behavioral Health Facility,San Bruno,San Mateo County,64.0,Layoff Temporary,San Mateo County,2020,layoff temporary
156,07/01/2020,09/01/2020,07/15/2020,"Ferrari-Carano Vineyards and Winery, LLC",Healdsburg,Sonoma County,95.0,Layoff Permanent,Sonoma County,2020,layoff permanent
157,07/02/2020,07/01/2020,07/15/2020,Crystal Casino,Compton,Los Angeles County,295.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
158,07/08/2020,09/17/2020,07/15/2020,"GPI Converting, LLC",Commerce,Los Angeles County,64.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
159,07/08/2020,09/17/2020,07/15/2020,"GPI Converting, LLC",Los Angeles,Los Angeles County,64.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
160,07/15/2020,09/10/2020,07/15/2020,DynCorp International LLC,Fort Irwin,San Bernardino County,738.0,Layoff Permanent,San Bernardino County,2020,layoff permanent
161,06/29/2020,08/28/2020,07/15/2020,Amentum dba Combined Tactical Training Range,San Diego,San Diego County,3.0,Layoff Permanent,San Diego County,2020,layoff permanent
162,03/25/2020,03/20/2020,07/15/2020,"Goodwill Industries of San Joaquin Valley, Inc.",Stockton,San Joaquin County,31.0,Layoff Temporary,San Joaquin County,2020,layoff temporary
163,03/25/2020,03/25/2020,07/15/2020,Goodwill Industries- San Joaquin,Modesto,Stanislaus County,16.0,Layoff Temporary,Stanislaus County,2020,layoff temporary
164,04/22/2020,04/22/2020,07/15/2020,Equinox,Thousand Oaks,Ventura County,45.0,Layoff Temporary,Ventura County,2020,layoff temporary
165,07/08/2020,03/20/2020,07/16/2020,New Horizons,North Hills,Los Angeles County,32.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
166,07/08/2020,03/20/2020,07/16/2020,New Horizons,North Hills,Los Angeles County,140.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
167,07/07/2020,07/21/2020,07/16/2020,"Viking River Cruises, Inc.",Woodland Hills,Los Angeles County,106.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
168,06/30/2020,06/30/2020,07/16/2020,Terrapin Crossroads,San Rafael,Marin County,104.0,Layoff Temporary,Marin County,2020,layoff temporary
169,04/27/2020,04/28/2020,07/16/2020,Brady Corporation,Ontario,San Bernardino County,1.0,Layoff Temporary,San Bernardino County,2020,layoff temporary
