,rowid,﻿X,Y,OBJECTID,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL,PHAS_DESIGNATION,HA_LOW_RENT_SIZE_CATEGORY,SECTION8_UNITS_CNT,HA_SECTION_8_SIZE_CATEGORY,HA_COMBINED_SIZE_CATEGORY,HA_FYE,HA_PROGRAM_TYPE,TOTAL_UNITS,TOTAL_DWELLING_UNITS,ACC_UNITS,PH_OCCUPIED,SECTION8_OCCUPIED,TOTAL_OCCUPIED,PCT_OCCUPIED,REGULAR_VACANT,PHA_TOTAL_UNITS,NUMBER_REPORTED,PCT_REPORTED,OPFUND_AMNT,OPFUND_AMNT_PREV_YR,CAPFUND_AMNT,CAPFUND_AMNT_PREV_YR,VCHR_AMNT,VCHR_AMNT_PREV_YR,ROSS_AMNT,FSS_AMNT,SPENDING_PER_MONTH,SPENDING_PER_MONTH_PREV_YR,CHLDRN_MBR_CNT,ELDLY_PRCNT,PCT_DISABLED_LT62_ALL,PCT_LT80_MEDIAN,MEDIAN_INC_AMNT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,DPVACT,DPVNOST,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,CBSA,CBSA_NM,NECTA,NECTA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PZRC,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,UGLG_KEY,LAST_UPDT_DTTM,ANNL_EXPNS_AMNT,ANNL_EXPNS_AMNT_PREV_YR,Unnamed: 109,GEO_ID,NAME,Estimate Total,Margin of Error,50 Percent or More,Margin of Error for 50 percent or more,Rent Burden Percent,COUNTY FIPS
10,1942,-118.24705900000001,34.14712,1942,CA114,Housing Authority of the City of Glendale,8185483936,8185483724.0,housing@glendaleca.gov,8185483936.0,8185483724.0,pzovak@glendaleca.gov,,,1621,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",6/30,Section 8,0,0,0,0,1311,1311,80.88,0,1621,2702,100.0,0,0,0,0,16935365,15793092,0,0,2318,2171,108,74.48,7.85,99.85,11325,6,Los Angeles,37.0,302002.0,3.0,3007.0,,,Los Angeles,37.0,92785.0,San Fernando Valley,30000.0,Glendale city (part),C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0628,1464.0,Y,,141 N Glendale Ave Ste 202,,Glendale,CA,91206.0,4975.0,,91206.0,52.0,0.0,91206497552.0,H,202,Ste,,0.0,,,,,100% Overall probable correctness,34.14712,-118.24705900000001,S,,R,U,** Street-Level Rooftop **,06037,630000.0,6037302002.0,60373020023.0,630000.0,2020/08/24 16,57,41+00,35363207,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
11,1943,-118.90973500000001,34.187473,1943,CA092,Housing Authority of the County of Ventura,8054809991,8054801021.0,info@ahacv.org,8054809991.0,8054801021.0,execdirector@ahacv.org,High Performer,MEDIUM HIGH (300-999),2552,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",6/30,Combined,355,350,354,345,2280,2625,90.45,4,2902,2655,100.0,968104,968104,1249612,1249612,29524208,28945816,0,0,1117,1047,1306,32.25,12.22,99.06,15198,6,Ventura,111.0,6100.0,1.0,1030.0,,,Ventura,111.0,93350.0,Thousand Oaks,78582.0,Thousand Oaks city (part),C1,,8735.0,"Ventura, CA PMSA",37100.0,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0626,3732.0,Y,,1400 W Hillcrest Dr,,Newbury Park,CA,91320.0,2721.0,,91320.0,0.0,3.0,91320272100.0,S,,,,0.0,,,,,100% Overall probable correctness,34.187473,-118.90973500000001,S,,R,U,** Street-Level Rooftop **,06111,678582.0,6111006100.0,61110061001.0,678582.0,2020/08/24 16,57,41+00,33420402,0500000US06111,"Ventura County, California",99672,1663,26642,1318,26.72967332851754,06111
12,1944,-118.30801699999999,34.182672,1944,CA105,Housing Authority of the City of Burbank,8182385160,8182385159.0,mleyland@burbankca.gov,8182385800.0,,mleyland@burbankca.gov,,,1029,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",6/30,Section 8,0,0,0,0,889,889,86.39,0,1029,844,94.94,0,0,0,0,9308362,8959549,0,0,981,901,53,71.26,8.08,99.64,11994,6,Los Angeles,37.0,310702.0,1.0,1020.0,,,Los Angeles,37.0,92785.0,San Fernando Valley,8954.0,Burbank city,C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0628,456.0,S,,150 N 3rd St,,Burbank,CA,91502.0,1264.0,,91502.0,50.0,5.0,91502126450.0,S,,,,2.0,,,A,,80% Overall probable correctness,34.182672,-118.30801699999999,S,,R,U,** Street-Level Rooftop **,06037,608954.0,6037310702.0,60373107021.0,608954.0,2020/08/24 16,57,41+00,9461832,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
13,1945,-117.959861,34.085035,1945,CA120,Housing Authority of the City of Baldwin Park,6269604011,6263372965.0,SRuelas@baldwinpark.com,6269604011.0,6263372965.0,bmartinez@baldwinpark.com,Standard Performer,VERY SMALL (0-49),899,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Combined,12,12,12,12,471,483,53.02,0,911,493,100.0,27662,27662,22434,22434,6433695,6403957,0,0,1019,953,287,32.01,10.24,99.59,15612,6,Los Angeles,37.0,405201.0,3.0,3018.0,,,Los Angeles,37.0,90810.0,East San Gabriel Valley,3666.0,Baldwin Park city,C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0632,234.0,Y,,14403 Pacific Ave,,Baldwin Park,CA,91706.0,4226.0,,91706.0,3.0,0.0,91706422603.0,S,,,,0.0,,,,,100% Overall probable correctness,34.085035,-117.959861,S,,R,U,** Street-Level Rooftop **,06037,603666.0,6037405201.0,60374052013.0,603666.0,2020/08/24 16,57,41+00,4929295,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
14,2010,-122.152432,38.0573,2010,CA041,CITY OF BENICIA HSG AUTH,7077452071,7077458076.0,juliep@BeniciaHousingAuthority.org,7077452071.0,7077458076.0,juliep@BeniciaHousingAuthority.org,High Performer,SMALL (50-99),372,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),3/31,Combined,75,75,75,74,371,445,99.55,1,447,383,86.07,261405,261405,194783,194783,4364319,3630676,0,0,892,893,256,21.4,9.39,97.65,18852,6,Solano,95.0,252108.0,2.0,2007.0,,,Solano,95.0,93530.0,Vallejo,5290.0,Benicia city,C1,,8720.0,"Vallejo-Fairfield-Napa, CA PMSA",46700.0,"Vallejo, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0605,312.0,Y,,28 Riverhill Dr,,Benicia,CA,94510.0,2725.0,,94510.0,28.0,5.0,94510272528.0,S,,,,0.0,,,,,100% Overall probable correctness,38.0573,-122.152432,S,,R,U,** Street-Level Rooftop **,06095,605290.0,6095252108.0,60952521082.0,605290.0,2020/08/24 16,57,41+00,4426977,0500000US06095,"Solano County, California",58647,1070,15133,885,25.803536412774736,06095
15,2011,-122.04208100000001,38.250559,2011,CA065,City of Fairfield,7074287391,7074287391.0,nholloway@fairfield.ca.gov,7074287391.0,7074287391.0,nholloway@fairfield.ca.gov,,,887,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Section 8,0,0,0,0,798,798,89.97,0,887,789,98.87,0,0,0,0,11008698,10590498,0,0,1081,992,587,19.48,17.47,98.61,13752,6,Solano,95.0,252502.0,1.0,1002.0,,,Solano,95.0,90950.0,Fairfield-Suisun City,23182.0,Fairfield city,C1,,8720.0,"Vallejo-Fairfield-Napa, CA PMSA",46700.0,"Vallejo, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0603,1266.0,Y,,823 Jefferson St Ste B,,Fairfield,CA,94533.0,5500.0,,94533.0,74.0,5.0,94533550074.0,H,B,Ste,,0.0,,,,,100% Overall probable correctness,38.250559,-122.04208100000001,S,,R,U,** Street-Level Rooftop **,06095,623182.0,6095252502.0,60952525021.0,623182.0,2020/08/24 16,57,41+00,9663059,0500000US06095,"Solano County, California",58647,1070,15133,885,25.803536412774736,06095
16,2012,-122.04179099999999,38.249053,2012,CA131,COUNTY OF SOLANO HSG AUTH,7074495675,7074496242.0,emily.cantu@cityofvacaville.com,7077846765.0,,emily.cantu@cityofvacaville.com,,,300,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Section 8,0,0,0,0,250,250,83.33,0,300,247,98.8,0,0,0,0,2370033,2167422,0,0,840,827,144,22.06,16.39,100.0,14612,6,Solano,95.0,252502.0,1.0,1015.0,,,Solano,95.0,90950.0,Fairfield-Suisun City,23182.0,Fairfield city,C1,,8720.0,"Vallejo-Fairfield-Napa, CA PMSA",46700.0,"Vallejo, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0603,1266.0,Y,,675 Texas St Ste 5500,,Fairfield,CA,94533.0,6341.0,,94533.0,75.0,0.0,94533634175.0,H,5500,Ste,,2.0,,,,,80% Overall probable correctness,38.249053,-122.04179099999999,S,,R,U,** Street-Level Rooftop **,06095,623182.0,6095252502.0,60952525021.0,623182.0,2020/08/24 16,57,41+00,2391922,0500000US06095,"Solano County, California",58647,1070,15133,885,25.803536412774736,06095
17,2013,-122.08283300000001,37.667522999999996,2013,CA067,Housing Authority of the County of Alameda,5105388876,5107278554.0,chrisg@haca.net,5107278513.0,5107278554.0,kurtw@haca.net,High Performer,VERY SMALL (0-49),6709,"EXTRA LARGE (5,000+)","EXTRA LARGE (5,000+)",6/30,Combined,0,0,0,0,6065,6065,90.65,0,6691,6351,100.0,215016,215016,0,0,124805393,120876231,0,0,1923,1886,4073,18.86,13.94,98.8,16141,6,Alameda,1.0,435400.0,3.0,3020.0,,,Alameda,1.0,91260.0,Hayward,33000.0,Hayward city (part),C1,,5775.0,"Oakland, CA PMSA",41860.0,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0615,1602.0,Y,,22941 Atherton St,,Hayward,CA,94541.0,6633.0,,94541.0,41.0,4.0,94541663341.0,S,,,,0.0,,,,,100% Overall probable correctness,37.667522999999996,-122.08283300000001,S,,R,U,** Street-Level Rooftop **,06001,633000.0,6001435400.0,60014354003.0,633000.0,2020/08/24 16,57,41+00,134912964,0500000US06001,"Alameda County, California",267736,2179,62990,1462,23.526907102518898,06001
18,2014,-121.757791,37.68275,2014,CA074,HSG AUTH OF THE CITY OF LIVERMORE,9254473600,9254470942.0,,9254473600.0,9254470942.0,djon@livermoreha.org,High Performer,MEDIUM LOW (100-299),737,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Combined,125,125,125,124,521,645,74.83,1,862,622,96.43,233864,233864,364701,364701,9132208,9130285,0,0,1300,1299,396,23.15,11.79,99.52,18744,6,Alameda,1.0,451503.0,4.0,4005.0,,,Alameda,1.0,91660.0,Livermore-Pleasanton,41992.0,Livermore city,C1,,5775.0,"Oakland, CA PMSA",41860.0,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0615,2034.0,Y,,3203 Leahy Way,,Livermore,CA,94550.0,3668.0,,94550.0,3.0,1.0,94550366803.0,S,,,,0.0,,,,,100% Overall probable correctness,37.68275,-121.757791,S,,R,U,** Street-Level Rooftop **,06001,641992.0,6001451503.0,60014515034.0,641992.0,2020/08/24 16,57,41+00,9755495,0500000US06001,"Alameda County, California",267736,2179,62990,1462,23.526907102518898,06001
19,2033,-122.12814499999999,38.001931,2033,CA011,Housing Authority of the County Contra Costa,9259578045,9253720236.0,ecampbell@contracostahousing.org,9259578011.0,9253720236.0,jvillarreal@contracostahousing.org,Substandard Financial,"LARGE (1,000-4,999)",9280,"EXTRA LARGE (5,000+)","EXTRA LARGE (5,000+)",3/31,Combined,1076,1058,1070,917,7893,8810,86.11,31,10231,9198,100.0,5592285,5592285,2919781,2919781,138147162,107864197,0,0,1657,1548,6955,16.59,15.62,99.43,14354,6,Contra Costa,13.0,319000.0,3.0,3022.0,,,Contra Costa,13.0,90440.0,Central Contra Costa,46114.0,Martinez city (part),C1,,5775.0,"Oakland, CA PMSA",41860.0,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0605,2208.0,Y,,3133 Estudillo St,,Martinez,CA,94553.0,3258.0,,94553.0,33.0,0.0,94553325833.0,S,,,,0.0,,,,,100% Overall probable correctness,38.001931,-122.12814499999999,S,,R,U,** Street-Level Rooftop **,06013,646114.0,6013319000.0,60133190003.0,646114.0,2020/08/24 16,57,41+00,160178127,0500000US06013,"Contra Costa County, California",134749,2097,34047,1389,25.266977862544433,06013
