rowid,﻿X,Y,OBJECTID,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL,PHAS_DESIGNATION,HA_LOW_RENT_SIZE_CATEGORY,SECTION8_UNITS_CNT,HA_SECTION_8_SIZE_CATEGORY,HA_COMBINED_SIZE_CATEGORY,HA_FYE,HA_PROGRAM_TYPE,TOTAL_UNITS,TOTAL_DWELLING_UNITS,ACC_UNITS,PH_OCCUPIED,SECTION8_OCCUPIED,TOTAL_OCCUPIED,PCT_OCCUPIED,REGULAR_VACANT,PHA_TOTAL_UNITS,NUMBER_REPORTED,PCT_REPORTED,OPFUND_AMNT,OPFUND_AMNT_PREV_YR,CAPFUND_AMNT,CAPFUND_AMNT_PREV_YR,VCHR_AMNT,VCHR_AMNT_PREV_YR,ROSS_AMNT,FSS_AMNT,SPENDING_PER_MONTH,SPENDING_PER_MONTH_PREV_YR,CHLDRN_MBR_CNT,ELDLY_PRCNT,PCT_DISABLED_LT62_ALL,PCT_LT80_MEDIAN,MEDIAN_INC_AMNT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,DPVACT,DPVNOST,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,CBSA,CBSA_NM,NECTA,NECTA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PZRC,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,UGLG_KEY,LAST_UPDT_DTTM,ANNL_EXPNS_AMNT,ANNL_EXPNS_AMNT_PREV_YR,
12,-67.1165,18.3919,12,RQ010,MUNICIPALITY OF MOCA,7878776040,7878773560,maviles.federales@gmail.com,7878776040,,maviles.federales@gmail.com,,,67,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,64,64,95.52,0,67,71,100,0,0,0,0,282897,295907,0,0,448,456,80,5.35,2.14,100,2808,72,Moca,099,420200,,,,,Moca,99,53850,Moca,53807,Moca zona urbana (part),U1,,9999,,10380,"Aguadilla-Isabela, PR Metropolitan Statistical Area",99999,,1,0,7298,0300,,,,,MOCA,PR,00676,,,00676,,,,,,,S,,,,,S,Street not found,18.3919,-67.1165,5,S,T,U,**  Centroid Lat/Long   **,72099,7253807,72099420200,,72099,2020/08/24 16,57,41+00,344927
13,-67.2457,18.3395,13,RQ067,MUNICIPALITY OF RINCON,7878232180,7878231100,clopezalcalde@rincon.gov.pr,7878232180,7878233240,clopezalcalde@rincon.gov.pr,,,34,VERY SMALL (0-49),VERY SMALL (0-49),6/30,Section 8,0,0,0,0,31,31,91.17,0,34,28,90.33,0,0,0,0,145512,140542,0,0,343,356,22,7.35,1.47,100,1800,72,Rincon,117,959500,,,,,Rincon,117,69631,Rincon,69588,Rincón zona urbana (part),U1,,9999,,10380,"Aguadilla-Isabela, PR Metropolitan Statistical Area",99999,,1,0,7298,0354,,,,,RINCON,PR,00677,,,00677,,,,,,,H,,,,,H,House # not found on this street,18.3395,-67.2457,5,S,T,U,**  Centroid Lat/Long   **,72117,7269588,72117959500,,72117,2020/08/24 16,57,41+00,136537
14,-66.938674,18.472861,14,RQ031,The Municipality of Quebradillas,7878952840,7878957734,seccion8@quebradillas.pr.gov,7878952840,,seccion8@quebradillas.pr.gov,,,141,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,58,58,41.13,0,141,57,98.28,0,0,0,0,305392,291383,0,0,352,371,71,3.57,4.76,94.74,4845,72,Quebradillas,115,330200,2,2006,,,Quebradillas,115,68083,Quebradillas,68040,Quebradillas zona urbana (part),U1,,9999,,11640,"Arecibo, PR Metropolitan Statistical Area",99999,,1,0,7298,0348,N,,151 Calle Socorro,Paseo Linares,Quebradillas,PR,00678,1829,,00678,51,3,00678182951,S,,,,1,,,,,90% Overall probable correctness,18.472861,-66.938674,S,,R,U,** Street-Level Rooftop **,72115,7268040,72115330200,721153302002,72115,2020/08/24 16,57,41+00,249091
15,-66.0053,18.0167,15,RQ057,MUNICIPALITY OF PATILLAS,7878390601,7878394766,grampersadseccion8@gmail.com,7878394120,,grampersadseccion8@gmail.com,,,83,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,66,66,79.52,0,83,67,100,0,0,0,0,292143,287183,0,0,384,332,74,4.14,1.18,97.01,3228,72,Patillas,109,290200,,,,,Patillas,109,60515,Patillas,58516,Palmas comunidad (part),U1,,9999,,25020,"Guayama, PR Metropolitan Statistical Area",99999,,1,0,7298,,,,,,PATILLAS,PR,00723,,,00723,,,,,,,S,,,,,S,Street not found,18.0167,-66.0053,5,S,T,U,**  Centroid Lat/Long   **,72109,7258516,72109290200,,,2020/08/24 16,57,41+00,322243
16,-66.0348,18.2342,16,RQ007,MUNICIPALITY OF CAGUAS,7876538833,7877452250,lserrano@caguas.gov.pr,7877448833,7877452250,ccruz@caguas.gov.pr,,,1325,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",6/30,Section 8,0,0,0,0,1286,1286,97.05,0,1325,1239,96.35,0,0,0,0,8001173,7786881,0,0,490,508,1080,10.67,4.41,98.79,3120,72,Caguas,025,201000,,,,,Caguas,25,10377,Caguas,10334,Caguas zona urbana (part),U1,,9999,,41980,"San Juan-Bayamsn-Caguas, PR Metropolitan Statistical Area",99999,,1,0,7298,0084,,,,,CAGUAS,PR,00725,,,00725,,,,,,,H,,,,,H,House # not found on this street,18.2342,-66.0348,5,S,T,U,**  Centroid Lat/Long   **,72025,7210334,72025201000,,72025,2020/08/24 16,57,41+00,7793896
17,-65.9047,18.3878,17,RQ075,MUNICIPALITY OF CANOVANAS,7878763480,7872564305,hudcanovanas@yahoo.com,7878762328,7872567269,hudcanovanas@yahoo.com,,,34,VERY SMALL (0-49),VERY SMALL (0-49),6/30,Section 8,0,0,0,0,29,29,85.3,0,34,35,100,0,0,0,0,201775,210051,0,0,719,583,46,1.96,7.84,100,4500,72,Canovanas,029,100200,,,,,Canovanas,29,12871,Canovanas,12828,Canóvanas zona urbana (part),U1,,9999,,41980,"San Juan-Bayamsn-Caguas, PR Metropolitan Statistical Area",99999,,1,0,7298,,,,,,CANOVANAS,PR,00729,,,00729,4,,,,,,H,,,,,H,House # not found on this street,18.3878,-65.9047,5,S,T,U,**  Centroid Lat/Long   **,72029,7212828,72029100200,,72029,2020/08/24 16,57,41+00,223782
18,-66.6162,18.0216,18,RQ008,MUNICIPALITY OF PONCE,7878409200,7878410285,seccion8ponce@ponce.pr.gov,7878409200,7878410140,marial.torres@ponce.pr.gov,,,1608,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",6/30,Section 8,0,0,0,0,1473,1473,93.58,0,1574,1303,88.46,0,0,0,0,8613058,8649250,0,0,461,484,1284,7.65,4.8,95.55,3096,72,Ponce,113,070202,,,,,Ponce,113,80080,Sexto,63820,Ponce zona urbana (part),U1,,9999,,38660,"Ponce, PR Metropolitan Statistical Area",99999,,1,0,7298,0342,,,,,PONCE,PR,00730,,,00730,,,,,,,H,,,,,H,House # not found on this street,18.0216,-66.6162,5,S,T,U,**  Centroid Lat/Long   **,72113,7263820,72113070202,,72113,2020/08/24 16,57,41+00,8935613
19,-65.6439,18.2667,19,RQ070,MUNICIPALITY OF CEIBA,7878853220,7878855596,federalesceiba@gmail.com,7878852180,7878855137,alcaldia@ceiba-pr.com,,,41,VERY SMALL (0-49),VERY SMALL (0-49),6/30,Section 8,0,0,0,0,41,41,100,0,41,39,95.12,0,0,0,0,190091,205718,0,0,460,523,46,5.77,4.81,100,3600,72,Ceiba,037,160201,2,,,,Ceiba,37,48260,Machos,15924,Ceiba zona urbana (part),U1,,9999,,41980,"San Juan-Bayamsn-Caguas, PR Metropolitan Statistical Area",99999,,1,0,7298,0114,Y,,PO Box 224,,Ceiba,PR,00735,0224,,00735,24,1,00735022424,P,,,,0,,,,,100% Overall probable correctness,18.2667,-65.6439,9,S,B,U,**  Centroid Lat/Long   **,72037,7215924,72037160201,720371602012,72037,2020/08/24 16,57,41+00,226023
20,-66.1645,18.1077,20,RQ018,MUNICIPALITY OF CAYEY,7872630410,7872635916,programfedcayey@yahoo.com,7877383211,,programfedcayey@yahoo.com,,,239,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,217,217,90.8,0,239,209,96.31,0,0,0,0,1039671,1047290,0,0,422,421,145,13.57,4.18,98.56,2610,72,Cayey,035,260600,,,,,Cayey,35,15537,Cayey,,,,,9999,,41980,"San Juan-Bayamsn-Caguas, PR Metropolitan Statistical Area",99999,,1,0,7298,,,,,,CAYEY,PR,00737,,P,,,,,,,,S,,,,,S,Street not found,18.1077,-66.1645,5,Z,T,,**  Centroid Lat/Long   **,72035,,72035260600,,,2020/08/24 16,57,41+00,1097464
21,-65.6511,18.3238,21,RQ036,MUNICIPALITY OF FAJARDO,7878602727,,mcosme@fajardopr.org,,,,,,109,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,71,71,65.14,0,109,84,100,0,0,0,0,448893,487497,0,0,629,627,93,3.86,3,98.81,3921,72,Fajardo,053,150302,1,,,,Fajardo,53,28007,Fajardo,27964,Fajardo zona urbana (part),U1,,9999,,41980,"San Juan-Bayamsn-Caguas, PR Metropolitan Statistical Area",99999,,1,0,7298,0162,Y,,12 Calle Dr Lopez W,,Fajardo,PR,00738,4636,,00738,12,0,00738463612,S,,,,1,N,,,,90% Overall probable correctness,18.3238,-65.6511,9,S,B,U,**  Centroid Lat/Long   **,72053,7227964,72053150302,720531503021,72053,2020/08/24 16,57,41+00,511323
22,-67.1434,18.1899,22,RQ009,MUNICIPALITY OF MAYAGUEZ,7878340379,7872654940,vivienda@mayaguezpr.gov,7878340379,7872654940,vivienda@mayaguezpr.gov,,,842,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Section 8,0,0,0,0,806,806,95.72,0,842,772,95.79,0,0,0,0,3689674,3613756,0,0,428,415,614,11.86,3.92,98.45,3048,72,Mayaguez,097,081300,,,,,Mayaguez,97,52474,Mayaguez,52431,Mayagüez zona urbana (part),U1,,9999,,32420,"Mayagüez, PR Metropolitan Statistical Area",99999,,1,0,7298,0294,,,,,MAYAGUEZ,PR,00680,,,00680,,,,,,,S,,,,,S,Street not found,18.1899,-67.1434,5,S,T,U,**  Centroid Lat/Long   **,72097,7252431,72097081300,,72097,2020/08/24 16,57,41+00,4009524
23,-67.047,18.0905,23,RQ030,MUNICIPALITY OF SAN GERMAN,7878923500,7878926757,San_german_sec8@hotmail.com,7878923500,7878921114,san_german_sec8@hotmail.com,,,88,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,84,84,95.46,0,88,99,100,0,0,0,0,364935,355756,0,0,467,456,95,9.82,6.91,100,2544,72,San German,125,840500,,,,,San German,125,76210,San German,76167,San Germán zona urbana (part),U1,,9999,,41900,"San German, PR Metropolitan Statistical Area",99999,,1,0,7298,0372,,,,,SAN GERMAN,PR,00683,,,00683,36,,,,,,S,,,,,S,Street not found,18.0905,-67.047,5,S,T,U,**  Centroid Lat/Long   **,72125,7276167,72125840500,,72125,2020/08/24 16,57,41+00,465559
24,-66.9873,18.338,24,RQ026,MUNICIPALITY OF SAN SEBASTIAN,7872809045,7878963645,section8mss@gmail.com,7878962300,7878965300,section8mss@gmail.com,,,139,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,138,138,99.28,0,139,154,100,0,0,0,0,580364,574245,0,0,471,423,60,16.23,8.77,100,1638,72,San Sebastian,131,009200,,,,,San Sebastian,131,4486,Bahomamey,77500,San Sebastián zona urbana (part),U1,,9999,,10380,"Aguadilla-Isabela, PR Metropolitan Statistical Area",99999,,1,0,7298,0390,,,,,SAN SEBASTIAN,PR,00685,,,00685,,,,,,,H,,,,,H,House # not found on this street,18.338,-66.9873,5,S,T,U,**  Centroid Lat/Long   **,72131,7277500,72131009200,,72131,2020/08/24 16,57,41+00,705716
25,-66.408253,18.326011,25,RQ024,MUNICIPALITY OF MOROVIS,7878622155,7878623984,federales@morovis.pr.gov,7878622155,7878622421,tualcaldesamorovis@gmail.com,,,53,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,47,47,88.68,0,53,52,100,0,0,0,0,276453,259626,0,0,566,540,58,7.64,3.47,100,1230,72,Morovis,101,955500,1,1035,,,Morovis,101,55140,Morovis,55097,Morovis zona urbana (part),U1,,7440,"San Juan-Bayamon, PR PMSA",41980,"San Juan-Bayamsn-Caguas, PR Metropolitan Statistical Area",99999,,1,0,7298,0306,D,,4 Calle Del Carmen,,Morovis,PR,00687,3314,,00687,99,0,00687331499,H,1SUD,,,0,,,N,,100% Overall probable correctness,18.326011,-66.408253,S,,R,U,** Street-Level Rooftop **,72101,7255097,72101955500,721019555001,72101,2020/08/24 16,57,41+00,304377
26,-66.330077,18.382949,26,RQ056,MUNICIPALITY OF VEGA ALTA,7878835900,7872703449,Seccion8@vegaalta.pr.gov,7878835900,,Seccion8@vegaalta.pr.gov,,,126,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,113,113,89.68,0,126,115,100,0,0,0,0,697071,639653,0,0,702,636,119,4.03,18.46,99.13,2568,72,Vega Alta,143,550601,3,3001,,,Vega Alta,143,51356,Maricao,99999,Remainder of Maricao barrio,99,,7440,"San Juan-Bayamon, PR PMSA",41980,"San Juan-Bayamsn-Caguas, PR Metropolitan Statistical Area",99999,,1,0,7298,,N,,8 Carr 2,,Vega Alta,PR,00692,6064,,00692,8,9,00692606408,S,,,,1,,,A,,90% Overall probable correctness,18.382949,-66.330077,S,,R,U,** Street-Level Rooftop **,72143,7299999,72143550601,721435506013,72143,2020/08/24 16,57,41+00,862836
27,-66.3987,18.4358,27,RQ032,MUNICIPALITY OF VEGA BAJA,7878552500,,vivienda@vegabaja.gov.pr,7878551102,7878558987,mrosado@vegabaja.gov.pr,,,277,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,272,272,98.19,0,277,277,100,0,0,0,0,1607979,1534249,0,0,544,459,331,2.92,3.93,98.92,1300,72,Vega Baja,145,560701,,,,,Vega Baja,145,1734,Algarrobo,,,,,9999,,41980,"San Juan-Bayamsn-Caguas, PR Metropolitan Statistical Area",99999,,1,0,7298,,,,,,VEGA BAJA,PR,00694,,P,,,,,,,,S,,,,,S,Street not found,18.4358,-66.3987,5,Z,T,,**  Centroid Lat/Long   **,72145,,72145560701,,,2020/08/24 16,57,41+00,1448252
28,,,28,RQ015,MUNICIPIO DE DORADO,7877961230,7872781236,mabel.molina@dorado2025.com,7877961230,7877963660,mabel.molina@dorado2025.com,,,277,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,269,269,97.11,0,277,246,91.45,0,0,0,0,1720025,1701559,0,0,537,542,231,8.76,6.14,99.19,4587,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorado,PR,,,,,76,,,,,,S,,,,,S,Street not found,,,,Z,,,**  No Lat/Longs gen'd  **,,,,,,2020/08/24 16,57,41+00,1769586
29,-66.8498,18.0367,29,RQ083,MUNICIPALITY OF YAUCO,7878561340,,seccion8yauco@yahoo.com,7878561340,,seccion8yauco@yahoo.com,,,95,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,92,92,96.84,0,95,93,100,0,0,0,0,416546,423121,0,0,397,438,76,7.76,11.43,100,3000,72,Yauco,153,750400,,,,,Yauco,153,81155,Susua Baja,88035,Yauco zona urbana (part),U1,,9999,,49500,"Yauco, PR Metropolitan Statistical Area",99999,,1,0,7298,0456,,,,,YAUCO,PR,00698,,,00698,,,,,,,H,,,,,H,House # not found on this street,18.0367,-66.8498,5,S,T,U,**  Centroid Lat/Long   **,72153,7288035,72153750400,,72153,2020/08/24 16,57,41+00,478179
