,notice_title,URL,Date of Notice, Event Number,Rapid Response Specialist,Reason Stated for Filing,Company,County,WDB Name, Region,Contact,Phone,Business Type,Number Affected,Total Employees,Layoff Date,Closing Date,Reason for Dislocation,FEIN NUM,Union,Classification,Amended
240,Restaurant Associates (at American Museum of Natural History) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8953, 7/29/2020, 2020-0090, Stuart Goldberg, Plant Layoff/Temporary Plant Closing,"Restaurant Associates (at American Museum of Natural History) 200 Central Park West New York, NY 10024", New York , NEW YORK CITY , New York City," Carol Farrell, Regional Director, Restaurant Associates", (646) 372-0588, Dining Management, 66, 66, Employees furloughed on 3/12/2020 will become permanent layoffs on 8/30/2020 with return and re-opening undetermined at this time., 3/12/2020, Unforeseeable business circumstances prompted by COVID-19., 13-1772253," UNITE HERE, Local 100", Plant Layoff/Temporary Plant Closing,
241,ViacomCBS Inc. (and its subsidiaries) - New York City Region / Long Island Region,https://labor.ny.gov/app/warn/details.asp?id=8945, 1/15/2020                              Amendment: 7/29/2020, 2019-0232, Stuart Goldberg and Frederick Danks, Plant Layoff,      ViacomCBS Inc. (and its subsidiaries), New York , NEW YORK CITY , Long Island," Patrick Bynum, SVP, Human Resources", (310) 752-8005, Viacom operates as an entertainment media company that offers television programs and motion pictures., 686 (total affected employees for all sites), -----, This update will impact an additional 14 employees at several ViacomCBS Inc. entity sites in New York City. Employee separations began on 4/15/2020 and will continue until 12/31/2020. 10/30/2020 (13); 12/31/2020 (1), -----, Economic, 04-2949533, The employees are not represented by a union., Plant Layoff,                             Amendment: 7/29/2020
242,"MSG Sports, LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8950, 8/4/2020, 2020-0094, Stuart Goldberg, Plant Layoff,"MSG Sports, LLC 2 Penn Plaza New York, NY 10121", New York , NEW YORK CITY , New York City," Lainie Doherty, SVP People Practices", (212) 456-6127, Sports Entertainment, 53, ----, 8/7/2020, ----, Unforeseeable business circumstances prompted by COVID-19, 38-3972560, The employees are not represented by a union., Plant Layoff,
243,"Compass Group USA, Inc. dba Chartwells (at SUNY College at Old Westbury) - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=8937, 7/27/2020, 2020-0081, Frederick Danks, Temporary Plant Closing/Plant Layoff,"Compass Group USA, Inc. dba Chartwells (at SUNY College at Old Westbury) 223 Score Hill Road Campus Center, H-3 l0 Old Westbury, NY 11568", Nassau , HEMPSTEAD , Long Island," Michael Gulczynski, District Manager", (718) 473-7038, Food services, 82, 82, Eighty-two (82) employees previously furloughed on 3/16/2020 will be permanently separated effective 7/27/2020., 3/17/2020, Unforeseeable business circumstances prompted by COVID-19., 56-1874931, Local 1102 RWDSU-UFCW, Temporary Plant Closing/Plant Layoff,
244,Guest Services (at Bear Mountain Inn) - Mid-Hudson Region,https://labor.ny.gov/app/warn/details.asp?id=8939, 7/23/2020, 2020-0078, Elias Flores, Plant Layoff,"Guest Services (at Bear Mountain Inn) 3020 Seven Lakes Drive Tomkins Cove, NY 10986", Rockland , ROCKLAND , Mid-Hudson," Danielle Verderosa, Vice President of Human Resources", (703) 849-9311, Premier hospitality management, 40, ----, Furloughs that began on 3/28/2020 for 40 employees will become permanent effective 9/25/2020., ----, Unforeseeable business circumstances prompted by COVID-19, ----, The employees are not represented by a union., Plant Layoff,
245,TGI Office Automation - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8947, 7/31/2020, 2020-0083, Stuart Goldberg, Temporary Plant Layoff,"      TGI Office Automation 120 3rd Street Brooklyn, NY 11231", Kings , NEW YORK CITY , New York City," Marissa Bontempo, Human Resources Manager", (718) 237-0060 Ext: 1005, Office equipment supplier, 84, ----, Layoffs that began on 3/25/2020 will continue for an indefinite period and/or may become permanent., ----, Unforeseeable business circumstances prompted by COVID-19.,  11-2202153, The employees are not represented by a union., Temporary Plant Layoff,
246,"MSG Entertainment Group, LLC and its affiliate, Radio City Productions - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8952, 8/4/2020, 2020-0093, Stuart Goldberg, Plant Layoff,"MSG Entertainment Group, LLC and its affiliate, Radio City Productions 6 NYC locations", New York , NEW YORK CITY , New York City," Lainie Doherty, SVP People Practices", (212) 465-6127, Convention Center, 348, ----, 8/7/2020, ----, Unforeseeable business circumstances prompted by COVID-19., 36-4811028, The employees are not represented by a union., Plant Layoff,
247,"Allpoints Trucking and Courier Service, Inc. dba Thruway Direct - Finger Lakes Region",https://labor.ny.gov/app/warn/details.asp?id=8949, 8/1/2020, 2020-0089, Regenna Darrah, Plant Closing,"      Allpoints Trucking and Courier Service, Inc. dba Thruway Direct 330 Clay Road Rochester, NY 14623", Monroe , MONROE , Finger Lakes," Esteban de Leon, President", (706) 870-0665, Trucking and Courier Services, 140, 140, 10/30/2020, 10/30/2020, Non-work order renewal, 27-1797502, The employees are not represented by a union., Plant Closing,
248,"Compass Group USA, Inc. dba Chartwells (at St. John's University) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8942, 7/27/2020, 2020-0077, Stuart Goldberg, Temporary Plant Closing/Plant Layoff,"      Compass Group USA, Inc. dba Chartwells (at St. John's University) 8000 Utopia Pkwy Jamaica, NY 11439", New York , NEW YORK CITY , New York City," Michael Gulczynski, District Manager", (718) 473-7038, Food Services, 46, 46, Forty -six (46) employees previously furloughed on 3/16/2020 will be permanently separated effective 7/27/2020., 3/16/2020, Unforeseeable business circumstances prompted by COVID-19., ----,  Local 100 Unite Here, Temporary Plant Closing/Plant Layoff,
249,The Courtyard by Marriott JFK - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8955, 8/5/2020, 2020-0092, Stuart Goldberg, Temporary Plant Layoff,"The Courtyard by Marriott JFK 145-11 North Conduit Avenue Jamaica, NY 11436", Queens , NEW YORK CITY , New York City," Roman Babek, General Manager", (718) 848-2121, Hotel, 47, ----, The temporary layoffs which began on 3/26/2020 are expected to last for several months., ----, Unforeseeable business circumstances prompted by COVID-19., 13-3984217, The employees are not represented by a union., Temporary Plant Layoff,
250,Republic Airways Inc. - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8938, 7/30/2020, 2020-0082, Stuart Goldberg, Temporary Plant Layoff,"Republic Airways Inc. LaGuardia Airport, Ditmars Boulevard and 94th Street Flushing, NY 11372", Queens , NEW YORK CITY , New York City," Heather Stone, Vice President Human Resources", (317) 484-6000, Regional airline subsidiary of Republic Airways Holdings, 234 (total employees affected at both sites), ----," The furloughs, beginning on 10/1/2020, are expected to be temporary.", ----, Unforeseeable business circumstances prompted by COVID-19., 06-1562737," International Brotherhood of Teamsters , Airline Division", Temporary Plant Layoff,
251,"Sterling, Inc. (122 Fifth Avenue New York) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8936, 7/30/2020, 2020-0075, Stuart Goldberg, Plant Layoff,"Sterling, Inc. (122 Fifth Avenue New York) 122 Fifth Avenue New York, NY 10001", New York , NEW YORK CITY , New York City," Michelle Smith, VP, Human Resources", (212) 633-3280, Jeweler, 38, ----, 10/31/2020, ----, Unforeseeable business circumstances prompted by COVID-19., ----, The employees are not represented by a union., Plant Layoff,
252,Hilton Westchester - Mid-Hudson Region,https://labor.ny.gov/app/warn/details.asp?id=8923, 7/7/2020                                       Amendment: 7/30/2020, 2020-0014, Elias Flores, Plant Closing,"      Hilton Westchester 699 Westchester Avenue Rye Brook, NY 10573", Westchester , WESTCH/PTNM , Mid-Hudson Region," Robyn Nowlin, Director of Human Resources", (914) 934-2507, Hotel, 214, 214, The closing date has been postponed and the permanent layoffs will be postponed from the 14-day period starting on 7/20/2020 to the 14-day period starting on 8/17/2020., 8/17/2020, Unforeseeable business circumstances prompted by COVID-19., 81-4487654," New York Hotel & Motel Trades Council, AFL-CIO, Local 6", Plant Closing,                                      Amendment: 7/30/2020
253,"Restaurant Associates (1 World Trade Center, NYC) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8932, 7/13/2020, 2020-0070, Stuart Goldberg, Temporary Plant Closing/Plant Layoff,"      Restaurant Associates (1 World Trade Center, NYC) 1 World Trade Center New York, NY 10007", New York , NEW YORK CITY , New York City," Gaetano Gatti, General Manager Dining Services", (917) 565-4818, Food services, 26, ----, Furloughs began 3/13/2020 and temporary plant closing effective 3/13/2020. The date of possible re-opening is unknown. Permanent layoffs are effective 10/12/2020., 3/13/2020, Unforeseeable business circumstances prompted by COVID-19, 56-1874931, The employees are not represented by a union., Temporary Plant Closing/Plant Layoff,
254,Airport Management Services and Hudson Group (at LaGuardia Airport) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8925, 7/14/2020, 2020-0064, Stuart Goldberg, Plant Layoff,"      Airport Management Services and Hudson Group (at LaGuardia Airport)La Guardia Airport, Ditmars Boulevard & 94th St. Queens, NY 11371", Queens , NEW YORK CITY , New York City," Roger Fordyce, Chief Executive Officer", (201) 528-2477, Airport Management Services, 40, ----, 7/31/2020, ----, Unforeseeable business circumstances prompted by COVID-19., ----, UniteHere Local 100, Plant Layoff,
255,"NYC & Company, Inc. - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8914, 4/15/2020                                      Amendment: 7/27/2020, 2019-1390, Stuart Goldberg, Temporary Plant Layoff,"      NYC & Company, Inc. 810 Seventh Avenue, 3rd Floor New York, NY 10019", New York , NEW YORK CITY , New York City," Richard Lovatt, CFO", (212) 484-1230, Travel and Tourism, 77, -----," Of the 77 employees whose furloughs began on April 30, 2020, 59 employees will become permanent separations effective July 31, 2020.", -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,                                     Amendment: 7/27/2020
256,Slip Anchor LP dba Augustine Restaurant - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8933, 7/31/2020, 2020-0072, Stuart Goldberg, Plant Closing,"      Slip Anchor LP dba Augustine Restaurant 5 Beekman Street New York, NY 10038", New York , NEW YORK CITY , New York City," Roberta Delice, Company:Liaison", (917) 939-9977, Restaurant, 86, 86, Temporary layoffs that began on 3/16/2020 will now be permanent effective 7/31/2020., 7/31/2020, Unforeseeable business circumstances prompted by COVID-19., ----, The employees are not represented by a union., Plant Closing,
257,"Crosstex International, Inc. (Cantel) (Ranick Rd) - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=8919, 2/26/2020, 2019-1972, Frederick Danks, Plant Layoff,"      Crosstex International, Inc. (Cantel) (Ranick Rd)10 Ranick Road Hauppauge, NY 11788", Suffolk , SUFFOLK , Long Island," Maureen Cole, VP-Global Human Resources", (847) 257-4740, Dental equipment distribution and manufacturing, 2, ----, Permanent layoffs effective 5/30/2020., ----," Restructuring which will involve the relocation of certain operations from Crosstex’s Long Island location to Rush, NY.", 11-3048770, The employees are not represented by a union., Plant Layoff,
258,JCPenney (Store #1738) - Long Island Region,https://labor.ny.gov/app/warn/details.asp?id=8921, 1/16/2020                              Amendment: 7/28/2020, 2019-0237, Frederick Danks, Plant Closing,"      JCPenney (Store #1738)1051 Green Acres Mall Valley Stream, NY 11581", Nassau , HEMPSTEAD , Long Island," Michelle E. Kelly, General Manager", (516) 561-6700 Ext: 200, Retail Store, 104, 126, The store permanently closed to the public on 7/20/2020. Most associates (97) were separated between 7/9/2020 and 7/23/2020. Seven (7) remaining associates assisting with the final closing duties will be separated between 7/29/2020 and 8/12/2020., 7/20/2020, Economic, 13-5583779, The employees are not represented by a union., Plant Closing,                             Amendment: 7/28/2020
259,The Kimberly Hotel - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8918, 4/7/2020                                       Amendment: 7/28/2020, 2019-1226, Stuart Goldberg, Temporary Plant Layoff/Plant Layoff,"The Kimberly Hotel145 E 50th StreetNew York, NY 10022", New York , NEW YORK CITY , New York City," Mujo Perezic, VP/General Manager", (212) 702-1612, Hotel, 83, ------," Furloughs began on 3/23/2020 and of the 83 employees that were furloughed effective 3/23/2020, 41 will be permanently separated effective 10/28/2020.", ------, Unforeseeable business circumstances prompted by COVID-19, -----, SEIU Local 32BJ, Temporary Plant Layoff/Plant Layoff,                                      Amendment: 7/28/2020
260,"Strand Books, Inc. (Strand Book Store, NYC) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8931, 7/12/2020, 2020-0071, Stuart Goldberg, Temporary Plant Closing/Plant Layoff,"      Strand Books, Inc. (Strand Book Store, NYC) 828 Broadway New York, NY 10003", New York/Kings , NEW YORK CITY , New York City," Constance Johnson-Fox, HR Manager", (212) 660-6648, Book Store and Warehouse, 149, ----," Furloughs began 3/22/2020 and will exceed more than six months for 133 employees. On 7/12/2020, 16 employees were permanently laid off.", 3/13/2020, Unforeseeable business circumstances prompted by COVID-19, ----, United Auto Workers (UAW) Local 2179, Temporary Plant Closing/Plant Layoff,
261,"OSM Aviation, Inc. - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8924, 3/18/2020                              Amendment: 7/28/2020, 2019-0511, Stuart Goldberg, Temporary Plant Layoff/Plant Layoff,"      OSM Aviation, Inc.JFK Terminal 1, JFK International AirportQueens, NY 11430", New York , NEW YORK CITY , New York City," Vanesa Collado, Senior HR Advisor", (954) 257-3273, Airport Support, 223, -----," Furloughs from 6/20/2020 to 7/31/2020 will be extended to 9/15/2020 except for two employees, who will be permanently separated effective 8/1/2020.", -----, Unforeseeable business circumstances prompted by COVID-19.FEIN NUM: 32-0419760,, Association of Flight Attendants - CWA, Temporary Plant Layoff/Plant Layoff,                             Amendment: 7/28/2020
262,Chartwells Higher Education (at The New School) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8920, 7/24/2020, 2020-0062, Stuart Goldberg, Temporary Plant Closing,"      Chartwells Higher Education (at The New School)66 W. 12th St.New York, NY 10011", New York , NEW YORK CITY , New York City," Kate Forst, HR Business Partner", (504) 296-2546, Food service contract, 32, 32," The New School decided to take their classes online for the Fall, therefore, there is no need for food services. Temporary layoffs are effective 7/27/2020 and are expected to last several months.", 7/27/2020, Unforeseeable business circumstances prompted by COVID-19, 56-1874931, UNITE HERE LOCAL I 00, Temporary Plant Closing,
263,30 Park Place Hotel LLC - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8917, 3/19/2020                                      Amendment: 7/23/2020, 2019-0594, Stuart Goldberg, Temporary Plant Closing,"30 Park Place Hotel LLC 27 Barclay St. New York, NY 10007", New York , NEW YORK CITY , New York City," Karen Campbell, Director People & Culture", (347) 835-1033, Hotel, 204, -----, Furloughs that began on or about 3/30/2020 will last for an as yet undetermined number of months., 3/30/2020, Unforeseeable business circumstances prompted by COVID-19, -----," New York Hotel & Motel Trades Council, AFL-CIO, affiliated with UNITE HERE", Temporary Plant Closing,                                     Amendment: 7/23/2020
264,Systemize Logistics - Finger Lakes Region,https://labor.ny.gov/app/warn/details.asp?id=8930, 7/24/2020, 2020-0069, Regenna Darrah, Plant Closing,"Systemize Logistics 330 Clay Road Rochester, NY 14623", Monroe , MONROE , Finger Lakes," Bette DeRoma, HR Manager", (781) 770-4051, Amazon Delivery Service Partner, 68, 68, 10/24/2020, 10/24/2020, Non-renewal of contract with Amazon to provide delivery services., 82-2573662, The employees are not represented by a union., Plant Closing,
265,Airport Management Services and Hudson Group (at Port Authority of New York and New Jersey) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8927, 7/14/2020, 2020-0066, Stuart Goldberg, Plant Layoff,"      Airport Management Services and Hudson Group (at Port Authority of New York and New Jersey)625 8th Ave. New York, NY 10018", New York , NEW YORK CITY , New York City," Roger Fordyce, Chief Executive Officer", (201) 528-2477, Airport Management Services, 68, ----, 7/31/2020, ----, Unforeseeable business circumstances prompted by COVID-19., ----, NewsGuild of New York Local 31003, Plant Layoff,
266,IS Chrystie Management LLC dba Public Hotel - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8934, 7/28/2020, 2020-0073, Stuart Goldberg, Temporary and Permanent Layoff,"      IS Chrystie Management LLC dba Public Hotel 215 Chrystie Street New York, NY 10002", New York , NEW YORK CITY , New York City," Scott Root, Executive VP", (917) 856-1320, Hotel, 105, ----, Separations on 3/13/2020 will affect 54 employees and these temporary layoffs will exceed six months. Separations for 51 employees will become permanent effective 9/13/2020., ----, Unforeseeable business circumstances prompted by COVID-19., 90-0917908," New York Hotel & Motel Trades Council, AFL-CIO", Temporary and Permanent Layoff,
267,Chartwells Higher Education (at Purchase College) - Mid-Hudson Region,https://labor.ny.gov/app/warn/details.asp?id=8922, 7/24/2020, 2020-0063, Elias Flores, Partial Temporary Plant Closing,"      Chartwells Higher Education (at Purchase College)735 Anderson Hill Rd. Purchase, NY 10577", Westchester , WESTCH/PTNM , Mid-Hudson Region," Ian Mungo, Resident District Manager", (914) 251-5999 Ext: 229, Food service contract, 83, 83, Chartwells closed several operations units at Purchase College. Temporary layoffs are effective 7/24/2020 and are expected to last several months., 7/24/2020, Unforeseeable business circumstances prompted by COVID-19, 56-1874931," CSEA, Local 1000 AFSCME, ALF-CIO", Partial Temporary Plant Closing,
268,Airport Management Services and Hudson Group (at Pennsylvania Station) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8929, 7/14/2020, 2020-0068, Stuart Goldberg, Plant Layoff,"      Airport Management Services and Hudson Group (at Pennsylvania Station)8th Ave 31st St.New York, NY 10001", New York , NEW YORK CITY , New York City," Roger Fordyce, Chief Executive Officer", (201) 528-2477, Airport Management Services, 122, ----, 7/31/2020, ----, Unforeseeable business circumstances prompted by COVID-19., ----, NewsGuild of New York Local 31003, Plant Layoff,
269,Centric Brands Inc. (Corporate Office and other satellite offices in New York City) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8913, 5/15/2020                                 Amendment: 6/24/2020, 2019-1664, Stuart Goldberg, Plant Layoff,"      Centric Brands Inc. (Corporate Office and other satellite offices in New York City)350 Fifth Avenue New York, NY 10118", New York , NEW YORK CITY , New York City," Lori Nembirkow, Senior Vice President, Legal & Compliance", (646) 839-7470," Design, produce and manage kid's wear and women's and men's accessories and apparel.", 141, -----, One (1) additional employee permanently separated effective 6/23/2020., -----, Unforeseeable business circumstances prompted by COVID-19., 11-2928178, The employees are not represented by a union., Plant Layoff,                                Amendment: 6/24/2020
270,Spectronics Corporation - Long Island Region,https://labor.ny.gov/app/warn/details.asp?id=8912, 6/25/2020                              Amendment: 7/17/2020, 2019-1937, Frederick Danks, Plant Layoff," Spectronics Corporation 956 Brush Hollow Road Westbury, NY 11590", Nassau , HEMPSTEAD , Long Island," Daniel Cooper, Chief Operating Officer", (516) 333-4840, Manufacturing, 45, ----," Twenty-six (26) of the 45 impacted employees have been offered and have accepted employment with Spectro-UV, the company that purchased Spectronics’ Non-Destructive Testing division. Thirteen (13) affected employees’ separation dates have been postponed from 7/17/2020 to 8/7/2020. Six (6) affected employees’ separation dates have been postponed from 7/17/2020 to 9/22/2020.", ----, Sale of Non-Destructive Testing Division, 11-1984545," Local Union 1922, IBEW, AFL-CIO", Plant Layoff,                             Amendment: 7/17/2020
271,"Metropolitan Opera Association, Inc. (Metropolitan Opera House) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8915, 6/1/2020                               Amendment: 7/27/2020, 2019-1747, Stuart Goldberg, Temporary Plant Layoff,"      Metropolitan Opera Association, Inc. (Metropolitan Opera House)30 Lincoln Center New York, NY 10023", New York , NEW YORK CITY , New York City," Jill Boyd, Director of Human Resources/Labor Relations", (212) 870-4523, Theater Company," 2,279", -----, An additional 45 employees have been furloughed effective 5/15/2020. These temporary layoffs are expected to exceed six months., -----, Unforeseeable business circumstances prompted by COVID-19., 13-1624087," Local One, IATSE; Local 764, IATSE; Local 794 IATSE; Local 798, IATSE; Local 817, IBT; Local 829 United Scenic Artists; American Guild of Musical Artists; Local 802, American Federation of Musicians; Directors Guild of America; and Local 32 BJ, SEIU", Temporary Plant Layoff,                              Amendment: 7/27/2020
272,"Airport Management Services and Hudson Group (at Grand Central Station, NYC) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8928, 7/14/2020, 2020-0067, Stuart Goldberg, Plant Layoff,"      Airport Management Services and Hudson Group (at Grand Central Station, NYC)89 East 42nd St. New York, NY 10017", New York , NEW YORK CITY , New York City," Roger Fordyce, Chief Executive Officer", (201) 528-2477, Airport Management Services, 34, ----, 7/31/2020, ----, Unforeseeable business circumstances prompted by COVID-19., ----, NewsGuild of New York Local 31003, Plant Layoff,
273,Airport Management Services and Hudson Group (at John F. Kennedy International Airport) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8926, 7/14/2020, 2020-0065, Stuart Goldberg, Plant Layoff,"      Airport Management Services and Hudson Group (at John F. Kennedy International Airport)John F. Kennedy International Airport Queens, NY 11430", Queens , NEW YORK CITY , New York City," Roger Fordyce, Chief Executive Officer", (201) 528-2477, Airport Management Services, 115, ----, 7/31/2020, ----, Unforeseeable business circumstances prompted by COVID-19., ----, UniteHere Local 100, Plant Layoff,
274,"BBRC, LP dba Bouchon Bakery - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8935, 7/22/2020, 2020-0074, Stuart Goldberg, Plant Closing,"      BBRC, LP dba Bouchon Bakery One Rockefeller Center New York, NY 10019", New York , NEW YORK CITY , New York City," Julie N. Secviar, Director of Human Resources", (707) 754-4192, Bakery, 43, ----, Separations began 3/17/2020 and the temporary layoffs are now permanent., 7/22/2020, Economic, ----, The employees are not represented by a union., Plant Closing,
275,"Maison Kayser, LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8916, 3/19/2020                              Amendment: 7/27/2020, 2019-1553, Stuart Goldberg, Temporary Plant Layoff,"      Maison Kayser, LLC (16 NYC sites)", New York/KIngs , NEW YORK CITY , New York City," Kimberly Colón-Möller, Vice President of Human Resources", (917) 207-0788, Catering, 696 (total number affected for all sites), -----, Layoffs began on 3/14/2020. An additional seven (7) employees have been furloughed beginning 3/12/2020., -----, Unforeseeable business circumstances prompted by COVID-19, 46-3563279, The employees are not represented by a union., Temporary Plant Layoff,                             Amendment: 7/27/2020
276,"H.M.S. Productions, LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8907, 7/24/2020, 2020-0060, Stuart Goldberg, Plant Layoff,"      H.M.S. Productions, LLC 250 W. 39th Street, 18th Floor New York, NY 10018", New York , NEW YORK CITY , New York City," Jean Lewis, CFO", (646) 699-5485, Garment Manufacturer, 51, ----, Furloughs that began in March 2020 for 51 employees became permanent effective 7/31/2020., ----, Unforeseeable business circumstances prompted by COVID-19., 00-3547900, The employees are not represented by a union., Plant Layoff,
277,"Remington Arms Company, LLC - Mohawk Valley Region",https://labor.ny.gov/app/warn/details.asp?id=8911, 7/28/2020, 2020-0061, Michael Clark, Possible Plant Closing/Possible Plant Layoff,"      Remington Arms Company, LLC 14 Hoefler Avenue Ilion, NY 13357", Herkimer , HMO , Mohawk Valley," Emile Buzaid, Associate General Counsel", (256) 327-2413," Small Arms, Ordnance and Ordnance Accessories Manufacturer", 717, 717," Layoffs may occur on 9/29/2020, or within 14 days after that date.", 9/29/2020, Economic, 51-0350935," United Mine Workers of America, Local 717", Possible Plant Closing/Possible Plant Layoff,
278,Lower East Side Tenement Museum - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8910, 7/22/2020, 2020-0059, Stuart Goldberg, Plant Layoff," Lower East Side Tenement Museum 103 Orchard St.New York, NY 10002", New York , NEW YORK CITY , New York City," Anne Brenner, VP, Human Resources", 646) 518-3036, Museum, 76, 61, A total of 76 part-time employees that were furloughed on 3/13/2020 due to the museum’s temporary closing have been permanently separated effective 7/22/2020. There are currently a total of 61 full-time employees on staff. The closing is expected to exceed six months., 3/13/2020, Unforeseeable business circumstances prompted by COVID-19, 13-3475390, UAW Local 2110, Plant Layoff,
279,"Faculty Student Association of State University of New York at Buffalo, Inc., dba Campus Dining and Shops, and UBFSA Services LLC dba Three Pillars Catering - Western Region",https://labor.ny.gov/app/warn/details.asp?id=8909, 7/22/2020, 2020-0058, Michele Taylor, Temporary Plant Closing,"      Faculty Student Association of State University of New York at Buffalo, Inc., dba Campus Dining and Shops, and UBFSA Services LLC dba Three Pillars Catering 146 Fargo Quad Buffalo, NY 14261", Erie , ERIE , Western," Lauren Brantley, Human Resources Director", (716) 645-0381, Catering Services," 1,401", ----, Temporary layoffs began on 3/17/2020 and will extend beyond six months., ----, Unforeseeable business circumstances prompted by COVID-19, 16-6018833," . Civil Service Employees Association, Local 621, AFSCME, AFL-CIO", Temporary Plant Closing,
280,Highland Light Steam Laundry dba White Plains Linen - Mid-Hudson Region,https://labor.ny.gov/app/warn/details.asp?id=8908, 5/18/2020, 2019-1971, Elias Flores, Plant Layoff,"      Highland Light Steam Laundry dba White Plains Linen 4 John Walsh Blvd. Peekskill, NY 10566", Westchester , WESTCH/PTNM , Mid-Hudson," Robert Tompkins, Controller", (914) 502-1510, Linen Rental, 234, ----, Furloughs began week of 3/16/2020. Permanent layoffs for 234 previously furloughed employees became effective 6/30/2020., ----, Unforeseeable business circumstances prompted by COVID-19., 11-2478042," Laundry, Distribution and Food Service Joint Board, Workers United", Plant Layoff,
281,Victoria Home - Mid-Hudson Region,https://labor.ny.gov/app/warn/details.asp?id=8902, 7/23/2020, 2020-0053, Elias Flores, Plant Closing,"Victoria Home 25 N Malcolm Street Ossining, NY 10562", Westchester , WESTCH/PTNM , Mid-Hudson," Catherine Casamento, Human Resources Manager", (914) 941-2450 Ext: 229, Nursing Home, 110, 110, 10/23/2020, 10/23/2020, Economic, 13-5599414, The employees are not represented by a union., Plant Closing,
282,Solomon R. Guggenheim Museum Foundation - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8905, 7/27/2020, 2020-0057, Stuart Goldberg, Temporary Plant Closing,"Solomon R. Guggenheim Museum Foundation 1071 Fifth Avenue New York, NY 10128", New York , NEW YORK CITY , New York City," Sarah Rosen, Director of Human Resources", (212) 423-3525, Museum, 66, 66, Separations began on 3/13/2020 and layoffs are expected to exceed six months., 3/13/2020, Unforeseeable business circumstances prompted by COVID-19, 13-5562233, The employees are not represented by a union., Temporary Plant Closing,
283,New York Health & Racquet Club - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8906, 7/27/2020, 2020-0055, Stuart Goldberg, Plant Closing,New York Health & Racquet Club Five (5) NYC locations, New York , NEW YORK CITY , New York City," Janet Woodfin, Chief Human Resources Officer", (212) 220-0673, Athletic Club, 462, 462," Furloughs began on 3/31/2020. The layoffs were initially expected to be temporary, but all site closings are now considered permanent.", 3/31/2020, Unforeseeable business circumstances prompted by COVID-19., ----, The employees are not represented by a union., Plant Closing,
284,Sheraton LaGuardia East Hotel - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8903, 7/22/2020, 2020-0054, Stuart Goldberg, Temporary Plant Layoff/ Plant Layoff,"Sheraton LaGuardia East Hotel 135-20 39th Avenue Flushing, NY 11354", Queens , NEW YORK CITY , New York City," Maria Garcia, Director of Human Resources", (718) 670-7402, Hotel, 69, -----," Furloughs began on 3/13/2020 and layoffs are expected to last for an as yet undetermined period. Of the 69 affected employees, 39 were permanently separated on 7/31/2020.", -----, Unforeseeable business circumstances prompted by COVID-19, 20-8137205, The employees are not represented by a union., Temporary Plant Layoff/Plant Layoff,
285,Restaurant Associates - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8904, 7/14/2020, 2020-0056, Stuart Goldberg, Temporary Plant Closing,"Restaurant Associates Lincoln Center Plaza New York, NY 10023", New York , NEW YORK CITY , New York City," Adele LeGault, Vice President of Operations, Restaurant Services", (617) 319-6400, Hospitality, 83, 83, Separations began on 3/13/2020 and layoffs are expected to exceed six months., 3/13/2020, Unforeseeable business circumstances prompted by COVID-19, 56-1874931, UNITE HERE Local 100, Temporary Plant Closing,
