Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure,company standardization first pass,Corporate Affiliation,DBA Name,County Orig,Year,Layoff/Closure clean,Population,City 2
03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurants, Inc.",Torrance,Los Angeles County,100.0,Closure Temporary,HOFS HUT RESTAURANTS INC,HOFS HUT RESTAURANTS INC,HOFS HUT RESTAURANTS INC,Los Angeles County,2020,closure temporary,10039107.0,torrance
03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurants, Inc. dba Lucille's Smokehouse Barbque",Long Beach,Los Angeles County,80.0,Closure Temporary,HOFS HUT RESTAURANTS INC DBA LUCILLESSMOKEHOUSE BARBQUE,HOFS HUT RESTAURANTS INC,LUCILLESSMOKEHOUSE BARBQUE,Los Angeles County,2020,closure temporary,10039107.0,long beach
03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurants, Inc. dba Saint & Second",Long Beach,Los Angeles County,85.0,Closure Temporary,HOFS HUT RESTAURANTS INC DBA SAINT  SECOND,HOFS HUT RESTAURANTS INC,SAINT  SECOND,Los Angeles County,2020,closure temporary,10039107.0,long beach
04/19/2020,04/06/2020,07/02/2020,MV Transportation,Los Angeles,Los Angeles County,20.0,Layoff Temporary,MV TRANSPORTATION,MV TRANSPORTATION INC,MV TRANSPORTATION,Los Angeles County,2020,layoff temporary,10039107.0,los angeles
03/23/2020,03/23/2020,07/02/2020,"Hof's Hut Restaurant, Inc.",Los Alamitos,Orange County,56.0,Closure Temporary,HOFS HUT RESTAURANT INC,HOFS HUT RESTAURANTS INC,HOFS HUT RESTAURANT INC,Orange County,2020,closure temporary,3175692.0,los alamitos
03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurant, Inc. dba Lucille's Smokehouse Bar-B-Que.",Orange,Orange County,36.0,Closure Temporary,HOFS HUT RESTAURANT INC DBA LUCILLES SMOKEHOUSE BARBQUE,HOFS HUT RESTAURANTS INC,LUCILLES SMOKEHOUSE BARBQUE,Orange County,2020,closure temporary,3175692.0,orange
04/17/2020,04/17/2020,07/02/2020,"Accredited Debt Relief, Inc.",San Diego,San Diego County,320.0,Layoff Permanent,ACCREDITED DEBT RELIEF INC,ACCREDITED DEBT RELIEF INC,ACCREDITED DEBT RELIEF INC,San Diego County,2020,layoff permanent,3338330.0,san diego
06/16/2020,03/31/2020,07/02/2020,PLAYERS CASINO,Ventura,Ventura County,183.0,Layoff Temporary,PLAYERS CASINO,PLAYERS CASINO,PLAYERS CASINO,Ventura County,2020,layoff temporary,846006.0,ventura
04/20/2020,04/21/2020,07/03/2020,San Joaquin Valley College Inc.,Hanford,Kings County,7.0,Layoff Permanent,SAN JOAQUIN VALLEY COLLEGE INC,SAN JOAQUIN VALLEY COLLEGE INC,SAN JOAQUIN VALLEY COLLEGE INC,Kings County,2020,layoff permanent,152940.0,hanford
04/16/2020,03/16/2020,07/03/2020,"Rudy's Hollywood, LLC",Los Angeles,Los Angeles County,106.0,Layoff Permanent,RUDYS HOLLYWOOD LLC,RUDYS HOLLYWOOD LLC,RUDYS HOLLYWOOD LLC,Los Angeles County,2020,layoff permanent,10039107.0,los angeles
04/16/2020,03/23/2020,07/03/2020,Tri-Mountain,Irwindale,Los Angeles County,59.0,Layoff Temporary,TRIMOUNTAIN,TRIMOUNTAIN,TRIMOUNTAIN,Los Angeles County,2020,layoff temporary,10039107.0,irwindale
07/01/2020,06/30/2020,07/03/2020,United Cerebral Palsy Association of San Diego County,San Diego,San Diego County,89.0,Layoff Temporary,UNITED CEREBRAL PALSY ASSOCIATION OF SAN DIEGO COUNTY,UNITED CEREBRAL PALSY ASSOCIATION OF SAN DIEGO COUNTY,UNITED CEREBRAL PALSY ASSOCIATION OF SAN DIEGO COUNTY,San Diego County,2020,layoff temporary,3338330.0,san diego
04/03/2020,04/03/2020,07/03/2020,"Eye-Fi Holdings, LLC",Solana Beach,San Diego County,1.0,Layoff Temporary,EYEFI HOLDINGS LLC,EYEFI HOLDINGS LLC,EYEFI HOLDINGS LLC,San Diego County,2020,layoff temporary,3338330.0,solana beach
07/01/2020,08/31/2020,07/03/2020,"J.C. Penney Corporation, Inc.",Lathrop,San Joaquin County,52.0,Closure Permanent,JC PENNEY CORPORATION INC,JC PENNEY CORPORATION INC,JC PENNEY CORPORATION INC,San Joaquin County,2020,closure permanent,762148.0,lathrop
06/18/2020,08/17/2020,07/03/2020,Hertz Corporation,San Jose,Santa Clara County,115.0,Layoff Permanent,HERTZ CORPORATION,HERTZ CORPORATION,HERTZ CORPORATION,Santa Clara County,2020,layoff permanent,1927852.0,san jose
03/27/2020,03/16/2020,07/03/2020,California Dental Arts,Cupertino,Santa Clara County,21.0,Layoff Temporary,CALIFORNIA DENTAL ARTS,CALIFORNIA DENTAL ARTS,CALIFORNIA DENTAL ARTS,Santa Clara County,2020,layoff temporary,1927852.0,cupertino
04/15/2020,04/15/2020,07/03/2020,All Recreational Equipment Inc. dba REI,Santa Rosa,Sonoma County,83.0,Closure Temporary,ALL RECREATIONAL EQUIPMENT INC DBA REI,ALL RECREATIONAL EQUIPMENT INC,REI,Sonoma County,2020,closure temporary,494336.0,santa rosa
04/20/2020,04/21/2020,07/03/2020,"San Joaquin Valley College, Inc.",Porterville,Tulare County,7.0,Layoff Permanent,SAN JOAQUIN VALLEY COLLEGE INC,SAN JOAQUIN VALLEY COLLEGE INC,SAN JOAQUIN VALLEY COLLEGE INC,Tulare County,2020,layoff permanent,466195.0,porterville
04/17/2020,04/17/2020,07/03/2020,Rapid Displays Inc.,Union City,Alameda County,289.0,Layoff Temporary,RAPID DISPLAYS INC,RAPID DISPLAYS INC,RAPID DISPLAYS INC,Alameda County,2020,layoff temporary,1671329.0,union city
06/30/2020,03/23/2020,07/03/2020,Golden Valley Health Centers,Ceres,Stanislaus County,27.0,Layoff Temporary,GOLDEN VALLEY HEALTH CENTERS,GOLDEN VALLEY HEALTH CENTERS,GOLDEN VALLEY HEALTH CENTERS,Stanislaus County,2020,layoff temporary,550660.0,ceres
06/30/2020,05/09/2020,07/03/2020,Golden Valley Health Centers,Ceres,Stanislaus County,2.0,Layoff Permanent,GOLDEN VALLEY HEALTH CENTERS,GOLDEN VALLEY HEALTH CENTERS,GOLDEN VALLEY HEALTH CENTERS,Stanislaus County,2020,layoff permanent,550660.0,ceres
05/26/2020,05/26/2020,07/03/2020,The Langham Huntington Pasadena,Pasadena,Los Angeles County,243.0,Layoff Permanent,THE LANGHAM HUNTINGTON PASADENA,THE LANGHAM HUNTINGTON PASADENA,THE LANGHAM HUNTINGTON PASADENA,Los Angeles County,2020,layoff permanent,10039107.0,pasadena
03/26/2020,03/20/2020,07/03/2020,Las Alcobas Resort & Spa,Saint Helena,Napa County,153.0,Layoff Temporary,LAS ALCOBAS RESORT  SPA,LAS ALCOBAS RESORT  SPA,LAS ALCOBAS RESORT  SPA,Napa County,2020,layoff temporary,137744.0,saint helena
04/08/2020,03/23/2020,07/03/2020,"SAINT-GOBAIN, SEKURIT",Garden Grove,Orange County,119.0,Layoff Temporary,SAINTGOBAIN SEKURIT,SAINTGOBAIN SEKURIT,SAINTGOBAIN SEKURIT,Orange County,2020,layoff temporary,3175692.0,garden grove
07/01/2020,06/30/2020,07/06/2020,Crown Plaza Concord/Walnut Creek,Concord,Contra Costa County,100.0,Layoff Temporary,CROWNE PLAZA CONCORDWALNUT CREEK,CROWNE PLAZA CONCORDWALNUT CREEK,CROWNE PLAZA CONCORDWALNUT CREEK,Contra Costa County,2020,layoff temporary,1153526.0,concord
06/30/2020,05/03/2020,07/06/2020,DELUXE CREATIVE SERVICES,Los Angeles,Los Angeles County,44.0,Layoff Temporary,DELUXE CREATIVE SERVICES,DELUXE CREATIVE SERVICES,DELUXE CREATIVE SERVICES,Los Angeles County,2020,layoff temporary,10039107.0,los angeles
06/30/2020,05/03/2020,07/06/2020,DELUXE CREATIVE SERVICES,Santa Monica,Los Angeles County,40.0,Layoff Permanent,DELUXE CREATIVE SERVICES,DELUXE CREATIVE SERVICES,DELUXE CREATIVE SERVICES,Los Angeles County,2020,layoff permanent,10039107.0,santa monica
06/30/2020,05/17/2020,07/06/2020,DELUXE CREATIVE SERVICES,Burbank,Los Angeles County,138.0,Layoff Temporary,DELUXE CREATIVE SERVICES,DELUXE CREATIVE SERVICES,DELUXE CREATIVE SERVICES,Los Angeles County,2020,layoff temporary,10039107.0,burbank
06/30/2020,06/30/2020,07/06/2020,DELUXE CREATIVE SERVICES,Los Angeles,Los Angeles County,43.0,Layoff Permanent,DELUXE CREATIVE SERVICES,DELUXE CREATIVE SERVICES,DELUXE CREATIVE SERVICES,Los Angeles County,2020,layoff permanent,10039107.0,los angeles
07/01/2020,07/01/2020,07/06/2020,ELECTRO RENT,Canoga Park,Los Angeles County,25.0,Layoff Permanent,ELECTRO RENT,ELECTRO RENT,ELECTRO RENT,Los Angeles County,2020,layoff permanent,10039107.0,canoga park
07/01/2020,08/31/2020,07/06/2020,Claremont McKenna College,Claremont,Los Angeles County,29.0,Layoff Temporary,CLAREMONT MCKENNA COLLEGE,CLAREMONT MCKENNA COLLEGE,CLAREMONT MCKENNA COLLEGE,Los Angeles County,2020,layoff temporary,10039107.0,claremont
04/02/2020,03/18/2020,07/06/2020,Carmel Valley Ranch,Carmel,Monterey County,588.0,Closure Temporary,CARMEL VALLEY RANCH,CARMEL VALLEY RANCH,CARMEL VALLEY RANCH,Monterey County,2020,closure temporary,434061.0,carmel
07/02/2020,07/02/2020,07/06/2020,"King's Casino Management Corp., dba The Saloon at Stones Gambling Hall",Citrus Heights,Sacramento County,319.0,Layoff Temporary,KINGS CASINO MANAGEMENT CORP DBA THE SALOON AT STONES GAMBLING HALL,KINGS CASINO MANAGEMENT CORP,THE SALOON AT STONES GAMBLING HALL,Sacramento County,2020,layoff temporary,1552058.0,citrus heights
07/02/2020,07/07/2020,07/06/2020,McCalls Catering & Events,San Francisco,San Francisco County,424.0,Layoff Temporary,MCCALLS CATERING  EVENTS,MCCALLS CATERING  EVENTS,MCCALLS CATERING  EVENTS,San Francisco County,2020,layoff temporary,881549.0,san francisco
04/06/2020,04/13/2020,07/06/2020,Reputation.com,Redwood City,San Mateo County,6.0,Layoff Temporary,REPUTATIONCOM,REPUTATIONCOM,REPUTATIONCOM,San Mateo County,2020,layoff temporary,766573.0,redwood city
04/29/2020,03/17/2020,07/06/2020,"Air Systems, Inc.",San Jose,Santa Clara County,244.0,Layoff Temporary,AIR SYSTEMS INC,AIR SYSTEMS INC,AIR SYSTEMS INC,Santa Clara County,2020,layoff temporary,1927852.0,san jose
07/01/2020,07/01/2020,07/06/2020,PACIFIC HOTEL MANAGEMENT,Palo Alto,Santa Clara County,71.0,Layoff Permanent,PACIFIC HOTEL MANAGEMENT,PACIFIC HOTEL MANAGEMENT,PACIFIC HOTEL MANAGEMENT,Santa Clara County,2020,layoff permanent,1927852.0,palo alto
07/01/2020,07/01/2020,07/06/2020,PACIFIC HOTEL MANAGEMENT,Palo Alto,Santa Clara County,103.0,Layoff Permanent,PACIFIC HOTEL MANAGEMENT,PACIFIC HOTEL MANAGEMENT,PACIFIC HOTEL MANAGEMENT,Santa Clara County,2020,layoff permanent,1927852.0,palo alto
07/01/2020,09/01/2020,07/06/2020,Varian Medical Systems,Palo Alto,Santa Clara County,101.0,Layoff Permanent,VARIAN MEDICAL SYSTEMS,VARIAN MEDICAL SYSTEMS,VARIAN MEDICAL SYSTEMS,Santa Clara County,2020,layoff permanent,1927852.0,palo alto
04/01/2020,03/24/2020,07/06/2020,"Museum of Contemporary Art, Los Angeles",Los Angeles,Los Angeles County,158.0,Layoff Type Unknown,MUSEUM OF CONTEMPORARY ART LOS ANGELES,MUSEUM OF CONTEMPORARY ART LOS ANGELES,MUSEUM OF CONTEMPORARY ART LOS ANGELES,Los Angeles County,2020,layoff type uncategorized,10039107.0,los angeles
06/17/2020,06/19/2020,07/07/2020,"4Over, Inc.",Los Angeles,Los Angeles County,58.0,Layoff Type Unknown,4OVER INC,4OVER INC,4OVER INC,Los Angeles County,2020,layoff type uncategorized,10039107.0,los angeles
06/23/2020,06/30/2020,07/07/2020,"Printograph, Inc. dba GotPrint.com",Burbank,Los Angeles County,88.0,Layoff Permanent,PRINTOGRAPH INC DBA GOTPRINTCOM,PRINTOGRAPH INC,GOTPRINTCOM,Los Angeles County,2020,layoff permanent,10039107.0,burbank
06/26/2020,06/26/2020,07/07/2020,Hyatt Centric The Pike Long Beach,Long Beach,Los Angeles County,2.0,Layoff Permanent,HYATT CENTRIC THE PIKE LONG BEACH,HYATT,HYATT CENTRIC THE PIKE LONG BEACH,Los Angeles County,2020,layoff permanent,10039107.0,long beach
04/20/2020,04/16/2020,07/07/2020,"Empire Chauffeured Services, Ltd",El Segundo,Los Angeles County,192.0,Layoff Temporary,EMPIRE CHAUFFEURED SERVICES LTD,EMPIRE CHAUFFEURED SERVICES LTD,EMPIRE CHAUFFEURED SERVICES LTD,Los Angeles County,2020,layoff temporary,10039107.0,el segundo
04/23/2020,04/27/2020,07/07/2020,"Panavision GP, Inc.",Woodland Hills,Los Angeles County,228.0,Layoff Temporary,PANAVISION GP INC,PANAVISION GP INC,PANAVISION GP INC,Los Angeles County,2020,layoff temporary,10039107.0,woodland hills
06/26/2020,08/24/2020,07/07/2020,"Warmelin Precision Products, LLC",Hawthorne,Los Angeles County,65.0,Layoff Permanent,WARMELIN PRECISION PRODUCTS LLC,WARMELIN PRECISION PRODUCTS LLC,WARMELIN PRECISION PRODUCTS LLC,Los Angeles County,2020,layoff permanent,10039107.0,hawthorne
03/28/2020,03/30/2020,07/07/2020,"Alclear, LLC",San Jose,Santa Clara County,16.0,Layoff Temporary,ALCLEAR LLC,ALCLEAR LLC,ALCLEAR LLC,Santa Clara County,2020,layoff temporary,1927852.0,san jose
04/24/2020,04/22/2020,07/07/2020,Total Airport Services/LAX,Los Angeles,Los Angeles County,84.0,Closure Temporary,TOTAL AIRPORT SERVICESLAX,TOTAL AIRPORT SERVICES LLC,TOTAL AIRPORT SERVICESLAX,Los Angeles County,2020,closure temporary,10039107.0,los angeles
03/16/2020,03/16/2020,07/07/2020,YMCA - Greater Whittier,Whittier,Los Angeles County,118.0,Closure Temporary,YMCA  GREATER WHITTIER,YMCA,YMCA  GREATER WHITTIER,Los Angeles County,2020,closure temporary,10039107.0,whittier
03/16/2020,03/16/2020,07/07/2020,YMCA - Camp Abrolado,Angelus Oaks,San Bernardino County,8.0,Closure Temporary,YMCA  CAMP ABROLADO,YMCA,YMCA  CAMP ABROLADO,San Bernardino County,2020,closure temporary,2180085.0,angelus oaks
06/15/2020,06/30/2020,07/07/2020,"Artisan Restaurant Collection for Sodexo, Inc.",San Francisco,San Francisco County,52.0,Layoff Permanent,ARTISAN RESTAURANT COLLECTION FOR SODEXO INC,ARTISAN RESTAURANT COLLECTION FOR SODEXO INC,ARTISAN RESTAURANT COLLECTION FOR SODEXO INC,San Francisco County,2020,layoff permanent,881549.0,san francisco
04/20/2020,04/17/2020,07/07/2020,Parc 55 San Francisco - A Hilton Hotel,San Francisco,San Francisco County,330.0,Layoff Temporary,PARC 55 SAN FRANCISCO  A HILTON HOTEL,HILTON,PARC 55 SAN FRANCISCO  A HILTON HOTEL,San Francisco County,2020,layoff temporary,881549.0,san francisco
06/30/2020,06/30/2020,07/07/2020,New West Symphony Association,Thousand Oaks,Ventura County,59.0,Layoff Temporary,NEW WEST SYMPHONY ASSOCIATION,NEW WEST SYMPHONY ASSOCIATION,NEW WEST SYMPHONY ASSOCIATION,Ventura County,2020,layoff temporary,846006.0,thousand oaks
06/19/2020,07/03/2020,07/08/2020,"Circus Dog Productions, Inc.",North Hollywood,Los Angeles County,77.0,Layoff Permanent,CIRCUS DOG PRODUCTIONS INC,CIRCUS DOG PRODUCTIONS INC,CIRCUS DOG PRODUCTIONS INC,Los Angeles County,2020,layoff permanent,10039107.0,north hollywood
06/24/2020,07/01/2020,07/08/2020,Centric Brands Inc dba Joe's Jeans,Santa Monica,Los Angeles County,6.0,Layoff Permanent,CENTRIC BRANDS INC DBA JOES JEANS,CENTRIC BRANDS INC,JOES JEANS,Los Angeles County,2020,layoff permanent,10039107.0,santa monica
04/14/2020,04/14/2020,07/08/2020,Precision Dynamics Corporation,Valencia,Los Angeles County,18.0,Layoff Temporary,PRECISION DYNAMICS CORPORATION,PRECISION DYNAMICS CORPORATION,PRECISION DYNAMICS CORPORATION,Los Angeles County,2020,layoff temporary,10039107.0,valencia
07/06/2020,07/01/2020,07/08/2020,Progressive Gaming LLC dba Commerce Casino,Los Angeles,Los Angeles County,467.0,Closure Temporary,PROGRESSIVE GAMING LLC DBA COMMERCE CASINO,PROGRESSIVE GAMING LLC,COMMERCE CASINO,Los Angeles County,2020,closure temporary,10039107.0,los angeles
03/24/2020,03/24/2020,07/08/2020,Rambler Motel,Chula Vista,San Diego County,11.0,Layoff Permanent,RAMBLER MOTEL,RAMBLER MOTEL,RAMBLER MOTEL,San Diego County,2020,layoff permanent,3338330.0,chula vista
04/15/2020,06/08/2020,07/08/2020,Lodi Memorial Hospital Association Inc. dba Adventist Health Lodi,Lodi,San Joaquin County,2.0,Layoff Permanent,LODI MEMORIAL HOSPITAL ASSOCIATION INC DBA ADVENTIST HEALTH LODI,LODI MEMORIAL HOSPITAL ASSOCIATION INC,ADVENTIST HEALTH LODI,San Joaquin County,2020,layoff permanent,762148.0,lodi
06/22/2020,08/24/2020,07/08/2020,Rosewood CordeValle,San Martin,Santa Clara County,82.0,Layoff Permanent,ROSEWOOD CORDEVALLE,ROSEWOOD CORDEVALLE,ROSEWOOD CORDEVALLE,Santa Clara County,2020,layoff permanent,1927852.0,san martin
06/30/2020,08/31/2020,07/08/2020,Los Angeles Mill and Warehouse,Los Angeles,Los Angeles County,199.0,Closure Permanent,LOS ANGELES MILL AND WAREHOUSE,LOS ANGELES MILL AND WAREHOUSE,LOS ANGELES MILL AND WAREHOUSE,Los Angeles County,2020,closure permanent,10039107.0,los angeles
06/19/2020,07/01/2020,07/08/2020,University of Southern California,Los Angeles,Los Angeles County,441.0,Layoff Temporary,UNIVERSITY OF SOUTHERN CALIFORNIA,UNIVERSITY OF SOUTHERN CALIFORNIA,UNIVERSITY OF SOUTHERN CALIFORNIA,Los Angeles County,2020,layoff temporary,10039107.0,los angeles
03/18/2020,03/18/2020,07/08/2020,Saekyu Oh DMD Dental Corporation dba Smileland Dental,Bakersfield,Kern County,91.0,Layoff Temporary,SAEKYU OH DMD DENTAL CORPORATION DBA SMILELAND DENTAL,SAEKYU OH DMD DENTAL CORPORATION,SMILELAND DENTAL,Kern County,2020,layoff temporary,900202.0,bakersfield
